id,category,subcategory,story_order,map_name,location_name,speaker,source_file,source_line,source_label,english_raw,english_preview,thai,translation_status,control_codes,placeholders,duplicate_group,notes,scope_group,scope_subgroup,policy,scope_status,canonical_tracker,reason,scope_decision,dedup_decision,dedup_evidence
dlg_f3cec7a438da6424,trainer,trainer_dialogue,,,,,src/data/easy_chat/easy_chat_group_feelings.h,63,gEasyChatWord_Defeated,DEFEATED,DEFEATED,แพ้แล้ว,applied,,,,phaseF-trainer-batch02 Easy Chat contextual draft; Technical gates PASS; runtime QA deferred OPTIONAL,Trainer,Spoken Trainer Dialogue,HOLD_FOR_SCOPE_DECISION,HOLD,Phase F Trainer Waves,Not spoken Trainer dialogue; removed from locked Trainer scope.,TRANSLATE,NEEDS_TRANSLATION,
dlg_5d4e9d3f4af71f8c,trainer,trainer_dialogue,,,,,src/data/easy_chat/easy_chat_group_trainer.h,1,gEasyChatWord_IChooseYou,I CHOOSE YOU,I CHOOSE YOU,ฉันเลือกนาย,applied,,,,phaseF-trainer-batch02 Easy Chat contextual draft; Technical gates PASS; runtime QA deferred OPTIONAL,Trainer,Spoken Trainer Dialogue,HOLD_FOR_SCOPE_DECISION,HOLD,Phase F Trainer Waves,Not spoken Trainer dialogue; removed from locked Trainer scope.,TRANSLATE,NEEDS_TRANSLATION,
dlg_50275d4c8697abb7,trainer,trainer_dialogue,,,,,src/data/easy_chat/easy_chat_group_trainer.h,2,gEasyChatWord_Gotcha,GOTCHA,GOTCHA,จับได้แล้ว,applied,,,,phaseF-trainer-batch02 Easy Chat contextual draft; Technical gates PASS; runtime QA deferred OPTIONAL,Trainer,Spoken Trainer Dialogue,HOLD_FOR_SCOPE_DECISION,HOLD,Phase F Trainer Waves,Not spoken Trainer dialogue; removed from locked Trainer scope.,TRANSLATE,NEEDS_TRANSLATION,
dlg_c253bfbc161be103,trainer,trainer_dialogue,,,,,src/data/easy_chat/easy_chat_group_trainer.h,3,gEasyChatWord_Trade,TRADE,TRADE,แลกเปลี่ยน,applied,,,dup_00783,phaseF-trainer-batch02 Easy Chat contextual draft; Technical gates PASS; runtime QA deferred OPTIONAL,Trainer,Spoken Trainer Dialogue,HOLD_FOR_SCOPE_DECISION,HOLD,Phase F Trainer Waves,Not spoken Trainer dialogue; removed from locked Trainer scope.,TRANSLATE,NEEDS_TRANSLATION,
dlg_168be9d01eccb48e,trainer,trainer_dialogue,,,,,src/data/easy_chat/easy_chat_group_trainer.h,4,gEasyChatWord_Sapphire,SAPPHIRE,SAPPHIRE,แซฟไฟร์,applied,,,dup_00662,phaseF-trainer-batch02 Easy Chat contextual draft; Technical gates PASS; runtime QA deferred OPTIONAL,Trainer,Spoken Trainer Dialogue,HOLD_FOR_SCOPE_DECISION,HOLD,Phase F Trainer Waves,Not spoken Trainer dialogue; removed from locked Trainer scope.,TRANSLATE,NEEDS_TRANSLATION,
dlg_90cd43697d9f5251,trainer,trainer_dialogue,,,,,src/data/easy_chat/easy_chat_group_trainer.h,5,gEasyChatWord_Evolve,EVOLVE,EVOLVE,วิวัฒนาการ,applied,,,,phaseF-trainer-batch02 Easy Chat contextual draft; Technical gates PASS; runtime QA deferred OPTIONAL,Trainer,Spoken Trainer Dialogue,HOLD_FOR_SCOPE_DECISION,HOLD,Phase F Trainer Waves,Not spoken Trainer dialogue; removed from locked Trainer scope.,TRANSLATE,NEEDS_TRANSLATION,
dlg_2c29e90c16f16054,trainer,trainer_dialogue,,,,,src/data/easy_chat/easy_chat_group_trainer.h,6,gEasyChatWord_Encyclopedia,ENCYCLOPEDIA,ENCYCLOPEDIA,สารานุกรม,applied,,,,phaseF-trainer-batch02 Easy Chat contextual draft; Technical gates PASS; runtime QA deferred OPTIONAL,Trainer,Spoken Trainer Dialogue,HOLD_FOR_SCOPE_DECISION,HOLD,Phase F Trainer Waves,Not spoken Trainer dialogue; removed from locked Trainer scope.,TRANSLATE,NEEDS_TRANSLATION,
dlg_5912e63c7f82000a,trainer,trainer_dialogue,,,,,src/data/easy_chat/easy_chat_group_trainer.h,7,gEasyChatWord_Nature,NATURE,NATURE,นิสัย,applied,,,,phaseF-trainer-batch02 Easy Chat contextual draft; Technical gates PASS; runtime QA deferred OPTIONAL,Trainer,Spoken Trainer Dialogue,HOLD_FOR_SCOPE_DECISION,HOLD,Phase F Trainer Waves,Not spoken Trainer dialogue; removed from locked Trainer scope.,TRANSLATE,NEEDS_TRANSLATION,
dlg_d5955033812eec98,trainer,trainer_dialogue,,,,,src/data/easy_chat/easy_chat_group_trainer.h,8,gEasyChatWord_Center,CENTER,CENTER,เซ็นเตอร์,applied,,,,phaseF-trainer-batch02 Easy Chat contextual draft; Technical gates PASS; runtime QA deferred OPTIONAL,Trainer,Spoken Trainer Dialogue,HOLD_FOR_SCOPE_DECISION,HOLD,Phase F Trainer Waves,Not spoken Trainer dialogue; removed from locked Trainer scope.,TRANSLATE,NEEDS_TRANSLATION,
dlg_63cfd8c524a311c8,trainer,trainer_dialogue,,,,,src/data/easy_chat/easy_chat_group_trainer.h,9,gEasyChatWord_Egg,EGG,EGG,ไข่,applied,,,dup_00213,phaseF-trainer-batch02 Easy Chat contextual draft; Technical gates PASS; runtime QA deferred OPTIONAL,Trainer,Spoken Trainer Dialogue,HOLD_FOR_SCOPE_DECISION,HOLD,Phase F Trainer Waves,Not spoken Trainer dialogue; removed from locked Trainer scope.,TRANSLATE,NEEDS_TRANSLATION,
