term_type,english,thai,status,first_dialogue_id,first_source,occurrence_count,notes
move,Aerial Ace,สึบาเมะกาเอชิ,draft,dlg_e89bf2fc11073911,data/maps/FortreeCity_Gym/scripts.inc:263,1,Move name used by the completed master.
character,Archie,อาโอคิ,draft,dlg_e217e7b7f13bbeff,data/maps/MeteorFalls_1F_1R/scripts.inc:260,20,Japanese-character naming used by the completed master.
technical,Badge,แบดจ์,draft,dlg_2833d41c93d5f47b,data/maps/PetalburgCity_Gym/scripts.inc:1228,25,Core progression term; named badge entries define individual names.
technical,Bag,กระเป๋า,draft,dlg_45ae69cb30f2cd90,data/maps/Route101/scripts.inc:261,1,Inventory container term used by the completed master.
item,Balance Badge,บาลานซ์แบดจ์,draft,dlg_02937a0c67770c8c,data/maps/PetalburgCity_Gym/scripts.inc:1275,1,Badge name used by the completed master.
technical,Bike,จักรยาน,draft,dlg_6f04353d49eb36ad,data/maps/Route119/scripts.inc:535,1,Travel item category used by the completed master.
character,Birch,เบิร์ช,draft,dlg_f05a5b388b38ad28,data/text/birch_speech.inc:1,15,Use เบิร์ช in the full name; title form is ศ.เบิร์ช.
item,Blue Orb,ลูกแก้วสีน้ำเงิน,draft,dlg_3e6adbb836d10aa0,data/maps/MtPyre_Summit/scripts.inc:493,6,Key Item term used by the completed master.
title,Boss,หัวหน้า,draft,dlg_d362788277a67aac,data/maps/RusturfTunnel/scripts.inc:439,5,Organizational form of address; retain faction context.
character,Brawly,โทคิ,draft,dlg_52b66c5569e850e3,data/maps/PetalburgCity_Gym/scripts.inc:1238,2,Japanese-character naming used by the completed master.
character,Brendan,ยูคิ,review,dlg_a1cf42cc4332f130,data/maps/LittlerootTown_MaysHouse_1F/scripts.inc:381,12,The immutable master uses both เบรนแดน and ยูคิ; later Japanese-name policy uses ยูคิ. Human harmonization is required.
move,Bulk Up,บิลด์อัป,draft,dlg_0e086d2f7643bdb7,data/maps/DewfordTown_Gym/scripts.inc:410,1,Move name used by the completed master.
move,Calm Mind,เมกะฮอร์น,review,dlg_bf9f721d101df3f8,data/maps/MossdeepCity_Gym/scripts.inc:578,1,"The completed master appears to render CALM MIND as เมกะฮอร์น, which is a different move; human correction is required."
character,Captain Stern,กัปตันคุสโนกิ,draft,dlg_6c9bfdabbe559c34,data/maps/SlateportCity_OceanicMuseum_2F/scripts.inc:281,10,Use กัปตันคุสโนกิ; short source form STERN refers to the same person.
pokemon,Castform,โพวารุน,draft,dlg_3949d91512dde4d1,data/maps/Route119_WeatherInstitute_2F/scripts.inc:290,1,Authoritative species_names_cross_reference.csv spelling.
title,Champion,แชมเปี้ยน,draft,dlg_025c0ed4eb72f302,data/maps/EverGrandeCity_ChampionsRoom/scripts.inc:268,7,Use แชมเปี้ยน; league champion compounds retain this spelling.
recurring_phrase,Dad,พ่อ,draft,dlg_a1cf42cc4332f130,data/maps/LittlerootTown_MaysHouse_1F/scripts.inc:381,22,Familial address; particle and pronoun vary by speaker context.
organization,Devon Corporation,บริษัทเดวอน,draft,dlg_3af0169168c5908b,data/maps/RustboroCity/scripts.inc:1097,10,Organization name used by the completed master.
place,Devon Corporation office,สำนักงานบริษัทเดวอน,draft,dlg_d4bd710202b46c0c,data/maps/RustboroCity_DevonCorp_3F/scripts.inc:267,1,Building reference in the Devon Corporation story sequence.
item,Devon Goods,สินค้าเดวอน,draft,dlg_fc09693422d97c87,data/maps/RustboroCity/scripts.inc:1093,5,Story item term used by the completed master.
item,Devon Scope,เดวอนสโคป,draft,dlg_8a26b89ed2ec5faf,data/maps/Route120/scripts.inc:386,1,Key Item name used by the completed master.
place,Dewford Town,เมืองมุโระ,draft,dlg_52b66c5569e850e3,data/maps/PetalburgCity_Gym/scripts.inc:1238,9,Japanese-location naming used by the completed master.
character,Drake,เก็นจิ,draft,dlg_166dd7131ed8aba5,data/maps/EverGrandeCity_DrakesRoom/scripts.inc:63,1,Japanese-character naming used by the completed master.
item,Dynamo Badge,ไดนาโมแบดจ์,draft,dlg_fc810b4e66b7f5bb,data/maps/MauvilleCity_Gym/scripts.inc:353,2,Badge name used by the completed master.
title,Elite Four,สี่จตุรเทพ,draft,dlg_27801ee152f487cf,data/maps/EverGrandeCity_GlaciasRoom/scripts.inc:60,3,Title used by the completed master.
place,Ever Grande,ไซยู,draft,dlg_2d66888f162fdf06,data/maps/SootopolisCity_Gym_1F/scripts.inc:259,1,Japanese-location naming used by the completed master.
move,Facade,คาราเก็งกิ,draft,dlg_5ffaf85215a0f479,data/maps/PetalburgCity_Gym/scripts.inc:1287,1,Move name used by the completed master.
item,Feather Badge,เฟเธอร์แบดจ์,draft,dlg_043520f7cee45426,data/maps/FortreeCity_Gym/scripts.inc:250,2,Badge name used by the completed master.
character,Flannery,อาสึนะ,draft,dlg_85cc669a07cfd1db,data/maps/LavaridgeTown_Gym_1F/scripts.inc:327,1,Japanese-character naming used by the completed master.
move,Fly,โซระโอะโทบุ,draft,dlg_6be0ed70a0acd49c,data/maps/Route119/scripts.inc:496,5,Move name used by the completed master.
place,Fortree City,เมืองฮิวาดาม,draft,dlg_6be0ed70a0acd49c,data/maps/Route119/scripts.inc:496,4,Japanese-location naming used by the completed master.
place,Fortree Gym,ฮิวาดามยิม,draft,dlg_76bf541ad1e06184,data/maps/Route119/scripts.inc:527,2,Gym location name used by the completed master.
