speaker,role,tone,formality,self_pronoun,listener_pronoun,preferred_particles,avoid,example_english,example_thai,notes
Professor Birch,Pokémon Professor and researcher,"friendly, knowledgeable, approachable, enthusiastic",polite conversational,ผม,เธอ,นะ; ล่ะ,stiff academic prose; unsupported honorific escalation,Hi! Sorry to keep you waiting!\pWelcome to the world of POKéMON!\pMy name is BIRCH.\pBut everyone calls me the POKéMON\nPROFESSOR.\p$,สวัสดี! ขอโทษที่ให้รอนะ!\pยินดีต้อนรับสู่โลกของโปเกมอน!\pผมชื่อเบิร์ช\pแต่ทุกคนเรียกผมว่า\nศาสตราจารย์โปเกมอน\p$,Warm mentor voice; the embedded ศ.เบิร์ช label is retained when present.
Player’s mother,player’s mother,"warm, practical, encouraging",familial,แม่,ลูก,จ๊ะ; นะ,formal official language; unsupported name,"MOM: See, {PLAYER}?\nIsn't it nice in here, too?$",แม่: ดูสิ {PLAYER}\nข้างในก็น่าอยู่ใช่ไหมล่ะ?$,Relationship is explicit in the dialogue; no personal name is inferred.
Brendan,rival and Professor Birch’s child,"confident, energetic, competitive, youthful",casual,ฉัน,เธอ,นะ; สิ; ล่ะ,needless rudeness; excessive formality,"Hey!\nYou…\pWho are you?\pOh, you're {PLAYER}, aren't you?\nMoved in next door, right?\pI didn't know that you're a girl.\pDad, PROF. BIRCH, said that our new\nnext-door neighbor is a GYM LEADER's\lkid, so I assumed you'd be a guy.\pMy name's BRENDAN.\nSo, hi, neighbor!\pHuh? Hey, {PLAYER}, don't you have\na POKéMON?\pDo you want me to go catch you one?\pAw, darn, I forgot…\pI'm supposed to go help my dad catch\nsome wild POKéMON.\pSome other time, okay?$",เฮ้!\nเธอน่ะ…\pเป็นใครกัน?\pอ๋อ เธอคือ {PLAYER} ใช่ไหม?\nคนที่เพิ่งย้ายมาอยู่ข้างบ้านสินะ\pไม่รู้มาก่อนเลยว่าเธอเป็นผู้หญิง\pพ่อของฉัน ศ.เบิร์ช บอกว่าเพื่อนบ้านใหม่\nเป็นลูกของยิมลีดเดอร์\lฉันเลยนึกว่าจะเป็นผู้ชายน่ะ\pฉันชื่อยูคิ\nยินดีที่ได้รู้จักนะ เพื่อนบ้าน!\pเอ๊ะ? {PLAYER} เธอยังไม่มี\nโปเกมอนเหรอ?\pอยากให้ฉันไปจับมาให้สักตัวไหม?\pอ๊ะ แย่ละ ลืมไปเลย…\pฉันต้องไปช่วยพ่อจับ\nโปเกมอนป่านี่นา\pไว้คราวหน้านะ ตกลงไหม?$,Name rendering changes within the immutable master; style evidence remains consistently casual.
May,rival and Professor Birch’s child,"friendly, earnest, energetic, occasionally shy",polite conversational,ฉัน,คุณ,ค่ะ; คะ; นะ,needless rudeness; masculine particles,"Huh?\nWho… Who are you?\p… … … … … … … …\n… … … … … … … …\pOh, you're {PLAYER}{KUN}.\nSo your move was today.\pUm… I'm MAY.\nGlad to meet you!\pI…\nI have this dream of becoming friends\lwith POKéMON all over the world.\pI… I heard about you, {PLAYER}{KUN}, from\nmy dad, PROF. BIRCH.\pI was hoping that you would be nice,\n{PLAYER}{KUN}, and that we could be friends.\pOh, this is silly, isn't it?\nI… I've just met you, {PLAYER}{KUN}.\pEheheh…\pOh, no! I forgot!\pI was supposed to go help Dad catch\nsome wild POKéMON!\p{PLAYER}{KUN}, I'll catch you later!$",เอ๊ะ?\nคะ… คุณเป็นใครคะ?\p… … … … … … … …\n… … … … … … … …\pอ๋อ คุณคือ {PLAYER}{KUN}\nวันนี้เพิ่งย้ายมาสินะคะ\pเอ่อ… ฉันชื่อฮารุกะค่ะ\nยินดีที่ได้รู้จักนะ!\pฉัน…\nฉันฝันอยากเป็นเพื่อนกับโปเกมอน\lทั่วทั้งโลกเลยค่ะ\pฉัน… ได้ยินเรื่องของคุณ {PLAYER}{KUN}\nจากพ่อ ศ.เบิร์ชค่ะ\pฉันหวังว่าคุณจะใจดี\nและเราจะได้เป็นเพื่อนกันนะ {PLAYER}{KUN}\pพูดอะไรน่าอายจังเลยนะคะ\nทั้งที่ฉัน… เพิ่งพบคุณแท้ ๆ {PLAYER}{KUN}\pเอเฮะเฮะ…\pอ๊ะ ไม่นะ! ฉันลืมไปเลย!\pฉันต้องไปช่วยพ่อจับ\nโปเกมอนป่านี่นา!\p{PLAYER}{KUN} แล้วเจอกันนะคะ!$,"Name rendering changes within the immutable master; retain the polite, friendly cadence."
Norman,Petalburg Gym Leader and player’s father,"calm, paternal, disciplined",polite conversational,พ่อ,ลูก,นะ; สิ,cold bureaucratic phrasing; excessive sentimentality,"DAD: Hm? Aren't you going to the\nPOKéMON GYM in RUSTBORO CITY?\pThere's no challenge for me to\nbattle a greenhorn TRAINER.\p{PLAYER}, I want you to challenge me\nwhen you become a lot stronger.\pI'll battle you, {PLAYER}, when you\ncan show me four GYM BADGES, okay?$",พ่อ: หืม? ลูกไม่ได้จะไป\nโปเกมอนยิมที่เมืองคานาซึมิหรือ?\pให้พ่อต่อสู้กับเทรนเนอร์มือใหม่\nก็ไม่ท้าทายเลย\p{PLAYER} พ่ออยากให้ลูกมาท้าสู้\nตอนที่แข็งแกร่งกว่านี้มากแล้ว\pพ่อจะสู้กับลูก {PLAYER} เมื่อลูก\nเอายิมแบดจ์ 4 อันมาให้ดู ตกลงไหม?$,Use parental terms only because the story explicitly establishes the relationship.
Wally,young rival and aspiring Trainer,"gentle, earnest, increasingly determined",polite,ผม,คุณ,ครับ; นะครับ,boastful aggression; coarse language,"WALLY: Thank you, yes, it did.\nHere's your POKéMON back.\p{PLAYER}, thank you for coming along\nwith me.\pYou two are why I was able to catch\nmy POKéMON.\pI promise I'll take really good\ncare of it.\pOh! My mom's waiting for me,\nso I have to go!\pBye, {PLAYER}!$",มิตสึรุ: ขอบคุณครับ สำเร็จแล้ว\nนี่โปเกมอนของคุณครับ\p{PLAYER} ขอบคุณที่\nมากับผมนะครับ\pเพราะคุณสองคน ผมจึง\nจับโปเกมอนของตัวเองได้\pผมสัญญาว่าจะดูแลมัน\nอย่างดีที่สุดครับ\pอ๊ะ! แม่กำลังรอผมอยู่\nผมต้องไปแล้วครับ!\pลาก่อนนะ {PLAYER}!$,"Source and translation evidence support a polite, earnest voice."
Roxanne,Rustboro Gym Leader,"studious, composed, instructive",polite,ฉัน,คุณ,ค่ะ,casual slang; unsupported intimacy,"Since you are so strong, you should\nchallenge other GYM LEADERS.\pBy battling many TRAINERS, you should\nlearn many things.$",ในเมื่อคุณแข็งแกร่งถึงเพียงนี้\nก็ควรไปท้าสู้กับยิมลีดเดอร์คนอื่น\pการต่อสู้กับเทรนเนอร์มากมาย\nจะทำให้คุณได้เรียนรู้อีกหลายสิ่ง$,Only one explicit speaker-field row; guidance is conservative and evidence-based.
Mr. Stone,Devon Corporation president,"dignified, appreciative, businesslike",polite,ผม,คุณ,ครับ,casual slang; invented family intimacy,"MR. STONE: Now, you should know that\nI am a great PRESIDENT.\pSo, I'd never be so cheap as to ask\na favor for nothing in return.\pThat's why I want you to have this!$",ประธานสึวาบุกิ: คุณควรรู้ไว้นะว่า\nผมเป็นประธานผู้ยิ่งใหญ่\pผมจึงไม่ขอให้ใครช่วยฟรี ๆ\nโดยไม่มีสิ่งตอบแทนแน่นอน\pเพราะอย่างนั้น ผมอยากมอบนี่ให้คุณ!$,Corporate role is explicitly stated; avoid adding unsupported personal details.
Mr. Briney,retired sailor and Peeko’s companion,"hearty, grateful, nautical",polite conversational,ฉัน,เธอ,นะ; สิ,stiff bureaucracy; invented rank,"MR. BRINEY: Hold on, lass!\nWait up, PEEKO!$",คุณฮากิ: เดี๋ยวก่อนสาวน้อย!\nรอด้วย พีโกะ!$,Role is limited to what dialogue and the story sequence establish.
Brawly,Dewford Gym Leader,"energetic, confident, informal",casual,ฉัน,นาย,สิ; ล่ะ,formal courtly diction,I can see your talent becoming a giant\nwave to cause a storm of astonishment\lamong TRAINERS one day!$,ฉันมองเห็นพรสวรรค์ของเธอเติบโต\nเป็นคลื่นยักษ์ที่สั่นสะเทือน\lเหล่าเทรนเนอร์ในสักวัน!$,Only one explicit speaker-field row; keep concise athletic energy.
