entry_index,trainer_class_constant,english_name,scope_status,thai_name,note
1,TRAINER_CLASS_PKMN_TRAINER_1,{PKMN} TRAINER,PROPOSED,เทรนเนอร์โปเกมอน,Thai Trainer Class proposal approved for preflight; individual Trainer names remain outside this scope.
2,TRAINER_CLASS_PKMN_TRAINER_2,{PKMN} TRAINER,PROPOSED,เทรนเนอร์โปเกมอน,Thai Trainer Class proposal approved for preflight; individual Trainer names remain outside this scope.
3,TRAINER_CLASS_HIKER,HIKER,PROPOSED,นักเดินป่า,Thai Trainer Class proposal approved for preflight; individual Trainer names remain outside this scope.
4,TRAINER_CLASS_TEAM_AQUA,TEAM AQUA,PROPOSED,ทีมอควา,Thai Trainer Class proposal approved for preflight; individual Trainer names remain outside this scope.
5,TRAINER_CLASS_PKMN_BREEDER,{PKMN} BREEDER,PROPOSED,นักเพาะพันธุ์,Thai Trainer Class proposal approved for preflight; individual Trainer names remain outside this scope.
6,TRAINER_CLASS_COOLTRAINER,COOLTRAINER,PROPOSED,เทรนเนอร์ชั้นยอด,Thai Trainer Class proposal approved for preflight; individual Trainer names remain outside this scope.
7,TRAINER_CLASS_BIRD_KEEPER,BIRD KEEPER,PROPOSED,ผู้เลี้ยงนก,Thai Trainer Class proposal approved for preflight; individual Trainer names remain outside this scope.
8,TRAINER_CLASS_COLLECTOR,COLLECTOR,PROPOSED,นักสะสม,Thai Trainer Class proposal approved for preflight; individual Trainer names remain outside this scope.
9,TRAINER_CLASS_SWIMMER_M,SWIMMER♂,PROPOSED,นักว่ายน้ำ♂,Thai Trainer Class proposal approved for preflight; individual Trainer names remain outside this scope.
10,TRAINER_CLASS_TEAM_MAGMA,TEAM MAGMA,PROPOSED,ทีมแมกมา,Thai Trainer Class proposal approved for preflight; individual Trainer names remain outside this scope.
11,TRAINER_CLASS_EXPERT,EXPERT,PROPOSED,ผู้เชี่ยวชาญ,Thai Trainer Class proposal approved for preflight; individual Trainer names remain outside this scope.
12,TRAINER_CLASS_AQUA_ADMIN,AQUA ADMIN,PROPOSED,แอดมินอควา,Thai Trainer Class proposal approved for preflight; individual Trainer names remain outside this scope.
13,TRAINER_CLASS_BLACK_BELT,BLACK BELT,PROPOSED,สายดำ,Thai Trainer Class proposal approved for preflight; individual Trainer names remain outside this scope.
14,TRAINER_CLASS_AQUA_LEADER,AQUA LEADER,PROPOSED,หัวหน้าทีมอควา,Thai Trainer Class proposal approved for preflight; individual Trainer names remain outside this scope.
