english_normalized,english_raw,thai,usage_count,source_ids,context_variants,status,notes
"... ... ... ... ... ... ... ...\n... ... ... ... ... ... ... ...\pto think that you have your very own\npokémon now...\lyour father will be overjoyed.\p...but please be careful.\nif anything happens, you can come home.\pgo on, go get them, honey!$","… … … … … … … …\n… … … … … … … …\pTo think that you have your very own\nPOKéMON now…\lYour father will be overjoyed.\p…But please be careful.\nIf anything happens, you can come home.\pGo on, go get them, honey!$",… … … … … … … …\n… … … … … … … …\pไม่นึกเลยว่าตอนนี้ลูกจะมี\nโปเกมอนเป็นของตัวเองแล้ว…\lพ่อของลูกต้องดีใจมากแน่ ๆ\p…แต่ระวังตัวด้วยนะ\nถ้ามีอะไรเกิดขึ้นก็กลับบ้านมาได้เสมอ\pเอาละ ไปให้เต็มที่เลยนะลูก!$,1,dlg_c1b0de35fc067f84,,draft,
"a reckless go-getter, are you?\nokay, i'll go first!$","A reckless go-getter, are you?\nOkay, I'll go first!$",ใจกล้าบ้าบิ่นสินะ?\nเอาล่ะ ฉันจะลุยก่อน!$,1,dlg_8199f6fe43038be0,,draft,
"ah, okay!\pyou're {player}{kun} who's moving to my\nhometown of littleroot.\li get it now!\p$","Ah, okay!\pYou're {PLAYER}{KUN} who's moving to my\nhometown of LITTLEROOT.\lI get it now!\p$",อ๋อ เข้าใจแล้ว!\pเธอคือ {PLAYER}{KUN} ที่กำลังจะย้ายมา\nอยู่เมืองมิโชโระ บ้านเกิดของผม\lตอนนี้เข้าใจแล้วละ!\p$,1,dlg_3d03c87c21475304,,draft,
"ah, there you are, {player}{kun}!\pplease come with me.\ni have something i want you to have.$","Ah, there you are, {PLAYER}{KUN}!\pPlease come with me.\nI have something I want you to have.$",อ้าว อยู่นี่เอง {PLAYER}{KUN}!\pช่วยมากับฉันหน่อย\nฉันมีของอยากมอบให้$,1,dlg_ca804248caf18a66,,draft,
"ahahaha!\pi'm phoebe of the elite four.\ni did my training on mt. pyre.\pwhile i trained, i gained the ability\nto commune with ghost-type pokémon.\pyes, the bond i developed with pokémon\nis extremely tight.\pso, come on, just try and see if you can\neven inflict damage on my pokémon!$","Ahahaha!\pI'm PHOEBE of the ELITE FOUR.\nI did my training on MT. PYRE.\pWhile I trained, I gained the ability\nto commune with GHOST-type POKéMON.\pYes, the bond I developed with POKéMON\nis extremely tight.\pSo, come on, just try and see if you can\neven inflict damage on my POKéMON!$",อ๊ะฮ่า ๆ!\pฉันคือฟูโยแห่งสี่จตุรเทพ\nฉันฝึกฝนอยู่ที่ภูเขาโอคุริบิ\pระหว่างฝึก ฉันได้ความสามารถ\nในการสื่อใจกับโปเกมอนประเภทผี\pใช่แล้ว สายสัมพันธ์ที่ฉันสร้าง\nกับโปเกมอนแน่นแฟ้นสุด ๆ\pเอ้า ลองดูสิว่าเธอจะสร้าง\nความเสียหายให้โปเกมอนของฉันได้ไหม!$,1,dlg_3e4d602d030fbda7,,draft,
"all right, are you ready?\pyour very own adventure is about\nto unfold.\ptake courage, and leap into the\nworld of pokémon where dreams,\ladventure, and friendships await!\pwell, i'll be expecting you later.\ncome see me in my pokémon lab.\p$","All right, are you ready?\pYour very own adventure is about\nto unfold.\pTake courage, and leap into the\nworld of POKéMON where dreams,\ladventure, and friendships await!\pWell, I'll be expecting you later.\nCome see me in my POKéMON LAB.\p$",เอาละ พร้อมหรือยัง?\pการผจญภัยของเธอเอง\nกำลังจะเริ่มต้นขึ้นแล้ว\pรวบรวมความกล้า แล้วก้าวสู่\nโลกแห่งโปเกมอน ที่ซึ่งความฝัน\lการผจญภัย และมิตรภาพรออยู่!\pแล้วไว้เจอกันอีกทีนะ\nมาหาผมที่แล็บโปเกมอนด้วยล่ะ\p$,1,dlg_745792a288a31bbd,,draft,
all right.\nwhat's your name?$,All right.\nWhat's your name?$,เอาละ\nเธอชื่ออะไร?$,1,dlg_9ef890e3b20a3ebf,,draft,
and you are?$,And you are?$,แล้วเธอคือใครล่ะ?$,1,dlg_412f32d24928ff84,,draft,
"archie: behold!\psee how beautiful it is, the sleeping\nform of the ancient pokémon kyogre!\pi have waited so long for this day to\ncome...$","ARCHIE: Behold!\pSee how beautiful it is, the sleeping\nform of the ancient POKéMON KYOGRE!\pI have waited so long for this day to\ncome…$",อาโอกิริ: จงดูให้ดี!\pดูร่างอันงดงามของโปเกมอนยุคบรรพกาล\nไคโอกาที่กำลังหลับใหล!\pฉันเฝ้ารอวันนี้มา\nแสนนาน…$,1,dlg_672712da70f8720a,,draft,
"archie: didn't i see you before?\nat slateport's museum?\pah, so your name is {player}.\pat the time, i thought you were one\nof team magma's goons.\phumph...\nyou're one odd kid.\pteam magma is a dangerous group of\ntotal fanatics.\pthey engage in destruction, claiming\nto expand the land mass.\pthey are the rivals to us,\nthe sea-loving team aqua!$","ARCHIE: Didn't I see you before?\nAt SLATEPORT's MUSEUM?\pAh, so your name is {PLAYER}.\pAt the time, I thought you were one\nof TEAM MAGMA's goons.\pHumph…\nYou're one odd kid.\pTEAM MAGMA is a dangerous group of\ntotal fanatics.\pThey engage in destruction, claiming\nto expand the land mass.\pThey are the rivals to us,\nthe sea-loving TEAM AQUA!$",อาโอกิริ: ฉันเคยเห็นแกมาก่อนใช่ไหม?\nที่พิพิธภัณฑ์ในไคไน?\pอ๋อ แกชื่อ {PLAYER} สินะ\pตอนนั้นฉันนึกว่าแกเป็นหนึ่ง\nในลูกสมุนของทีมแมกมา\pฮึ…\nแกนี่เป็นเด็กประหลาดจริง ๆ\pทีมแมกมาคือกลุ่มอันตราย\nที่เต็มไปด้วยพวกคลั่งลัทธิ\pพวกมันทำลายล้าง โดยอ้างว่า\nต้องการขยายผืนแผ่นดิน\pพวกมันคือศัตรูของเรา\nทีมอควาผู้รักท้องทะเล!$,1,dlg_e217e7b7f13bbeff,,draft,
