ui_id,symbol,source_file,english,thai_candidate,profile,font,geometry,apply_result
UI0010,gText_AnythingElseICanHelp,src/strings.c,Is there anything else I can help\nyou with?,มีอะไรให้ช่วย\nอีกไหม?,field_shop_prompt,FONT_NORMAL,field message box,pass
UI0054,gText_CanIHelpWithAnythingElse,src/strings.c,Can I help you with anything else?,รับอะไรเพิ่มไหม?,field_shop_prompt,FONT_NORMAL,field message box,pass
UI0226,gText_HereYouGoThankYou,src/strings.c,Here you go!\nThank you very much.,นี่เลย!\nขอบคุณมาก,buy_message,FONT_NORMAL,"216x32; x=10,y=14",pass
UI0230,gText_InBagVar1,src/strings.c,IN BAG: {STR_VAR_1},มี: {STR_VAR_1},quantity_in_bag,FONT_NORMAL,"96x16; x=0,y=1",pass
UI0317,gText_NoMoreRoomForThis,src/strings.c,You have no more room for this\nitem.{PAUSE_UNTIL_PRESS},ไม่มีที่ว่างสำหรับ\nของชิ้นนี้แล้ว{PAUSE_UNTIL_PRESS},buy_message,FONT_NORMAL,"216x32; x=10,y=14",pass
UI0415,gText_QuitShopping,src/strings.c,Quit shopping.,เลิกซื้อของ,field_shop_prompt,FONT_NORMAL,field message box,pass
UI0457,gText_ShopBuy,src/strings.c,BUY,ซื้อ,shop_menu,menu font,72px menu width,pass
UI0458,gText_ShopQuit,src/strings.c,QUIT,เลิก,shop_menu,menu font,72px menu width,pass
UI0459,gText_ShopSell,src/strings.c,SELL,ขาย,shop_menu,menu font,72px menu width,pass
UI0469,gText_SpaceForVar1Full,src/strings.c,The space for {STR_VAR_1} is full.{PAUSE_UNTIL_PRESS},ที่เก็บ {STR_VAR_1} เต็มแล้ว{PAUSE_UNTIL_PRESS},buy_message,FONT_NORMAL,"216x32; x=10,y=14",pass
UI0491,gText_ThankYouIllSendItHome,src/strings.c,Thank you!\nI'll send it to your home PC.,ขอบคุณ!\nจะส่งไปที่ PC ที่บ้าน,buy_message,FONT_NORMAL,"216x32; x=10,y=14",pass
UI0492,gText_ThanksIllSendItHome,src/strings.c,Thanks!\nI'll send it to your PC at home.,ขอบคุณ!\nจะส่งไปที่ PC ที่บ้าน,buy_message,FONT_NORMAL,"216x32; x=10,y=14",pass
UI0501,gText_ThrowInPremierBall,src/strings.c,"I'll throw in a PREMIER BALL, too.{PAUSE_UNTIL_PRESS}",แถม PREMIER BALL ให้ด้วย{PAUSE_UNTIL_PRESS},buy_message,FONT_NORMAL,"216x32; x=10,y=14",pass
UI0517,gText_Var1AndYouWantedVar2,src/strings.c,{STR_VAR_1}? And you wanted {STR_VAR_2}?\nThat will be ¥{STR_VAR_3}.,{STR_VAR_1} จำนวน {STR_VAR_2}?\nรวม ¥{STR_VAR_3},buy_message,FONT_NORMAL,"216x32; x=10,y=14",pass
UI0520,gText_Var1CertainlyHowMany,src/strings.c,{STR_VAR_1}? Certainly.\nHow many would you like?,{STR_VAR_1} ใช่ไหม?\nต้องการกี่ชิ้น?,buy_message,FONT_NORMAL,"216x32; x=10,y=14",pass
UI0521,gText_Var1CertainlyHowMany2,src/strings.c,{STR_VAR_1}? Certainly.\nHow many would you like?,{STR_VAR_1} ใช่ไหม?\nต้องการกี่ชิ้น?,buy_message,FONT_NORMAL,"216x32; x=10,y=14",pass
UI0522,gText_Var1IsItThatllBeVar2,src/strings.c,"{STR_VAR_1}, is it?\nThat'll be ¥{STR_VAR_2}. Do you want it?",{STR_VAR_1} ใช่ไหม?\nราคา ¥{STR_VAR_2} จะซื้อไหม?,buy_message,FONT_NORMAL,"216x32; x=10,y=14",pass
UI0549,gText_YouDontHaveMoney,src/strings.c,You don't have enough money.{PAUSE_UNTIL_PRESS},เงินไม่พอ{PAUSE_UNTIL_PRESS},buy_message,FONT_NORMAL,"216x32; x=10,y=14",pass
UI0550,gText_YouWantedVar1ThatllBeVar2,src/strings.c,You wanted {STR_VAR_1}?\nThat'll be ¥{STR_VAR_2}. Will that be okay?,ต้องการ {STR_VAR_1} ใช่ไหม?\nราคา ¥{STR_VAR_2} ตกลงไหม?,buy_message,FONT_NORMAL,"216x32; x=10,y=14",pass
