symbol,visual_qa_status,note
gText_DefaultNameLucy,proof_passed,"Batch 48 QA Gallery reviewed: 20/20 pages passed. The second set of preset player names was verified for consistent Thai transliteration, correct font rendering, spacing, clipping, layout, and readability."
gText_DefaultNameMilton,proof_passed,"Batch 48 QA Gallery reviewed: 20/20 pages passed. The second set of preset player names was verified for consistent Thai transliteration, correct font rendering, spacing, clipping, layout, and readability."
gText_DefaultNameMonica,proof_passed,"Batch 48 QA Gallery reviewed: 20/20 pages passed. The second set of preset player names was verified for consistent Thai transliteration, correct font rendering, spacing, clipping, layout, and readability."
gText_DefaultNameNadine,proof_passed,"Batch 48 QA Gallery reviewed: 20/20 pages passed. The second set of preset player names was verified for consistent Thai transliteration, correct font rendering, spacing, clipping, layout, and readability."
gText_DefaultNameNicola,proof_passed,"Batch 48 QA Gallery reviewed: 20/20 pages passed. The second set of preset player names was verified for consistent Thai transliteration, correct font rendering, spacing, clipping, layout, and readability."
gText_DefaultNameQuincy,proof_passed,"Batch 48 QA Gallery reviewed: 20/20 pages passed. The second set of preset player names was verified for consistent Thai transliteration, correct font rendering, spacing, clipping, layout, and readability."
gText_DefaultNameReid,proof_passed,"Batch 48 QA Gallery reviewed: 20/20 pages passed. The second set of preset player names was verified for consistent Thai transliteration, correct font rendering, spacing, clipping, layout, and readability."
gText_DefaultNameRuthie,proof_passed,"Batch 48 QA Gallery reviewed: 20/20 pages passed. The second set of preset player names was verified for consistent Thai transliteration, correct font rendering, spacing, clipping, layout, and readability."
gText_DefaultNameSara,proof_passed,"Batch 48 QA Gallery reviewed: 20/20 pages passed. The second set of preset player names was verified for consistent Thai transliteration, correct font rendering, spacing, clipping, layout, and readability."
gText_DefaultNameSeth,proof_passed,"Batch 48 QA Gallery reviewed: 20/20 pages passed. The second set of preset player names was verified for consistent Thai transliteration, correct font rendering, spacing, clipping, layout, and readability."
gText_DefaultNameStanley,proof_passed,"Batch 48 QA Gallery reviewed: 20/20 pages passed. The second set of preset player names was verified for consistent Thai transliteration, correct font rendering, spacing, clipping, layout, and readability."
gText_DefaultNameStu,proof_passed,"Batch 48 QA Gallery reviewed: 20/20 pages passed. The second set of preset player names was verified for consistent Thai transliteration, correct font rendering, spacing, clipping, layout, and readability."
gText_DefaultNameTanja,proof_passed,"Batch 48 QA Gallery reviewed: 20/20 pages passed. The second set of preset player names was verified for consistent Thai transliteration, correct font rendering, spacing, clipping, layout, and readability."
gText_DefaultNameTerra,proof_passed,"Batch 48 QA Gallery reviewed: 20/20 pages passed. The second set of preset player names was verified for consistent Thai transliteration, correct font rendering, spacing, clipping, layout, and readability."
gText_DefaultNameTerry,proof_passed,"Batch 48 QA Gallery reviewed: 20/20 pages passed. The second set of preset player names was verified for consistent Thai transliteration, correct font rendering, spacing, clipping, layout, and readability."
gText_DefaultNameTeru,proof_passed,"Batch 48 QA Gallery reviewed: 20/20 pages passed. The second set of preset player names was verified for consistent Thai transliteration, correct font rendering, spacing, clipping, layout, and readability."
gText_DefaultNameTiara,proof_passed,"Batch 48 QA Gallery reviewed: 20/20 pages passed. The second set of preset player names was verified for consistent Thai transliteration, correct font rendering, spacing, clipping, layout, and readability."
gText_DefaultNameTom,proof_passed,"Batch 48 QA Gallery reviewed: 20/20 pages passed. The second set of preset player names was verified for consistent Thai transliteration, correct font rendering, spacing, clipping, layout, and readability."
gText_DefaultNameWalker,proof_passed,"Batch 48 QA Gallery reviewed: 20/20 pages passed. The second set of preset player names was verified for consistent Thai transliteration, correct font rendering, spacing, clipping, layout, and readability."
gText_DefaultNameYasmin,proof_passed,"Batch 48 QA Gallery reviewed: 20/20 pages passed. The second set of preset player names was verified for consistent Thai transliteration, correct font rendering, spacing, clipping, layout, and readability."
