scope_group,scope_subgroup,policy,required_total,done,pending,excluded_or_na,status,canonical_tracker,note
Moves,Move Names,PRESERVE_EXISTING,,,0,,POLICY_LOCKED,,Do not translate move names.
Moves,Move Descriptions,TRANSLATE_REQUIRED,344,344,0,0,DONE,move description dedicated tracker,User-required actionable scope complete 344/344.
Items,Item Names,PRESERVE_EXISTING,,,0,,POLICY_LOCKED,,Do not translate item names.
Items,Item Descriptions,TRANSLATE_REQUIRED,309,309,0,0,DONE,item description dedicated tracker,User-required actionable scope complete 309/309.
Contest,Contest Move Names,PRESERVE_EXISTING,,,0,,POLICY_LOCKED,,Do not translate contest move names.
Contest,Contest Move/Effect Descriptions,TRANSLATE_REQUIRED,48,48,0,0,DONE,data/text/contest_strings.inc,Dedicated contest effect-description block is exactly 48 entries; Phase E translated all 48.
Pokémon,Species Names,COVERED_BY_DEDICATED_TRACKER,386,386,0,0,DONE,reference/species_names_cross_reference.csv,Japanese-based Thai canonical names; battle and party/list runtime display PASS.
Story,Main Story,TRANSLATE_REQUIRED,191,191,0,0,DONE,Phase B/C/D + Phase F,Main Story required scope.
Trainer,Spoken Trainer Dialogue,TRANSLATE_REQUIRED,1633,1633,0,0,DONE,Phase F Trainer Waves,"Trainer intended translation scope closed 1633/1633. Non-required raw Trainer rows: PRESERVE_EXISTING 1446, HOLD_FOR_SCOPE_DECISION 203, COVERED_BY_DEDICATED_TRACKER 1."
Core UI,Player-facing Core UI,COVERED_BY_DEDICATED_TRACKER,504 actionable,504,0,63 N/A + 7 story-covered,DONE,inventory/ui_text_strings.csv,"574 tracker rows fully accounted for: 504 proof_passed, 63 not_applicable, 7 deferred_story covered by closed Birch/Main Story runtime workflow."
Battle/System,Normal Player-facing Messages,COVERED_BY_DEDICATED_TRACKER,434 actionable,434,0,2 intentional non-actionable,DONE,inventory/system_message_strings.csv,Phase 6 normal/structural workflow closed; raw system/battle buckets must not retranslate these.
Optional NPC,Optional NPC Dialogue,TRANSLATE_REQUIRED,1820,1820,0,171 covered,DONE,Phase F Waves 08-09,Optional NPC required translation scope complete: Wave 08 closed 1005 rows and Wave 09 closed 815 rows; 171 additional raw optional_npc rows were already covered by dedicated earlier workflows.
Match Call,Match Call Dialogue / UI,TRANSLATE_REQUIRED,671,671,0,4 covered + 1 not applicable,DONE,Phase F Wave 10,"Match Call scope fully accounted: 671 player-facing rows translated in Phase F Wave 10, 4 rows already covered by dedicated earlier trackers, and 1 nonlinguistic ellipsis/control row marked NOT_APPLICABLE."
PC / Decoration UI,Decoration Management,TRANSLATE_REQUIRED,32,32,0,2 not applicable,DONE,Phase F Wave 11,PC / Decoration UI complete: 32 player-facing strings translated and runtime-validated; 2 rows NOT_APPLICABLE (formatting control + unused source).
