id,global_order,chapter_order,chapter_id,chapter_title_en,chapter_title_th,event_order,event_id,event_title_en,event_title_th,map_order,map_name,map_period,location_name,dialogue_order,speaker,script_label,source_file,source_line,source_label,english_raw,english_preview,thai,translation_status,control_codes,placeholders,chronology_confidence,scope_confidence,translation_confidence,term_review,length_review,translation_notes
dlg_302bf4be4220a361,20,03,pokedex,Rival and Pokédex,คู่แข่งและโปเกเด็กซ์,7,rival_1,First rival battle,First rival battle,7,Route103,rival_battle,Route103,1,May,Route103_EventScript_RivalMay,data/maps/Route103/scripts.inc,288,Route103_Text_MayRoute103Pokemon,MAY: Let's see… The POKéMON found\non ROUTE 103 include…$,"MAY: Let's see… The POKéMON found
on ROUTE 103 include…",เมย์: ไหนดูซิ… โปเกมอนที่พบ\nบนถนนหมายเลข 103 มี…$,draft_review,\n,,high,high,high,ok,ok,LINEBREAK_ADJUSTED
dlg_31e833de1ea33667,21,03,pokedex,Rival and Pokédex,คู่แข่งและโปเกเด็กซ์,7,rival_1,First rival battle,First rival battle,7,Route103,rival_battle,Route103,2,May,Route103_EventScript_RivalMay,data/maps/Route103/scripts.inc,292,Route103_Text_MayLetsBattle,"Oh, hi, {PLAYER}{KUN}!\p…Oh, I see, my dad gave you\na POKéMON as a gift.\pSince we're here, let's have a quick\nbattle!\pI'll give you a taste of what being\na TRAINER is like.$","Oh, hi, {PLAYER}{KUN}!
[PAGE]
…Oh, I see, my dad gave you
a POKéMON as a gift.
[PAGE]
Since we're here, let's have a quick
battle!
[PAGE]
I'll give you a taste of what being
a TRAINER is like.",อ้าว สวัสดี {PLAYER}{KUN}!\p…อ๋อ เข้าใจแล้ว พ่อให้โปเกมอน\nเป็นของขวัญกับคุณสินะ\pไหน ๆ ก็มาเจอกันแล้ว\nมาสู้กันสักยกเถอะ!\pฉันจะให้คุณได้สัมผัสว่า\nการเป็นเทรนเนอร์เป็นยังไง$,draft_review,{PLAYER} | {KUN} | \p | \n | \p | \n | \p | \n,{PLAYER},high,high,high,ok,ok,LINEBREAK_ADJUSTED
dlg_1d2c85c3dd45b39f,22,03,pokedex,Rival and Pokédex,คู่แข่งและโปเกเด็กซ์,7,rival_1,First rival battle,First rival battle,7,Route103,rival_battle,Route103,3,Brendan,Route103_EventScript_RivalBrendan,data/maps/Route103/scripts.inc,315,Route103_Text_BrendanRoute103Pokemon,"BRENDAN: Okay, so it's this one and\nthat one that live on ROUTE 103…$","BRENDAN: Okay, so it's this one and
that one that live on ROUTE 103…",เบรนแดน: เอาละ ตัวนี้กับ\nตัวนั้นอาศัยอยู่บนถนนหมายเลข 103…$,draft_review,\n,,high,high,high,ok,ok,LINEBREAK_ADJUSTED
dlg_a2a36d33d4e71a0c,23,03,pokedex,Rival and Pokédex,คู่แข่งและโปเกเด็กซ์,7,rival_1,First rival battle,First rival battle,7,Route103,rival_battle,Route103,4,Brendan,Route103_EventScript_RivalBrendan,data/maps/Route103/scripts.inc,319,Route103_Text_BrendanLetsBattle,"Hey, it's {PLAYER}!\p…Oh, yeah, Dad gave you a POKéMON.\pSince we're here, how about a little\nbattle?\pI'll teach you what being a TRAINER's\nabout!$","Hey, it's {PLAYER}!
[PAGE]
…Oh, yeah, Dad gave you a POKéMON.
[PAGE]
Since we're here, how about a little
battle?
[PAGE]
I'll teach you what being a TRAINER's
about!",เฮ้ {PLAYER} นี่นา!\p…อ๋อ จริงสิ พ่อให้โปเกมอนเธอมาแล้วนี่\pไหน ๆ ก็มาเจอกันแล้ว\nมาสู้กันสักหน่อยไหม?\pฉันจะสอนให้รู้เองว่า\nการเป็นเทรนเนอร์คืออะไร!$,draft_review,{PLAYER} | \p | \p | \n | \p | \n,{PLAYER},high,high,high,ok,ok,LINEBREAK_ADJUSTED
dlg_1ba2a80d63962ccb,24,03,pokedex,Rival and Pokédex,คู่แข่งและโปเกเด็กซ์,7,rival_1,First rival battle,First rival battle,7,Route103,rival_battle,Route103,5,May,Route103_EventScript_AfterMayBattle,data/maps/Route103/scripts.inc,305,Route103_Text_MayTimeToHeadBack,"MAY: I think I know why my dad has\nan eye out for you now.\pI mean, you just got that POKéMON,\nbut it already likes you.\pYou might be able to befriend any\nkind of POKéMON easily.\pWell, it's time to head back to\nthe LAB.$","MAY: I think I know why my dad has
an eye out for you now.
[PAGE]
I mean, you just got that POKéMON,
but it already likes you.
[PAGE]
You might be able to befriend any
kind of POKéMON easily.
[PAGE]
Well, it's time to head back to
the LAB.",เมย์: ตอนนี้ฉันเข้าใจแล้วว่า\nทำไมพ่อถึงสนใจคุณ\pโปเกมอนตัวนั้นเพิ่งมาอยู่กับคุณ\nแต่ก็ชอบคุณแล้วนี่นา\pคุณอาจผูกมิตรกับโปเกมอน\nชนิดไหนก็ได้อย่างง่ายดายเลยนะ\pเอาละ ได้เวลากลับ\nไปที่แล็บแล้วค่ะ$,draft_review,\n | \p | \n | \p | \n | \p | \n,,high,high,high,ok,ok,LINEBREAK_ADJUSTED
dlg_5ba654e578399a89,25,03,pokedex,Rival and Pokédex,คู่แข่งและโปเกเด็กซ์,7,rival_1,First rival battle,First rival battle,7,Route103,rival_battle,Route103,6,Brendan,Route103_EventScript_AfterBrendanBattle,data/maps/Route103/scripts.inc,330,Route103_Text_BrendanTimeToHeadBack,"BRENDAN: I think I get it.\nI think I know why my dad has his eye\lout for you now.\pLook, your POKéMON already likes you,\neven though you just got it.\p{PLAYER}, I get the feeling that you\ncould befriend any POKéMON with ease.\pWe should head back to the LAB.$","BRENDAN: I think I get it.
I think I know why my dad has his eye
out for you now.
[PAGE]
Look, your POKéMON already likes you,
even though you just got it.
[PAGE]
{PLAYER}, I get the feeling that you
could befriend any POKéMON with ease.
[PAGE]
We should head back to the LAB.",เบรนแดน: ฉันพอเข้าใจแล้ว\nตอนนี้รู้แล้วว่าทำไมพ่อ\lถึงสนใจเธอ\pดูสิ โปเกมอนของเธอชอบเธอแล้ว\nทั้งที่เพิ่งได้มาแท้ ๆ\p{PLAYER} ฉันรู้สึกว่าเธอ\nผูกมิตรกับโปเกมอนตัวไหนก็ได้แน่\pเรากลับไปที่แล็บกันเถอะ$,draft_review,\n | \l | \p | \n | \p | {PLAYER} | \n | \p,{PLAYER},high,high,high,ok,ok,LINEBREAK_ADJUSTED
dlg_68038fa36d7bdaf1,26,03,pokedex,Rival and Pokédex,คู่แข่งและโปเกเด็กซ์,8,pokedex,Pokédex handoff,Pokédex handoff,8,LittlerootTown_ProfessorBirchsLab,pokedex,LittlerootTown ProfessorBirchsLab,1,Professor Birch,LittlerootTown_ProfessorBirchsLab_EventScript_TryRatePokedexOrRegister,data/maps/LittlerootTown_ProfessorBirchsLab/scripts.inc,721,LittlerootTown_ProfessorBirchsLab_Text_BirchRivalGoneHome,"PROF. BIRCH: {RIVAL}?\nGone home, I think.\pOr maybe that kid's scrabbling around\nin tall grass again somewhere…\pIf you or your POKéMON get tired,\nyou should get some rest at home.$","PROF. BIRCH: {RIVAL}?
Gone home, I think.
[PAGE]
Or maybe that kid's scrabbling around
in tall grass again somewhere…
[PAGE]
If you or your POKéMON get tired,
you should get some rest at home.",ศ.เบิร์ช: {RIVAL} เหรอ?\nคงกลับบ้านไปแล้วละ\pหรือไม่ก็คงกำลังตะลุย\nพงหญ้าอยู่ที่ไหนสักแห่งอีก…\pถ้าเธอหรือโปเกมอนเหนื่อย\nก็กลับไปพักที่บ้านนะ$,draft_review,{RIVAL} | \n | \p | \n | \p | \n,{RIVAL},high,high,high,ok,ok,LINEBREAK_ADJUSTED
dlg_4a63ffe7b2d7349e,27,03,pokedex,Rival and Pokédex,คู่แข่งและโปเกเด็กซ์,8,pokedex,Pokédex handoff,Pokédex handoff,8,LittlerootTown_ProfessorBirchsLab,pokedex,LittlerootTown ProfessorBirchsLab,2,Professor Birch,LittlerootTown_ProfessorBirchsLab_EventScript_GivePokedex,data/maps/LittlerootTown_ProfessorBirchsLab/scripts.inc,729,LittlerootTown_ProfessorBirchsLab_Text_HeardYouBeatRivalTakePokedex,"PROF. BIRCH: Oh, hi, {PLAYER}{KUN}!\pI heard you beat {RIVAL} on\nyour first try. That's excellent!\p{RIVAL}'s been helping with my research\nfor a long time.\p{RIVAL} has an extensive history as\na TRAINER already.\pHere, {PLAYER}{KUN}, I ordered this for my\nresearch, but I think you should have\lthis POKéDEX.$","PROF. BIRCH: Oh, hi, {PLAYER}{KUN}!
[PAGE]
I heard you beat {RIVAL} on
your first try. That's excellent!
[PAGE]
{RIVAL}'s been helping with my research
for a long time.
[PAGE]
{RIVAL} has an extensive history as
a TRAINER already.
[PAGE]
Here, {PLAYER}{KUN}, I ordered this for my
research, but I think you should have
this POKéDEX.",ศ.เบิร์ช: อ้าว สวัสดี {PLAYER}{KUN}!\pได้ยินว่าเธอชนะ {RIVAL}\nได้ตั้งแต่ครั้งแรก ยอดเยี่ยมมาก!\p{RIVAL} ช่วยงานวิจัยของผม\nมานานแล้ว\p{RIVAL} เองก็มีประสบการณ์\nเป็นเทรนเนอร์มามากทีเดียว\pนี่ {PLAYER}{KUN} ผมสั่งสิ่งนี้มา\nเพื่อใช้ทำวิจัย แต่คิดว่าเธอ\lควรรับโปเกเด็กซ์นี้ไป$,draft_review,{PLAYER} | {KUN} | \p | {RIVAL} | \n | \p | {RIVAL} | \n | \p | {RIVAL} | \n | \p | {PLAYER} | {KUN} | \n | \l,{PLAYER} | {RIVAL} | {RIVAL} | {RIVAL} | {PLAYER},high,high,high,ok,review_long_line,LINEBREAK_ADJUSTED
dlg_dacb535b10f34d0d,28,03,pokedex,Rival and Pokédex,คู่แข่งและโปเกเด็กซ์,8,pokedex,Pokédex handoff,Pokédex handoff,8,LittlerootTown_ProfessorBirchsLab,pokedex,LittlerootTown ProfessorBirchsLab,3,Professor Birch,LittlerootTown_ProfessorBirchsLab_EventScript_GivePokedex,data/maps/LittlerootTown_ProfessorBirchsLab/scripts.inc,744,LittlerootTown_ProfessorBirchsLab_Text_ExplainPokedex,"PROF. BIRCH: The POKéDEX is a high-tech\ntool that automatically makes a record\lof any POKéMON you meet or catch.\pMy kid, {RIVAL}, goes everywhere\nwith it.\pWhenever my kid catches a rare POKéMON\nand records its data in the POKéDEX,\lwhy, {RIVAL} looks for me while I'm out\ldoing fieldwork, and shows me.$","PROF. BIRCH: The POKéDEX is a high-tech
tool that automatically makes a record
of any POKéMON you meet or catch.
[PAGE]
My kid, {RIVAL}, goes everywhere
with it.
[PAGE]
Whenever my kid catches a rare POKéMON
and records its data in the POKéDEX,
why, {RIVAL} looks for me while I'm out
doing fieldwork, and shows me.",ศ.เบิร์ช: โปเกเด็กซ์เป็นอุปกรณ์\nไฮเทคที่บันทึกข้อมูลโปเกมอน\lทุกตัวที่พบหรือจับได้โดยอัตโนมัติ\p{RIVAL} ลูกของผม\nพกมันติดตัวไปทุกแห่ง\pพอจับโปเกมอนหายากและบันทึกข้อมูล\nลงโปเกเด็กซ์ได้ {RIVAL} ก็จะตามหา\lผมที่กำลังสำรวจภาคสนาม\lแล้วเอามาให้ดู$,draft_review,\n | \l | \p | {RIVAL} | \n | \p | \n | \l | {RIVAL} | \l,{RIVAL} | {RIVAL},high,high,high,ok,review_long_line,LINEBREAK_ADJUSTED
dlg_a1f8f8a1ea390b2a,29,03,pokedex,Rival and Pokédex,คู่แข่งและโปเกเด็กซ์,8,pokedex,Pokédex handoff,Pokédex handoff,8,LittlerootTown_ProfessorBirchsLab,pokedex,LittlerootTown ProfessorBirchsLab,4,Professor Birch,LittlerootTown_ProfessorBirchsLab_EventScript_ReceivePokedex,data/maps/LittlerootTown_ProfessorBirchsLab/scripts.inc,741,LittlerootTown_ProfessorBirchsLab_Text_ReceivedPokedex,{PLAYER} received the POKéDEX!$,{PLAYER} received the POKéDEX!,{PLAYER} ได้รับโปเกเด็กซ์!$,draft_review,{PLAYER},{PLAYER},high,high,high,ok,ok,
