id,category,subcategory,story_order,map_name,location_name,speaker,source_file,source_line,source_label,english_raw,english_preview,thai,translation_status,control_codes,placeholders,duplicate_group,notes,scope_group,scope_subgroup,policy,scope_status,canonical_tracker,reason,scope_decision,dedup_decision,dedup_evidence
dlg_9eeaf3af1c4a4809,trainer,trainer_dialogue,,,,,src/mystery_event_msg.c,11,gText_MysteryEventNewTrainer,A new TRAINER has arrived in\nHOENN.,"A new TRAINER has arrived in
HOENN.",มีเทรนเนอร์คนใหม่เดินทางมาถึง\nโฮเอ็นแล้ว,draft_review,\n,,,phaseF-trainer-batch03 contextual draft,Trainer,Spoken Trainer Dialogue,HOLD_FOR_SCOPE_DECISION,HOLD,Phase F Trainer Waves,Not spoken Trainer dialogue; removed from locked Trainer scope.,TRANSLATE,NEEDS_TRANSLATION,
dlg_b822a9c4876bbbcf,trainer,trainer_dialogue,,,,,src/strings.c,807,gText_PyramidTrainers,PYRAMID: TRAINERS,PYRAMID: TRAINERS,พีระมิด: เทรนเนอร์,draft_review,,,,phaseF-trainer-batch03 contextual draft,Trainer,Spoken Trainer Dialogue,HOLD_FOR_SCOPE_DECISION,HOLD,Phase F Trainer Waves,Not spoken Trainer dialogue; removed from locked Trainer scope.,TRANSLATE,NEEDS_TRANSLATION,
dlg_010d89d18673048c,trainer,trainer_dialogue,,,,,src/strings.c,814,gText_BattleTrainers,BATTLE TRAINERS,BATTLE TRAINERS,เทรนเนอร์ต่อสู้,draft_review,,,,phaseF-trainer-batch03 contextual draft,Trainer,Spoken Trainer Dialogue,HOLD_FOR_SCOPE_DECISION,HOLD,Phase F Trainer Waves,Not spoken Trainer dialogue; removed from locked Trainer scope.,TRANSLATE,NEEDS_TRANSLATION,
dlg_6e8c216933c7e1b3,trainer,trainer_dialogue,,,,,src/strings.c,957,gText_CallRegisteredTrainer,Call a registered TRAINER.,Call a registered TRAINER.,โทรหาเทรนเนอร์ที่ลงทะเบียนไว้,draft_review,,,,phaseF-trainer-batch03 contextual draft,Trainer,Spoken Trainer Dialogue,HOLD_FOR_SCOPE_DECISION,HOLD,Phase F Trainer Waves,Not spoken Trainer dialogue; removed from locked Trainer scope.,TRANSLATE,NEEDS_TRANSLATION,
dlg_e9556023e4e432b5,trainer,trainer_dialogue,,,,,src/strings.c,961,gText_NoTrainersRegistered,No TRAINERS are registered.,No TRAINERS are registered.,ยังไม่มีเทรนเนอร์ลงทะเบียน,draft_review,,,,phaseF-trainer-batch03 contextual draft,Trainer,Spoken Trainer Dialogue,HOLD_FOR_SCOPE_DECISION,HOLD,Phase F Trainer Waves,Not spoken Trainer dialogue; removed from locked Trainer scope.,TRANSLATE,NEEDS_TRANSLATION,
dlg_f9fecbd72719d70b,trainer,trainer_dialogue,,,,,src/strings.c,1035,gText_TheTrainersImage,the TRAINER's image.,the TRAINER's image.,ภาพลักษณ์ของเทรนเนอร์,draft_review,,,,phaseF-trainer-batch03 contextual draft,Trainer,Spoken Trainer Dialogue,HOLD_FOR_SCOPE_DECISION,HOLD,Phase F Trainer Waves,Not spoken Trainer dialogue; removed from locked Trainer scope.,TRANSLATE,NEEDS_TRANSLATION,
dlg_41824795a5d47eb9,trainer,trainer_dialogue,,,,,src/strings.c,1202,gText_TrainerCardName,NAME: ,NAME: ,ชื่อ: ,draft_review,,,,phaseF-trainer-batch03 contextual draft,Trainer,Spoken Trainer Dialogue,HOLD_FOR_SCOPE_DECISION,HOLD,Phase F Trainer Waves,Not spoken Trainer dialogue; removed from locked Trainer scope.,TRANSLATE,NEEDS_TRANSLATION,
dlg_f1236bf4142b0c82,trainer,trainer_dialogue,,,,,src/strings.c,1203,gText_TrainerCardIDNo,IDNo.,IDNo.,เลข ID,draft_review,,,dup_00353,phaseF-trainer-batch03 contextual draft,Trainer,Spoken Trainer Dialogue,HOLD_FOR_SCOPE_DECISION,HOLD,Phase F Trainer Waves,Not spoken Trainer dialogue; removed from locked Trainer scope.,TRANSLATE,NEEDS_TRANSLATION,
dlg_dbc8f284828aa121,trainer,trainer_dialogue,,,,,src/strings.c,1204,gText_TrainerCardMoney,MONEY,MONEY,เงิน,draft_review,,,dup_00496,phaseF-trainer-batch03 contextual draft,Trainer,Spoken Trainer Dialogue,HOLD_FOR_SCOPE_DECISION,HOLD,Phase F Trainer Waves,Not spoken Trainer dialogue; removed from locked Trainer scope.,TRANSLATE,NEEDS_TRANSLATION,
dlg_5f9df0bf90eb7669,trainer,trainer_dialogue,,,,,src/strings.c,1210,gText_TrainerCardTime,TIME,TIME,เวลา,draft_review,,,dup_00769,phaseF-trainer-batch03 contextual draft,Trainer,Spoken Trainer Dialogue,HOLD_FOR_SCOPE_DECISION,HOLD,Phase F Trainer Waves,Not spoken Trainer dialogue; removed from locked Trainer scope.,TRANSLATE,NEEDS_TRANSLATION,
