qa_order,risk_rank,description_symbol,item_id,item_name_en,target_text_th,screen,rendering_result,translation_result,visual_status,evidence_note
0,,sPotionDesc,ITEM_POTION,POTION,"ฟื้นฟู HP ให้โปเกมอน
ได้ 20 หน่วย",Bag / Items pocket,pass,pass,proof_passed,Round 1 runtime test passed from the user-completed visual QA manifest.
1,1,sDragonScaleDesc,ITEM_DRAGON_SCALE,DRAGON SCALE,"เกล็ดประหลาดที่
โปเกมอนธาตุมังกร
บางตัวถือไว้",pending_runtime_screen,pass,pass,proof_passed,"User confirmed all 8 revised descriptions displayed correctly in the retest ROM; no overflow, clipping, overlap, or broken glyphs."
2,2,sRoom1KeyDesc,ITEM_ROOM_1_KEY,RM. 1 KEY,"กุญแจเปิดประตู
ภายในเรือร้าง",pending_runtime_screen,pass,pass,proof_passed,Round 1 runtime test passed from the user-completed visual QA manifest.
3,3,sRoom2KeyDesc,ITEM_ROOM_2_KEY,RM. 2 KEY,"กุญแจเปิดประตู
ภายในเรือร้าง",pending_runtime_screen,pass,pass,proof_passed,Round 1 runtime test passed from the user-completed visual QA manifest.
4,4,sRoom4KeyDesc,ITEM_ROOM_4_KEY,RM. 4 KEY,"กุญแจเปิดประตู
ภายในเรือร้าง",pending_runtime_screen,pass,pass,proof_passed,Round 1 runtime test passed from the user-completed visual QA manifest.
5,5,sRoom6KeyDesc,ITEM_ROOM_6_KEY,RM. 6 KEY,"กุญแจเปิดประตู
ภายในเรือร้าง",pending_runtime_screen,pass,pass,proof_passed,Round 1 runtime test passed from the user-completed visual QA manifest.
6,6,sPowderJarDesc,ITEM_POWDER_JAR,POWDER JAR,"โถเก็บผงเบอร์รี
จากเครื่องบดเบอร์รี",pending_runtime_screen,pass,pass,proof_passed,Round 1 runtime test passed from the user-completed visual QA manifest.
7,7,sTM18Desc,ITEM_TM_RAIN_DANCE,TM18,"เพิ่มพลังท่าน้ำ
นาน 5 เทิร์น",pending_runtime_screen,pass,pass,proof_passed,"User confirmed all 8 revised descriptions displayed correctly in the retest ROM; no overflow, clipping, overlap, or broken glyphs."
8,8,sTeachyTVDesc,ITEM_TEACHY_TV,TEACHY TV,"ทีวีที่มีรายการ
แนะนำเทรนเนอร์",pending_runtime_screen,pass,pass,proof_passed,"User confirmed all 8 revised descriptions displayed correctly in the retest ROM; no overflow, clipping, overlap, or broken glyphs."
9,9,sBlueScarfDesc,ITEM_BLUE_SCARF,BLUE SCARF,"ไอเทมถือที่เพิ่ม
ความงามในการประกวด",pending_runtime_screen,pass,pass,proof_passed,Round 1 runtime test passed from the user-completed visual QA manifest.
10,10,sLiftKeyDesc,ITEM_LIFT_KEY,LIFT KEY,"กุญแจลิฟต์ที่ใช้ใน
ฐานลับของทีมร็อกเก็ต",pending_runtime_screen,pass,pass,proof_passed,Round 1 runtime test passed from the user-completed visual QA manifest.
11,11,sBlackBeltDesc,ITEM_BLACK_BELT,BLACK BELT,"ไอเทมถือเพิ่มพลัง
ท่าประเภทต่อสู้",pending_runtime_screen,pass,pass,proof_passed,"User confirmed all 8 revised descriptions displayed correctly in the retest ROM; no overflow, clipping, overlap, or broken glyphs."
12,12,sMagnetDesc,ITEM_MAGNET,MAGNET,"ไอเทมถือเพิ่มพลัง
ท่าประเภทไฟฟ้า",pending_runtime_screen,pass,pass,proof_passed,"User confirmed all 8 revised descriptions displayed correctly in the retest ROM; no overflow, clipping, overlap, or broken glyphs."
13,13,sNetBallDesc,ITEM_NET_BALL,NET BALL,"จับโปเกมอนน้ำและ
แมลงได้ง่ายขึ้น",pending_runtime_screen,pass,pass,proof_passed,"User confirmed all 8 revised descriptions displayed correctly in the retest ROM; no overflow, clipping, overlap, or broken glyphs."
14,14,sRazzBerryDesc,ITEM_RAZZ_BERRY,RAZZ BERRY,"วัตถุดิบทำ {POKEBLOCK}
ปลูกในดินร่วนเพื่อ
เพาะ RAZZ",pending_runtime_screen,pass,pass,proof_passed,Round 1 runtime test passed from the user-completed visual QA manifest.
15,15,sBlukBerryDesc,ITEM_BLUK_BERRY,BLUK BERRY,"วัตถุดิบทำ {POKEBLOCK}
ปลูกในดินร่วนเพื่อ
เพาะ BLUK",pending_runtime_screen,pass,pass,proof_passed,Round 1 runtime test passed from the user-completed visual QA manifest.
16,16,sNanabBerryDesc,ITEM_NANAB_BERRY,NANAB BERRY,"วัตถุดิบทำ {POKEBLOCK}
ปลูกในดินร่วนเพื่อ
เพาะ NANAB",pending_runtime_screen,pass,pass,proof_passed,Round 1 runtime test passed from the user-completed visual QA manifest.
17,17,sWepearBerryDesc,ITEM_WEPEAR_BERRY,WEPEAR BERRY,"วัตถุดิบทำ {POKEBLOCK}
ปลูกในดินร่วนเพื่อ
เพาะ WEPEAR",pending_runtime_screen,pass,pass,proof_passed,Round 1 runtime test passed from the user-completed visual QA manifest.
18,18,sPinapBerryDesc,ITEM_PINAP_BERRY,PINAP BERRY,"วัตถุดิบทำ {POKEBLOCK}
ปลูกในดินร่วนเพื่อ
เพาะ PINAP",pending_runtime_screen,pass,pass,proof_passed,Round 1 runtime test passed from the user-completed visual QA manifest.
19,19,sCornnBerryDesc,ITEM_CORNN_BERRY,CORNN BERRY,"วัตถุดิบทำ {POKEBLOCK}
ปลูกในดินร่วนเพื่อ
เพาะ CORNN",pending_runtime_screen,pass,pass,proof_passed,Round 1 runtime test passed from the user-completed visual QA manifest.
20,20,sMagostBerryDesc,ITEM_MAGOST_BERRY,MAGOST BERRY,"วัตถุดิบทำ {POKEBLOCK}
ปลูกในดินร่วนเพื่อ
เพาะ MAGOST",pending_runtime_screen,pass,pass,proof_passed,Round 1 runtime test passed from the user-completed visual QA manifest.
21,21,sRabutaBerryDesc,ITEM_RABUTA_BERRY,RABUTA BERRY,"วัตถุดิบทำ {POKEBLOCK}
ปลูกในดินร่วนเพื่อ
เพาะ RABUTA",pending_runtime_screen,pass,pass,proof_passed,Round 1 runtime test passed from the user-completed visual QA manifest.
22,22,sNomelBerryDesc,ITEM_NOMEL_BERRY,NOMEL BERRY,"วัตถุดิบทำ {POKEBLOCK}
ปลูกในดินร่วนเพื่อ
เพาะ NOMEL",pending_runtime_screen,pass,pass,proof_passed,Round 1 runtime test passed from the user-completed visual QA manifest.
23,23,sSpelonBerryDesc,ITEM_SPELON_BERRY,SPELON BERRY,"วัตถุดิบทำ {POKEBLOCK}
ปลูกในดินร่วนเพื่อ
เพาะ SPELON",pending_runtime_screen,pass,pass,proof_passed,Round 1 runtime test passed from the user-completed visual QA manifest.
24,24,sPamtreBerryDesc,ITEM_PAMTRE_BERRY,PAMTRE BERRY,"วัตถุดิบทำ {POKEBLOCK}
ปลูกในดินร่วนเพื่อ
เพาะ PAMTRE",pending_runtime_screen,pass,pass,proof_passed,Round 1 runtime test passed from the user-completed visual QA manifest.
