id,global_order,chapter_order,chapter_id,chapter_title_en,chapter_title_th,event_order,event_id,event_title_en,event_title_th,map_order,map_name,map_period,location_name,dialogue_order,speaker,script_label,source_file,source_line,source_label,english_raw,english_preview,thai,translation_status,control_codes,placeholders,chronology_confidence,scope_confidence,translation_confidence,term_review,length_review,translation_notes
dlg_d918d79168cfccf1,167,09,hideouts,Orbs and Hideouts,ลูกแก้วและฐานลับ,29,mt_pyre,Mt. Pyre,ภูเขาโอคุริบิ,29,MtPyre_Summit,mt_pyre,MtPyre Summit,1,Archie,MtPyre_Summit_EventScript_TeamAquaExits,data/maps/MtPyre_Summit/scripts.inc,483,MtPyre_Summit_Text_ArchieWeGotTheOrbLetsGo,"ARCHIE: TEAM MAGMA's MAXIE got ahead\nof us, but we also got what we wanted.\pThe RED ORB preserved at MT. PYRE…\nI, ARCHIE, now have it in my possession!\pFufufu… Now we can bring our ultimate\nobjective to fruition!\pOkay, TEAM!\nWe're pulling out!$","ARCHIE: TEAM MAGMA's MAXIE got ahead
of us, but we also got what we wanted.
[PAGE]
The RED ORB preserved at MT. PYRE…
I, ARCHIE, now have it in my possession!
[PAGE]
Fufufu… Now we can bring our ultimate
objective to fruition!
[PAGE]
Okay, TEAM!
We're pulling out!",อาโอกิริ: มัตสึบูสะจากทีมแมกมา\nชิงลงมือก่อนเรา แต่เราก็ได้สิ่งที่ต้องการ\pลูกแก้วสีแดงซึ่งเก็บรักษาไว้ที่ภูเขาโอคุริบิ…\nตอนนี้อยู่ในมือของฉัน อาโอกิริแล้ว!\pหึ ๆ ๆ… ทีนี้เราก็ทำให้เป้าหมาย\nสูงสุดของเราเป็นจริงได้!\pเอาล่ะ ทุกคน!\nถอนกำลัง!$,draft_review,\n | \p | \n | \p | \n | \p | \n,,high,high,high,ok,review_long_line,
dlg_3e6adbb836d10aa0,168,09,hideouts,Orbs and Hideouts,ลูกแก้วและฐานลับ,29,mt_pyre,Mt. Pyre,ภูเขาโอคุริบิ,29,MtPyre_Summit,mt_pyre,MtPyre Summit,2,,MtPyre_Summit_EventScript_TeamAquaExits,data/maps/MtPyre_Summit/scripts.inc,493,MtPyre_Summit_Text_BothOrbsTakenMagmaLeftThis,"Oh, no…\nThis cannot happen…\pNot only the BLUE ORB, but even\nthe RED ORB has been taken…\pThe BLUE ORB and RED ORB must never\nbe separated. They belong together.\pWhat are those men trying to do with\nthe two ORBS?\p… … … … … …\n… … … … … …\pOh, yes. Was it TEAM MAGMA who came\nand took the BLUE ORB first?\pWell, in their haste, they left this\nbehind.\pI couldn't imagine what exactly it\ncould be.\pI would like you to have it.\nPerhaps it will be useful in some way.$","Oh, no…
This cannot happen…
[PAGE]
Not only the BLUE ORB, but even
the RED ORB has been taken…
[PAGE]
The BLUE ORB and RED ORB must never
be separated. They belong together.
[PAGE]
What are those men trying to do with
the two ORBS?
[PAGE]
… … … … … …
… … … … … …
[PAGE]
Oh, yes. Was it TEAM MAGMA who came
and took the BLUE ORB first?
[PAGE]
Well, in their haste, they left this
behind.
[PAGE]
I couldn't imagine what exactly it
could be.
[PAGE]
I would like you to have it.
Perhaps it will be useful in some way.",โอ้ ไม่นะ…\nเรื่องเช่นนี้เกิดขึ้นไม่ได้…\pไม่ใช่แค่ลูกแก้วสีน้ำเงิน\nแม้แต่ลูกแก้วสีแดงก็ถูกชิงไป…\pลูกแก้วสีน้ำเงินกับลูกแก้วสีแดง\nห้ามแยกจากกัน ทั้งสองต้องอยู่คู่กัน\pคนพวกนั้นคิดจะทำอะไร\nกับลูกแก้วทั้งสองกันแน่?\p… … … … … …\n… … … … … …\pอ้อ ใช่ ทีมแมกมาเป็นพวกที่มา\nเอาลูกแก้วสีน้ำเงินไปก่อนสินะ?\pแต่ตอนรีบร้อน พวกเขาทิ้ง\nสิ่งนี้เอาไว้\pฉันเองก็นึกไม่ออกว่า\nมันคืออะไรกันแน่\pฉันอยากมอบมันให้เธอ\nบางทีมันอาจมีประโยชน์ก็ได้$,draft_review,\n | \p | \n | \p | \n | \p | \n | \p | \n | \p | \n | \p | \n | \p | \n | \p | \n,,high,high,medium,ok,review_long_line,
dlg_735f1ef23f4ce480,169,09,hideouts,Orbs and Hideouts,ลูกแก้วและฐานลับ,29,mt_pyre,Mt. Pyre,ภูเขาโอคุริบิ,29,MtPyre_Summit,mt_pyre,MtPyre Summit,3,,MtPyre_Summit_EventScript_OldLadyOrbsReturned,data/maps/MtPyre_Summit/scripts.inc,533,MtPyre_Summit_Text_ThoseTwoMenReturnedOrbs,The two men who took the ORBS came\nback to return them on their own.\pThose men…\nPerhaps they are not so evil after all…$,"The two men who took the ORBS came
back to return them on their own.
[PAGE]
Those men…
Perhaps they are not so evil after all…",ชายสองคนที่เอาลูกแก้วไป\nกลับมาคืนด้วยตัวเองแล้ว\pคนเหล่านั้น…\nบางทีอาจไม่ได้ชั่วร้ายนักก็ได้…$,draft_review,\n | \p | \n,,high,high,medium,ok,ok,
dlg_99952122a38c4d6b,170,09,hideouts,Orbs and Hideouts,ลูกแก้วและฐานลับ,29,mt_pyre,Mt. Pyre,ภูเขาโอคุริบิ,29,MtPyre_Summit,mt_pyre,MtPyre Summit,4,,MtPyre_Summit_EventScript_OldLadyAfterOrbsReturned,data/maps/MtPyre_Summit/scripts.inc,539,MtPyre_Summit_Text_SuperAncientPokemonTaughtUs,"The embodiments of the land, sea,\nand the sky…\pThat is said to be the identities of\nthe super-ancient POKéMON…\pIn the same way that we humans and\nPOKéMON have life, our world, too,\lis alive…\pThe super-ancient POKéMON have\ntaught us that…$","The embodiments of the land, sea,
and the sky…
[PAGE]
That is said to be the identities of
the super-ancient POKéMON…
[PAGE]
In the same way that we humans and
POKéMON have life, our world, too,
is alive…
[PAGE]
The super-ancient POKéMON have
taught us that…",ตัวแทนแห่งผืนดิน ท้องทะเล\nและท้องฟ้า…\pกล่าวกันว่านั่นคือตัวตนของ\nโปเกมอนยุคบรรพกาล…\pเช่นเดียวกับมนุษย์และโปเกมอน\nที่มีชีวิต โลกของเราเองก็\lมีชีวิตเช่นกัน…\pโปเกมอนยุคบรรพกาล\nได้สอนเรื่องนั้นแก่เรา…$,draft_review,\n | \p | \n | \p | \n | \l | \p | \n,,high,high,medium,ok,ok,
dlg_e5b724b2524196f4,171,09,hideouts,Orbs and Hideouts,ลูกแก้วและฐานลับ,29,mt_pyre,Mt. Pyre,ภูเขาโอคุริบิ,29,MtPyre_Summit,mt_pyre,MtPyre Summit,5,Maxie,MtPyre_Summit_EventScript_ArchieMaxieReturnOrbs,data/maps/MtPyre_Summit/scripts.inc,585,MtPyre_Summit_Text_MaxieSilence,MAXIE: {PLAYER}…\p… … … … … …\n… … … … … …$,"MAXIE: {PLAYER}…
[PAGE]
… … … … … …
… … … … … …",มัตสึบูสะ: {PLAYER}…\p… … … … … …\n… … … … … …$,draft_review,{PLAYER} | \p | \n,{PLAYER},high,high,high,ok,ok,
dlg_36ea63b7ce608519,172,09,hideouts,Orbs and Hideouts,ลูกแก้วและฐานลับ,30,magma_hideout,Magma Hideout,ฐานลับทีมแมกมา,30,MagmaHideout_1F,magma_hideout,MagmaHideout 1F,1,Maxie,MagmaHideout_4F_EventScript_Maxie,data/maps/MagmaHideout_4F/scripts.inc,181,MagmaHideout_4F_Text_MaxieAwakenGroudon,MAXIE: GROUDON…\pNothing could awaken you from your\nsleep bathed in magma…\pThis BLUE ORB is what you sought.\nWasn't it?\pI have brought you the BLUE ORB.\nLet its shine awaken you!\pAnd show me…\nShow me the full extent of your power!$,"MAXIE: GROUDON…
[PAGE]
Nothing could awaken you from your
sleep bathed in magma…
[PAGE]
This BLUE ORB is what you sought.
Wasn't it?
[PAGE]
I have brought you the BLUE ORB.
Let its shine awaken you!
[PAGE]
And show me…
Show me the full extent of your power!",มัตสึบูสะ: กราดอน…\pไม่มีสิ่งใดปลุกแกจากนิทรา\nท่ามกลางแมกมาได้…\pลูกแก้วสีน้ำเงินนี้คือสิ่งที่แกตามหา\nไม่ใช่หรือ?\pฉันนำลูกแก้วสีน้ำเงินมาให้แล้ว\nจงตื่นขึ้นด้วยประกายของมัน!\pแล้วแสดงให้ฉันดู…\nแสดงพลังทั้งหมดของแกออกมา!$,draft_review,\p | \n | \p | \n | \p | \n | \p | \n,,high,high,high,ok,ok,
dlg_f34fbe4729fcf204,173,09,hideouts,Orbs and Hideouts,ลูกแก้วและฐานลับ,30,magma_hideout,Magma Hideout,ฐานลับทีมแมกมา,30,MagmaHideout_1F,magma_hideout,MagmaHideout 1F,2,Maxie,MagmaHideout_4F_EventScript_Maxie,data/maps/MagmaHideout_4F/scripts.inc,192,MagmaHideout_4F_Text_MaxieGroudonWhatsWrong,MAXIE: GROUDON!\nWhat's wrong?\pWasn't the BLUE ORB the key?\pGROUDON!\nWhere have you gone…$,"MAXIE: GROUDON!
What's wrong?
[PAGE]
Wasn't the BLUE ORB the key?
[PAGE]
GROUDON!
Where have you gone…",มัตสึบูสะ: กราดอน!\nเป็นอะไรไป?\pลูกแก้วสีน้ำเงินไม่ใช่กุญแจหรอกรึ?\pกราดอน!\nหายไปไหนแล้ว…$,draft_review,\n | \p | \p | \n,,high,high,high,ok,ok,
dlg_4943951ba089dba9,174,09,hideouts,Orbs and Hideouts,ลูกแก้วและฐานลับ,30,magma_hideout,Magma Hideout,ฐานลับทีมแมกมา,30,MagmaHideout_1F,magma_hideout,MagmaHideout 1F,3,Maxie,MagmaHideout_4F_EventScript_Maxie,data/maps/MagmaHideout_4F/scripts.inc,199,MagmaHideout_4F_Text_MaxieOhItWasYou,"MAXIE: Oh, so it was you?\pI've seen you poking around uninvited\nhere and there…\pI get it now!\nYou must have pulled a cheap stunt!$","MAXIE: Oh, so it was you?
[PAGE]
I've seen you poking around uninvited
here and there…
[PAGE]
I get it now!
You must have pulled a cheap stunt!",มัตสึบูสะ: อ้อ ฝีมือแกสินะ?\pฉันเห็นแกเที่ยวสอดมือยุ่ง\nไปทั่วโดยไม่ได้รับเชิญ…\pเข้าใจแล้ว!\nแกต้องเล่นตุกติกแน่!$,draft_review,\p | \n | \p | \n,,high,high,high,ok,ok,
dlg_0ced0caff1c00ef9,175,09,hideouts,Orbs and Hideouts,ลูกแก้วและฐานลับ,30,magma_hideout,Magma Hideout,ฐานลับทีมแมกมา,30,MagmaHideout_1F,magma_hideout,MagmaHideout 1F,4,Maxie,MagmaHideout_4F_EventScript_Maxie,data/maps/MagmaHideout_4F/scripts.inc,210,MagmaHideout_4F_Text_MaxieImGoingAfterGroudon,"MAXIE: There has to be some reason\nwhy GROUDON fled…\pThat's what you're trying to say,\naren't you?\p… … … … … …\n… … … … … …\pHumph…\nYou think I didn't know that?\pWith GROUDON gone, there is no longer\nany need for this blasted volcano.\pI am going after GROUDON, so this\nis where we part!$","MAXIE: There has to be some reason
why GROUDON fled…
[PAGE]
That's what you're trying to say,
aren't you?
[PAGE]
… … … … … …
… … … … … …
[PAGE]
Humph…
You think I didn't know that?
[PAGE]
With GROUDON gone, there is no longer
any need for this blasted volcano.
[PAGE]
I am going after GROUDON, so this
is where we part!",มัตสึบูสะ: ต้องมีเหตุผลบางอย่าง\nที่กราดอนหนีไป…\pนั่นคือสิ่งที่แกพยายามจะบอก\nใช่ไหม?\p… … … … … …\n… … … … … …\pฮึ…\nคิดว่าฉันไม่รู้หรือ?\pเมื่อกราดอนไปแล้ว ภูเขาไฟ\nบ้า ๆ นี่ก็ไม่มีประโยชน์อีก\pฉันจะตามกราดอนไป\nเราแยกกันตรงนี้!$,draft_review,\n | \p | \n | \p | \n | \p | \n | \p | \n | \p | \n,,high,high,high,ok,ok,
dlg_4eda68ad2ec20a56,176,09,hideouts,Orbs and Hideouts,ลูกแก้วและฐานลับ,31,submarine,Slateport submarine,เรือดำน้ำแห่งไคไน,31,SlateportCity,submarine,SlateportCity,1,,SlateportCity_EventScript_OldWomanSternInterview,data/maps/SlateportCity/scripts.inc,1106,SlateportCity_Text_CaptSternBeingInterviewed,I was hoping that it was a famous star\nso I could get an autograph.\pBut who's that being interviewed?\nIsn't that CAPT. STERN?$,"I was hoping that it was a famous star
so I could get an autograph.
[PAGE]
But who's that being interviewed?
Isn't that CAPT. STERN?",ฉันหวังว่าจะเป็นดาราดัง\nจะได้ขอลายเซ็นเสียหน่อย\pแต่คนที่กำลังให้สัมภาษณ์นั่นใคร?\nกัปตันคุสโนกิไม่ใช่หรือ?$,draft_review,\n | \p | \n,,high,high,medium,ok,ok,
