move_id,move_name_en,name_status,description_symbol,source_text,target_text_th,description_status,move_name_source_file,move_name_source_line,description_source_file,description_source_line,mapping_source_line
MOVE_POUND,POUND,keep_english,sPoundDescription,"Pounds the foe with
forelegs or tail.","ทุบคู่ต่อสู้ด้วย
ขาหน้าหรือหาง",proof_passed,src/data/text/move_names.h,4,src/data/text/move_descriptions.h,4,1423
MOVE_KARATE_CHOP,KARATE CHOP,keep_english,sKarateChopDescription,"A chopping attack with a
high critical-hit ratio.","ท่าสับที่มีโอกาส
โจมตีคริติคอลสูง",proof_passed,src/data/text/move_names.h,5,src/data/text/move_descriptions.h,8,1424
MOVE_DOUBLE_SLAP,DOUBLESLAP,keep_english,sDoubleSlapDescription,"Repeatedly slaps the foe
2 to 5 times.","ตบคู่ต่อสู้ซ้ำ
2 ถึง 5 ครั้ง",proof_passed,src/data/text/move_names.h,6,src/data/text/move_descriptions.h,12,1425
MOVE_COMET_PUNCH,COMET PUNCH,keep_english,sCometPunchDescription,"Repeatedly punches the foe
2 to 5 times.","ชกคู่ต่อสู้ซ้ำ
2 ถึง 5 ครั้ง",proof_passed,src/data/text/move_names.h,7,src/data/text/move_descriptions.h,16,1426
MOVE_MEGA_PUNCH,MEGA PUNCH,keep_english,sMegaPunchDescription,"A strong punch thrown with
incredible power.","ปล่อยหมัดรุนแรง
ด้วยพลังมหาศาล",proof_passed,src/data/text/move_names.h,8,src/data/text/move_descriptions.h,20,1427
MOVE_PAY_DAY,PAY DAY,keep_english,sPayDayDescription,"Throws coins at the foe.
Money is recovered after.","ขว้างเหรียญใส่คู่ต่อสู้
เก็บเงินได้หลังจบศึก",proof_passed,src/data/text/move_names.h,9,src/data/text/move_descriptions.h,24,1428
MOVE_FIRE_PUNCH,FIRE PUNCH,keep_english,sFirePunchDescription,"A fiery punch that may burn
the foe.","หมัดเพลิงที่อาจทำให้
คู่ต่อสู้ไหม้",proof_passed,src/data/text/move_names.h,10,src/data/text/move_descriptions.h,28,1429
MOVE_ICE_PUNCH,ICE PUNCH,keep_english,sIcePunchDescription,"An icy punch that may
freeze the foe.","หมัดน้ำแข็งที่อาจ
แช่แข็งคู่ต่อสู้",proof_passed,src/data/text/move_names.h,11,src/data/text/move_descriptions.h,32,1430
MOVE_THUNDER_PUNCH,THUNDERPUNCH,keep_english,sThunderPunchDescription,"An electrified punch that
may paralyze the foe.","หมัดไฟฟ้าที่อาจทำให้
คู่ต่อสู้อัมพาต",proof_passed,src/data/text/move_names.h,12,src/data/text/move_descriptions.h,36,1431
MOVE_SCRATCH,SCRATCH,keep_english,sScratchDescription,"Scratches the foe with
sharp claws.","ข่วนคู่ต่อสู้ด้วย
กรงเล็บแหลมคม",proof_passed,src/data/text/move_names.h,13,src/data/text/move_descriptions.h,40,1432
MOVE_VICE_GRIP,VICEGRIP,keep_english,sViceGripDescription,"Grips the foe with large and
powerful pincers.","หนีบคู่ต่อสู้ด้วย
ก้ามขนาดใหญ่ทรงพลัง",proof_passed,src/data/text/move_names.h,14,src/data/text/move_descriptions.h,44,1433
MOVE_GUILLOTINE,GUILLOTINE,keep_english,sGuillotineDescription,"A powerful pincer attack
that may cause fainting.","โจมตีด้วยก้ามทรงพลัง
อาจทำให้คู่ต่อสู้หมดสภาพ",proof_passed,src/data/text/move_names.h,15,src/data/text/move_descriptions.h,48,1434
MOVE_RAZOR_WIND,RAZOR WIND,keep_english,sRazorWindDescription,"A 2-turn move that strikes
the foe on the 2nd turn.","ใช้เวลา 2 เทิร์น
โจมตีในเทิร์นที่ 2",proof_passed,src/data/text/move_names.h,16,src/data/text/move_descriptions.h,52,1435
MOVE_SWORDS_DANCE,SWORDS DANCE,keep_english,sSwordsDanceDescription,"A fighting dance that
sharply raises ATTACK.","การร่ายรำที่เพิ่ม
พลังโจมตีอย่างมาก",proof_passed,src/data/text/move_names.h,17,src/data/text/move_descriptions.h,56,1436
MOVE_CUT,CUT,keep_english,sCutDescription,"Cuts the foe with sharp
scythes, claws, etc.","ฟันคู่ต่อสู้ด้วย
เคียวหรือกรงเล็บคม",proof_passed,src/data/text/move_names.h,18,src/data/text/move_descriptions.h,60,1437
MOVE_GUST,GUST,keep_english,sGustDescription,"Strikes the foe with a gust
of wind whipped up by wings.","โจมตีด้วยลมกระโชก
ที่ปีกพัดขึ้น",proof_passed,src/data/text/move_names.h,19,src/data/text/move_descriptions.h,64,1438
MOVE_WING_ATTACK,WING ATTACK,keep_english,sWingAttackDescription,"Strikes the foe with wings
spread wide.","โจมตีคู่ต่อสู้ด้วย
ปีกที่กางออก",proof_passed,src/data/text/move_names.h,20,src/data/text/move_descriptions.h,68,1439
MOVE_WHIRLWIND,WHIRLWIND,keep_english,sWhirlwindDescription,"Blows away the foe with
wind and ends the battle.","พัดคู่ต่อสู้ออกจากศึก
ด้วยกระแสลม",proof_passed,src/data/text/move_names.h,21,src/data/text/move_descriptions.h,72,1440
MOVE_FLY,FLY,keep_english,sFlyDescription,"Flies up on the first turn,
then strikes the next turn.","บินขึ้นในเทิร์นแรก
โจมตีในเทิร์นถัดไป",proof_passed,src/data/text/move_names.h,22,src/data/text/move_descriptions.h,76,1441
MOVE_BIND,BIND,keep_english,sBindDescription,"Binds and squeezes the foe
for 2 to 5 turns.","รัดและบีบคู่ต่อสู้
นาน 2 ถึง 5 เทิร์น",proof_passed,src/data/text/move_names.h,23,src/data/text/move_descriptions.h,80,1442
MOVE_SLAM,SLAM,keep_english,sSlamDescription,"Slams the foe with a long
tail, vine, etc.","ฟาดคู่ต่อสู้ด้วย
หางหรือเถาวัลย์ยาว",proof_passed,src/data/text/move_names.h,24,src/data/text/move_descriptions.h,84,1443
MOVE_VINE_WHIP,VINE WHIP,keep_english,sVineWhipDescription,"Strikes the foe with
slender, whiplike vines.","ฟาดคู่ต่อสู้ด้วย
เถาวัลย์เรียวคล้ายแส้",proof_passed,src/data/text/move_names.h,25,src/data/text/move_descriptions.h,88,1444
MOVE_STOMP,STOMP,keep_english,sStompDescription,"Stomps the enemy with a big
foot. May cause flinching.","เหยียบด้วยเท้าขนาดใหญ่
อาจทำให้คู่ต่อสู้ชะงัก",proof_passed,src/data/text/move_names.h,26,src/data/text/move_descriptions.h,92,1445
MOVE_DOUBLE_KICK,DOUBLE KICK,keep_english,sDoubleKickDescription,"A double-kicking attack
that strikes the foe twice.","เตะต่อเนื่องสองครั้ง
ใส่คู่ต่อสู้",proof_passed,src/data/text/move_names.h,27,src/data/text/move_descriptions.h,96,1446
MOVE_MEGA_KICK,MEGA KICK,keep_english,sMegaKickDescription,"An extremely powerful kick
with intense force.","เตะด้วยพลังรุนแรง
อย่างมหาศาล",proof_passed,src/data/text/move_names.h,28,src/data/text/move_descriptions.h,100,1447
MOVE_JUMP_KICK,JUMP KICK,keep_english,sJumpKickDescription,"A strong jumping kick. May
miss and hurt the kicker.","กระโดดเตะอย่างรุนแรง
พลาดแล้วผู้ใช้ท่าบาดเจ็บ",proof_passed,src/data/text/move_names.h,29,src/data/text/move_descriptions.h,104,1448
MOVE_ROLLING_KICK,ROLLING KICK,keep_english,sRollingKickDescription,"A fast kick delivered from
a rapid spin.","หมุนตัวอย่างรวดเร็ว
แล้วปล่อยลูกเตะ",proof_passed,src/data/text/move_names.h,30,src/data/text/move_descriptions.h,108,1449
MOVE_SAND_ATTACK,SAND-ATTACK,keep_english,sSandAttackDescription,"Reduces the foe's accuracy
by hurling sand in its face.","สาดทรายใส่หน้าคู่ต่อสู้
เพื่อลดความแม่นยำ",proof_passed,src/data/text/move_names.h,31,src/data/text/move_descriptions.h,112,1450
MOVE_HEADBUTT,HEADBUTT,keep_english,sHeadbuttDescription,"A ramming attack that may
cause flinching.","พุ่งกระแทกด้วยศีรษะ
อาจทำให้คู่ต่อสู้ชะงัก",proof_passed,src/data/text/move_names.h,32,src/data/text/move_descriptions.h,116,1451
MOVE_HORN_ATTACK,HORN ATTACK,keep_english,sHornAttackDescription,"Jabs the foe with sharp
horns.","แทงคู่ต่อสู้ด้วย
เขาแหลมคม",proof_passed,src/data/text/move_names.h,33,src/data/text/move_descriptions.h,120,1452
MOVE_FURY_ATTACK,FURY ATTACK,keep_english,sFuryAttackDescription,"Jabs the foe 2 to 5 times
with sharp horns, etc.","แทงด้วยเขาแหลมคม
2 ถึง 5 ครั้ง",proof_passed,src/data/text/move_names.h,34,src/data/text/move_descriptions.h,124,1453
MOVE_HORN_DRILL,HORN DRILL,keep_english,sHornDrillDescription,"A one-hit KO attack that
uses a horn like a drill.","ใช้เขาหมุนคล้ายสว่าน
ทำให้หมดสภาพในครั้งเดียว",proof_passed,src/data/text/move_names.h,35,src/data/text/move_descriptions.h,128,1454
MOVE_TACKLE,TACKLE,keep_english,sTackleDescription,"Charges the foe with a full-
body tackle.","พุ่งชนคู่ต่อสู้ด้วย
ร่างกายทั้งหมด",proof_passed,src/data/text/move_names.h,36,src/data/text/move_descriptions.h,132,1455
MOVE_BODY_SLAM,BODY SLAM,keep_english,sBodySlamDescription,"A full-body slam that may
cause paralysis.","พุ่งทับด้วยทั้งร่าง
อาจทำให้คู่ต่อสู้อัมพาต",proof_passed,src/data/text/move_names.h,37,src/data/text/move_descriptions.h,136,1456
MOVE_WRAP,WRAP,keep_english,sWrapDescription,"Wraps and squeezes the foe
2 to 5 times with vines, etc.","ใช้เถาวัลย์รัดและบีบ
คู่ต่อสู้ 2 ถึง 5 ครั้ง",proof_passed,src/data/text/move_names.h,38,src/data/text/move_descriptions.h,140,1457
MOVE_TAKE_DOWN,TAKE DOWN,keep_english,sTakeDownDescription,"A reckless charge attack
that also hurts the user.","พุ่งชนอย่างไม่ยั้ง
ผู้ใช้ท่าก็บาดเจ็บด้วย",proof_passed,src/data/text/move_names.h,39,src/data/text/move_descriptions.h,144,1458
MOVE_THRASH,THRASH,keep_english,sThrashDescription,"A rampage of 2 to 3 turns
that confuses the user.","อาละวาด 2 ถึง 3 เทิร์น
แล้วผู้ใช้ท่าสับสน",proof_passed,src/data/text/move_names.h,40,src/data/text/move_descriptions.h,148,1459
