id,category,subcategory,story_order,map_name,location_name,speaker,source_file,source_line,source_label,english_raw,english_preview,thai,translation_status,control_codes,placeholders,duplicate_group,notes,scope_group,scope_subgroup,policy,scope_status,canonical_tracker,reason,scope_decision
dlg_e616ce25eb9f52d3,trainer,trainer_dialogue,,,,,src/data/union_room.h,96,sText_OtherTrainerUnavailableNow,The other TRAINER doesn't appear\nto be available now…\p,"The other TRAINER doesn't appear
to be available now…
[PAGE]
",ดูเหมือนเทรนเนอร์อีกฝ่าย\nจะยังไม่ว่างตอนนี้…\p,applied,\n | \p,,,phaseF-trainer-batch01 Union Room contextual draft; Technical gates PASS; runtime QA deferred OPTIONAL,Trainer,Spoken Trainer Dialogue,HOLD_FOR_SCOPE_DECISION,HOLD,Phase F Trainer Waves,Not spoken Trainer dialogue; removed from locked Trainer scope.,TRANSLATE
dlg_2aa91d67aa170858,trainer,trainer_dialogue,,,,,src/data/union_room.h,97,sText_CantTransmitTrainerTooFar,You can't transmit with a TRAINER\nwho is too far away.\p,"You can't transmit with a TRAINER
who is too far away.
[PAGE]
",ไม่สามารถสื่อสารกับเทรนเนอร์\nที่อยู่ไกลเกินไปได้\p,applied,\n | \p,,,phaseF-trainer-batch01 Union Room contextual draft; Technical gates PASS; runtime QA deferred OPTIONAL,Trainer,Spoken Trainer Dialogue,HOLD_FOR_SCOPE_DECISION,HOLD,Phase F Trainer Waves,Not spoken Trainer dialogue; removed from locked Trainer scope.,TRANSLATE
dlg_81d1855a9bbd8e87,trainer,trainer_dialogue,,,,,src/data/union_room.h,98,sText_TrainersNotReadyYet,The other TRAINER(S) is/are not\nready yet.\p,"The other TRAINER(S) is/are not
ready yet.
[PAGE]
",เทรนเนอร์อีกฝ่าย\nยังไม่พร้อมในตอนนี้\p,applied,\n | \p,,,phaseF-trainer-batch01 Union Room contextual draft; Technical gates PASS; runtime QA deferred OPTIONAL,Trainer,Spoken Trainer Dialogue,HOLD_FOR_SCOPE_DECISION,HOLD,Phase F Trainer Waves,Not spoken Trainer dialogue; removed from locked Trainer scope.,TRANSLATE
dlg_fbefae372e51c0d7,trainer,trainer_dialogue,,,,,src/data/union_room.h,113,sText_TrainerAppearsUnavailable,The other TRAINER appears\nunavailable…\p,"The other TRAINER appears
unavailable…
[PAGE]
",ดูเหมือนเทรนเนอร์อีกฝ่าย\nจะยังไม่ว่าง…\p,applied,\n | \p,,,phaseF-trainer-batch01 Union Room contextual draft; Technical gates PASS; runtime QA deferred OPTIONAL,Trainer,Spoken Trainer Dialogue,HOLD_FOR_SCOPE_DECISION,HOLD,Phase F Trainer Waves,Not spoken Trainer dialogue; removed from locked Trainer scope.,TRANSLATE
dlg_daae05298ce9cbef,trainer,trainer_dialogue,,,,,src/data/union_room.h,215,sText_AwaitingResponseFromTrainer,Awaiting a response from\nthe other TRAINER…,"Awaiting a response from
the other TRAINER…",กำลังรอการตอบกลับจาก\nเทรนเนอร์อีกฝ่าย…,applied,\n,,dup_00060,phaseF-trainer-batch01 Union Room contextual draft; Technical gates PASS; runtime QA deferred OPTIONAL,Trainer,Spoken Trainer Dialogue,HOLD_FOR_SCOPE_DECISION,HOLD,Phase F Trainer Waves,Not spoken Trainer dialogue; removed from locked Trainer scope.,TRANSLATE
dlg_2d8e0b5f2ce40dc2,trainer,trainer_dialogue,,,,,src/data/union_room.h,223,sText_ShowTrainerCard,The other TRAINER showed\nyou their TRAINER CARD.\pWould you like to show your\nTRAINER CARD?,"The other TRAINER showed
you their TRAINER CARD.
[PAGE]
Would you like to show your
TRAINER CARD?",เทรนเนอร์อีกฝ่ายแสดง\nบัตรเทรนเนอร์ให้คุณดู\pต้องการแสดงบัตรเทรนเนอร์\nของคุณหรือไม่?,applied,\n | \p | \n,,,phaseF-trainer-batch01 Union Room contextual draft; Technical gates PASS; runtime QA deferred OPTIONAL,Trainer,Spoken Trainer Dialogue,HOLD_FOR_SCOPE_DECISION,HOLD,Phase F Trainer Waves,Not spoken Trainer dialogue; removed from locked Trainer scope.,TRANSLATE
dlg_15275bfdcd69ff76,trainer,trainer_dialogue,,,,,src/data/union_room.h,256,sText_TrainerAppearsBusy,……\nThe TRAINER appears to be busy…\p,"……
The TRAINER appears to be busy…
[PAGE]
",……\nดูเหมือนเทรนเนอร์จะไม่ว่าง…\p,applied,\n | \p,,,phaseF-trainer-batch01 Union Room contextual draft; Technical gates PASS; runtime QA deferred OPTIONAL,Trainer,Spoken Trainer Dialogue,HOLD_FOR_SCOPE_DECISION,HOLD,Phase F Trainer Waves,Not spoken Trainer dialogue; removed from locked Trainer scope.,TRANSLATE
dlg_4c65ab2068a44c87,trainer,trainer_dialogue,,,,,src/data/union_room.h,259,sText_ShowTrainerCardMale,"Sure thing! As my “Greetings,”\nhere's my TRAINER CARD.","Sure thing! As my “Greetings,”
here's my TRAINER CARD.",ได้เลย! ถือเป็นคำทักทาย\nนี่บัตรเทรนเนอร์ของผม,applied,\n,,,phaseF-trainer-batch01 Union Room contextual draft; Technical gates PASS; runtime QA deferred OPTIONAL,Trainer,Spoken Trainer Dialogue,HOLD_FOR_SCOPE_DECISION,HOLD,Phase F Trainer Waves,Not spoken Trainer dialogue; removed from locked Trainer scope.,TRANSLATE
dlg_9ab8851da5f82dfe,trainer,trainer_dialogue,,,,,src/data/union_room.h,262,sText_ShowTrainerCardFemale,"As my introduction, I'll show you\nmy TRAINER CARD.","As my introduction, I'll show you
my TRAINER CARD.",ขอแนะนำตัวด้วยการให้ดู\nบัตรเทรนเนอร์ของฉันนะ,applied,\n,,,phaseF-trainer-batch01 Union Room contextual draft; Technical gates PASS; runtime QA deferred OPTIONAL,Trainer,Spoken Trainer Dialogue,HOLD_FOR_SCOPE_DECISION,HOLD,Phase F Trainer Waves,Not spoken Trainer dialogue; removed from locked Trainer scope.,TRANSLATE
dlg_eb49686c258f16c7,trainer,trainer_dialogue,,,,,src/data/union_room.h,319,sText_ShowTrainerCardDeclinedMale,Huh? My TRAINER CARD…\nWhere'd it go now?\lSorry! I'll show you another time!\p,"Huh? My TRAINER CARD…
Where'd it go now?
Sorry! I'll show you another time!
[PAGE]
",เอ๊ะ? บัตรเทรนเนอร์ของผม…\nหายไปไหนแล้วนะ?\lขอโทษ! ไว้คราวหน้าจะให้ดู!\p,applied,\n | \l | \p,,,phaseF-trainer-batch01 Union Room contextual draft; Technical gates PASS; runtime QA deferred OPTIONAL,Trainer,Spoken Trainer Dialogue,HOLD_FOR_SCOPE_DECISION,HOLD,Phase F Trainer Waves,Not spoken Trainer dialogue; removed from locked Trainer scope.,TRANSLATE
