ui_id,symbol,source_file,source_text,target_text,inventory_usage_count,live_reference_count,width_limit_px,calculated_width_px,risk_level,risk_reasons,reference_files,qa_samples,analysis_result,visual_qa_status
SM0342,sText_PkmnRaisedSpDefALittle,src/battle_message.c,"{B_ATK_PREFIX2}'s {B_CURRENT_MOVE}
raised SP. DEF a little!","{B_ATK_PREFIX2} ใช้ {B_CURRENT_MOVE}
เพิ่มพลังป้องกันพิเศษเล็กน้อย!",1,1,,175,MEDIUM,หลายบรรทัด,src/battle_message.c,{},pass,pending
SM0344,sText_PkmnsXPreventsYsZ,src/battle_message.c,"{B_ATK_NAME_WITH_PREFIX}'s {B_ATK_ABILITY}
prevents {B_DEF_NAME_WITH_PREFIX}'s\l{B_DEF_ABILITY} from working!","{B_ATK_NAME_WITH_PREFIX} ใช้ {B_ATK_ABILITY}
ขัดขวาง {B_DEF_NAME_WITH_PREFIX}\lทำให้ {B_DEF_ABILITY} ใช้งานไม่ได้!",1,1,,183,MEDIUM,หลายบรรทัด,src/battle_message.c,{},pass,pending
SM0345,sText_PkmnsXCuredItsYProblem,src/battle_message.c,"{B_SCR_ACTIVE_NAME_WITH_PREFIX}'s {B_SCR_ACTIVE_ABILITY}
cured its {B_BUFF1} problem!","{B_SCR_ACTIVE_NAME_WITH_PREFIX} ใช้ {B_SCR_ACTIVE_ABILITY}
รักษาอาการ {B_BUFF1}!",1,1,,96,MEDIUM,หลายบรรทัด,src/battle_message.c,{},pass,pending
SM0347,sText_PkmnObtainedX,src/battle_message.c,"{B_ATK_NAME_WITH_PREFIX} obtained
{B_BUFF1}.","{B_ATK_NAME_WITH_PREFIX} ได้รับ
{B_BUFF1}.",1,1,,53,MEDIUM,หลายบรรทัด,src/battle_message.c,{},pass,pending
SM0348,sText_PkmnObtainedX2,src/battle_message.c,"{B_DEF_NAME_WITH_PREFIX} obtained
{B_BUFF2}.","{B_DEF_NAME_WITH_PREFIX} ได้รับ
{B_BUFF2}.",1,1,,53,MEDIUM,หลายบรรทัด,src/battle_message.c,{},pass,pending
SM0349,sText_PkmnObtainedXYObtainedZ,src/battle_message.c,"{B_ATK_NAME_WITH_PREFIX} obtained
{B_BUFF1}.\p{B_DEF_NAME_WITH_PREFIX} obtained
{B_BUFF2}.","{B_ATK_NAME_WITH_PREFIX} ได้รับ
{B_BUFF1}.\p{B_DEF_NAME_WITH_PREFIX} ได้รับ
{B_BUFF2}.",1,1,,122,MEDIUM,หลายบรรทัด,src/battle_message.c,{},pass,pending
SM0351,sText_PkmnsXHadNoEffectOnY,src/battle_message.c,"{B_SCR_ACTIVE_NAME_WITH_PREFIX}'s {B_SCR_ACTIVE_ABILITY}
had no effect on {B_EFF_NAME_WITH_PREFIX}!","{B_SCR_ACTIVE_NAME_WITH_PREFIX} ใช้ {B_SCR_ACTIVE_ABILITY}
แต่ไม่มีผลต่อ {B_EFF_NAME_WITH_PREFIX}!",1,1,,107,MEDIUM,หลายบรรทัด,src/battle_message.c,{},pass,pending
SM0352,sText_TwoInGameTrainersDefeated,src/battle_message.c,"{B_TRAINER1_CLASS} {B_TRAINER1_NAME} and
{B_TRAINER2_CLASS} {B_TRAINER2_NAME}\lwere defeated!\p","{B_TRAINER1_CLASS} {B_TRAINER1_NAME} และ
{B_TRAINER2_CLASS} {B_TRAINER2_NAME}\lพ่ายแพ้แล้ว!\p",2,2,,138,MEDIUM,หลายบรรทัด; ใช้งาน 2 จุด,src/battle_message.c,{},pass,pending
SM0354,sText_PkmnIncapableOfPower,src/battle_message.c,"{B_ATK_NAME_WITH_PREFIX} appears incapable
of using its power!","{B_ATK_NAME_WITH_PREFIX} ดูเหมือน
จะใช้พลังของตัวเองไม่ได้!",1,1,,177,MEDIUM,หลายบรรทัด,src/battle_message.c,{},pass,pending
SM0355,sText_GlintAppearsInEye,src/battle_message.c,"A glint appears in
{B_SCR_ACTIVE_NAME_WITH_PREFIX}'s eyes!","ดวงตาของ {B_SCR_ACTIVE_NAME_WITH_PREFIX}
เป็นประกายวาบ!",1,1,,141,MEDIUM,หลายบรรทัด,src/battle_message.c,{},pass,pending
