term_en,term_th,category,status,match_mode,excluded_phrases,raw_occurrence_count,occurrence_count,example_refs,notes
POKéMON,โปเกมอน,general,locked,ignore_case,,89,89,MOVE_METRONOME | MOVE_PERISH_SONG | MOVE_BEAT_UP,"Generic species term, not an individual Pokémon name."
foe,คู่ต่อสู้,battle_actor,locked,ignore_case,,167,167,MOVE_POUND | MOVE_DOUBLE_SLAP | MOVE_COMET_PUNCH,Includes possessive forms such as foe's.
user,ผู้ใช้ท่า,battle_actor,locked,ignore_case,,53,53,MOVE_TAKE_DOWN | MOVE_THRASH | MOVE_DOUBLE_EDGE,The Pokémon using the move.
target,เป้าหมาย,battle_actor,locked,ignore_case,,3,3,MOVE_ROLE_PLAY | MOVE_SKILL_SWAP | MOVE_SNATCH,Approved project terminology.
damage,ความเสียหาย,battle_effect,locked,ignore_case,,27,27,MOVE_SONIC_BOOM | MOVE_LOW_KICK | MOVE_SEISMIC_TOSS,Approved project terminology.
critical hit,การโจมตีคริติคอล,battle_effect,locked,ignore_case,,0,0,,Source variants include critical-hit and critical-hit ratio; 14 semantic occurrences were audited.
status problem,สถานะผิดปกติ,status,locked,ignore_case,,0,0,,Source commonly uses the plural status problems; 5 semantic occurrences were audited.
flinch,ชะงัก,status,locked,ignore_case,,1,1,sTM01Desc,"Covers flinch, flinches, and flinching; 13 semantic occurrences were audited."
confusion,สับสน,status,locked,ignore_case,,5,5,MOVE_CONFUSION | MOVE_SWEET_KISS | MOVE_DYNAMIC_PUNCH,Approved project terminology.
paralysis,อัมพาต,status,locked,ignore_case,,7,7,MOVE_BODY_SLAM | MOVE_THUNDER | MOVE_GLARE,Approved project terminology.
burn,ไหม้,status,locked,ignore_case,,14,14,MOVE_FIRE_PUNCH | MOVE_EMBER | MOVE_FLAMETHROWER,"Covers burn and inflected forms; translate according to noun, verb, or status context. 16 semantic occurrences audited."
freeze,แช่แข็ง,status,locked,ignore_case,,5,5,MOVE_ICE_PUNCH | MOVE_ICE_BEAM | MOVE_BLIZZARD,"Covers freeze, freezing, and frozen; translate according to context. 7 semantic occurrences audited."
poison,พิษ,status,locked,ignore_case,,10,10,MOVE_POISON_STING | MOVE_POISON_POWDER | MOVE_SMOG,"Covers poison and inflected forms; translate according to noun, verb, or status context. 17 semantic occurrences audited."
sleep,หลับ,status,locked,ignore_case,,6,6,MOVE_SLEEP_POWDER | MOVE_HYPNOSIS | MOVE_LOVELY_KISS,"Covers sleep, sleeping, and asleep; translate according to context. 15 semantic occurrences audited."
recoil,ความเสียหายสะท้อนกลับ,battle_effect,locked,ignore_case,,0,0,,Approved project terminology for future text; not present in the current description corpus.
held item,ไอเทมที่ถืออยู่,item,locked,ignore_case,,2,2,MOVE_THIEF | sTM46Desc,Approved project terminology.
raises,เพิ่ม,stat_change,locked,ignore_case,sharply raises,62,58,MOVE_RAGE | MOVE_SHARPEN | MOVE_FLATTER,Covers the normal stat-increase concept. Translate longer phrases such as sharply raises first. 78 raise-form occurrences were audited.
lowers,ลด,stat_change,locked,ignore_case,sharply lowers,17,14,MOVE_SMOKESCREEN | MOVE_LIGHT_SCREEN | MOVE_ICY_WIND,Covers the normal stat-decrease concept. Translate longer phrases such as sharply lowers first. 43 lower-form occurrences were audited.
sharply raises,เพิ่มอย่างมาก,stat_change,locked,ignore_case,,4,4,MOVE_SWORDS_DANCE | MOVE_BARRIER | MOVE_AMNESIA,Higher priority than raises.
sharply lowers,ลดอย่างมาก,stat_change,locked,ignore_case,,3,3,MOVE_OVERHEAT | MOVE_METAL_SOUND | MOVE_PSYCHO_BOOST,Higher priority than lowers.
