dialogue_id,source_label,source_file,source_line,script_label,event_id,map_name,map_period,reference_type,mandatory_path,branch_type,scope_decision,scope_evidence,chronology_confidence,notes
dlg_f05a5b388b38ad28,gText_Birch_Welcome,data/text/birch_speech.inc,1,opening_sequence,birch_intro,,opening,direct_or_chained_script_reference,yes,mandatory,main_story,Resolved from a checklist event seed through direct or chained script references.,high,
dlg_a0a50d7092ef23e5,gText_Birch_Pokemon,data/text/birch_speech.inc,8,opening_sequence,birch_intro,,opening,direct_or_chained_script_reference,yes,mandatory,main_story,Resolved from a checklist event seed through direct or chained script references.,high,
dlg_8413e20c18110096,gText_Birch_MainSpeech,data/text/birch_speech.inc,13,opening_sequence,birch_intro,,opening,direct_or_chained_script_reference,yes,mandatory,main_story,Resolved from a checklist event seed through direct or chained script references.,high,
dlg_412f32d24928ff84,gText_Birch_AndYouAre,data/text/birch_speech.inc,30,opening_sequence,player_setup,,opening,direct_or_chained_script_reference,yes,mandatory,main_story,Resolved from a checklist event seed through direct or chained script references.,high,
dlg_008b1eacc20d2fa0,gText_Birch_BoyOrGirl,data/text/birch_speech.inc,33,opening_sequence,player_setup,,opening,direct_or_chained_script_reference,yes,mandatory,main_story,Resolved from a checklist event seed through direct or chained script references.,high,
dlg_9ef890e3b20a3ebf,gText_Birch_WhatsYourName,data/text/birch_speech.inc,37,opening_sequence,player_setup,,opening,direct_or_chained_script_reference,yes,mandatory,main_story,Resolved from a checklist event seed through direct or chained script references.,high,
dlg_531e30048ab5cfb4,gText_Birch_SoItsPlayer,data/text/birch_speech.inc,41,opening_sequence,player_setup,,opening,direct_or_chained_script_reference,yes,mandatory,main_story,Resolved from a checklist event seed through direct or chained script references.,high,
dlg_3d03c87c21475304,gText_Birch_YourePlayer,data/text/birch_speech.inc,44,opening_sequence,player_setup,,opening,direct_or_chained_script_reference,yes,mandatory,main_story,Resolved from a checklist event seed through direct or chained script references.,high,
dlg_745792a288a31bbd,gText_Birch_AreYouReady,data/text/birch_speech.inc,51,opening_sequence,player_setup,,opening,direct_or_chained_script_reference,yes,mandatory,main_story,Resolved from a checklist event seed through direct or chained script references.,high,
dlg_c9c9cfc75f70e8e3,PlayersHouse_1F_Text_IsntItNiceInHere,data/maps/LittlerootTown_BrendansHouse_1F/scripts.inc,285,PlayersHouse_1F_EventScript_EnterHouseMovingIn,littleroot_arrival,LittlerootTown_BrendansHouse_1F,arrival,direct_or_chained_script_reference,yes,mandatory,main_story,Resolved from a checklist event seed through direct or chained script references.,high,
dlg_bd705cc8a504bb05,PlayersHouse_1F_Text_MoversPokemonGoSetClock,data/maps/LittlerootTown_BrendansHouse_1F/scripts.inc,289,PlayersHouse_1F_EventScript_EnterHouseMovingIn,littleroot_arrival,LittlerootTown_BrendansHouse_1F,arrival,direct_or_chained_script_reference,yes,mandatory,main_story,Resolved from a checklist event seed through direct or chained script references.,high,
dlg_a1cf42cc4332f130,RivalsHouse_1F_Text_BrendanWhoAreYou,data/maps/LittlerootTown_MaysHouse_1F/scripts.inc,381,LittlerootTown_BrendansHouse_1F_EventScript_MeetRival,rival_intro,LittlerootTown_BrendansHouse_1F,rival_intro,direct_or_chained_script_reference,yes,mandatory,main_story,Resolved from a checklist event seed through direct or chained script references.,high,
dlg_7cc549bb2e89937d,RivalsHouse_1F_Text_MayWhoAreYou,data/maps/LittlerootTown_MaysHouse_1F/scripts.inc,357,LittlerootTown_MaysHouse_1F_EventScript_MeetRival,rival_intro,LittlerootTown_BrendansHouse_1F,rival_intro,direct_or_chained_script_reference,yes,mandatory,main_story,Resolved from a checklist event seed through direct or chained script references.,high,
dlg_a3524918d5d08235,Route101_Text_HelpMe,data/maps/Route101/scripts.inc,258,Route101_EventScript_StartBirchRescue,birch_rescue,Route101,birch_rescue,direct_or_chained_script_reference,yes,mandatory,main_story,Resolved from a checklist event seed through direct or chained script references.,high,
dlg_45ae69cb30f2cd90,Route101_Text_PleaseHelp,data/maps/Route101/scripts.inc,261,Route101_EventScript_StartBirchRescue,birch_rescue,Route101,birch_rescue,direct_or_chained_script_reference,yes,mandatory,main_story,Resolved from a checklist event seed through direct or chained script references.,high,
dlg_df2e8d10a02d0a58,Route101_Text_YouSavedMe,data/maps/Route101/scripts.inc,271,Route101_EventScript_BirchsBag,birch_rescue,Route101,birch_rescue,direct_or_chained_script_reference,yes,mandatory,main_story,Resolved from a checklist event seed through direct or chained script references.,high,
dlg_e1f579546c78b2f9,LittlerootTown_ProfessorBirchsLab_Text_LikeYouToHavePokemon,data/maps/LittlerootTown_ProfessorBirchsLab/scripts.inc,683,LittlerootTown_ProfessorBirchsLab_EventScript_GiveStarterEvent,starter,LittlerootTown_ProfessorBirchsLab,starter,direct_or_chained_script_reference,yes,mandatory,main_story,Resolved from a checklist event seed through direct or chained script references.,high,
dlg_a85b0bd843afd737,LittlerootTown_ProfessorBirchsLab_Text_WhyNotGiveNicknameToMon,data/maps/LittlerootTown_ProfessorBirchsLab/scripts.inc,698,LittlerootTown_ProfessorBirchsLab_EventScript_GiveStarterEvent,starter,LittlerootTown_ProfessorBirchsLab,starter,direct_or_chained_script_reference,yes,mandatory,main_story,Resolved from a checklist event seed through direct or chained script references.,high,
dlg_2f2b9342597fd41c,LittlerootTown_ProfessorBirchsLab_Text_MightBeGoodIdeaToGoSeeRival,data/maps/LittlerootTown_ProfessorBirchsLab/scripts.inc,702,LittlerootTown_ProfessorBirchsLab_EventScript_GoSeeRival,starter,LittlerootTown_ProfessorBirchsLab,starter,direct_or_chained_script_reference,yes,mandatory,main_story,Resolved from a checklist event seed through direct or chained script references.,high,
dlg_302bf4be4220a361,Route103_Text_MayRoute103Pokemon,data/maps/Route103/scripts.inc,288,Route103_EventScript_RivalMay,rival_1,Route103,rival_battle,direct_or_chained_script_reference,yes,mandatory,main_story,Resolved from a checklist event seed through direct or chained script references.,high,
dlg_31e833de1ea33667,Route103_Text_MayLetsBattle,data/maps/Route103/scripts.inc,292,Route103_EventScript_RivalMay,rival_1,Route103,rival_battle,direct_or_chained_script_reference,yes,mandatory,main_story,Resolved from a checklist event seed through direct or chained script references.,high,
dlg_1d2c85c3dd45b39f,Route103_Text_BrendanRoute103Pokemon,data/maps/Route103/scripts.inc,315,Route103_EventScript_RivalBrendan,rival_1,Route103,rival_battle,direct_or_chained_script_reference,yes,mandatory,main_story,Resolved from a checklist event seed through direct or chained script references.,high,
dlg_a2a36d33d4e71a0c,Route103_Text_BrendanLetsBattle,data/maps/Route103/scripts.inc,319,Route103_EventScript_RivalBrendan,rival_1,Route103,rival_battle,direct_or_chained_script_reference,yes,mandatory,main_story,Resolved from a checklist event seed through direct or chained script references.,high,
dlg_1ba2a80d63962ccb,Route103_Text_MayTimeToHeadBack,data/maps/Route103/scripts.inc,305,Route103_EventScript_AfterMayBattle,rival_1,Route103,rival_battle,direct_or_chained_script_reference,yes,mandatory,main_story,Resolved from a checklist event seed through direct or chained script references.,high,
dlg_5ba654e578399a89,Route103_Text_BrendanTimeToHeadBack,data/maps/Route103/scripts.inc,330,Route103_EventScript_AfterBrendanBattle,rival_1,Route103,rival_battle,direct_or_chained_script_reference,yes,mandatory,main_story,Resolved from a checklist event seed through direct or chained script references.,high,
dlg_68038fa36d7bdaf1,LittlerootTown_ProfessorBirchsLab_Text_BirchRivalGoneHome,data/maps/LittlerootTown_ProfessorBirchsLab/scripts.inc,721,LittlerootTown_ProfessorBirchsLab_EventScript_TryRatePokedexOrRegister,pokedex,LittlerootTown_ProfessorBirchsLab,pokedex,direct_or_chained_script_reference,yes,mandatory,main_story,Resolved from a checklist event seed through direct or chained script references.,high,
dlg_4a63ffe7b2d7349e,LittlerootTown_ProfessorBirchsLab_Text_HeardYouBeatRivalTakePokedex,data/maps/LittlerootTown_ProfessorBirchsLab/scripts.inc,729,LittlerootTown_ProfessorBirchsLab_EventScript_GivePokedex,pokedex,LittlerootTown_ProfessorBirchsLab,pokedex,direct_or_chained_script_reference,yes,mandatory,main_story,Resolved from a checklist event seed through direct or chained script references.,high,
dlg_dacb535b10f34d0d,LittlerootTown_ProfessorBirchsLab_Text_ExplainPokedex,data/maps/LittlerootTown_ProfessorBirchsLab/scripts.inc,744,LittlerootTown_ProfessorBirchsLab_EventScript_GivePokedex,pokedex,LittlerootTown_ProfessorBirchsLab,pokedex,direct_or_chained_script_reference,yes,mandatory,main_story,Resolved from a checklist event seed through direct or chained script references.,high,
dlg_a1f8f8a1ea390b2a,LittlerootTown_ProfessorBirchsLab_Text_ReceivedPokedex,data/maps/LittlerootTown_ProfessorBirchsLab/scripts.inc,741,LittlerootTown_ProfessorBirchsLab_EventScript_ReceivePokedex,pokedex,LittlerootTown_ProfessorBirchsLab,pokedex,direct_or_chained_script_reference,yes,mandatory,main_story,Resolved from a checklist event seed through direct or chained script references.,high,
dlg_44f775b1fbf29ce7,LittlerootTown_Text_OurNewHomeLetsGoInside,data/maps/LittlerootTown/scripts.inc,906,LittlerootTown_EventScript_GoInsideWithMom,pokeballs,LittlerootTown,pokeballs,direct_or_chained_script_reference,yes,mandatory,main_story,Resolved from a checklist event seed through direct or chained script references.,high,
dlg_f4cbe5e2e14292ec,LittlerootTown_Text_WearTheseRunningShoes,data/maps/LittlerootTown/scripts.inc,921,LittlerootTown_EventScript_GiveRunningShoes,pokeballs,LittlerootTown,pokeballs,direct_or_chained_script_reference,yes,mandatory,main_story,Resolved from a checklist event seed through direct or chained script references.,high,
dlg_51478fab2a0bb5f5,LittlerootTown_Text_SwitchShoesWithRunningShoes,data/maps/LittlerootTown/scripts.inc,932,LittlerootTown_EventScript_GiveRunningShoes,pokeballs,LittlerootTown,pokeballs,direct_or_chained_script_reference,yes,mandatory,main_story,Resolved from a checklist event seed through direct or chained script references.,high,
dlg_4066e0935321b02a,LittlerootTown_Text_ExplainRunningShoes,data/maps/LittlerootTown/scripts.inc,936,LittlerootTown_EventScript_GiveRunningShoes,pokeballs,LittlerootTown,pokeballs,direct_or_chained_script_reference,yes,mandatory,main_story,Resolved from a checklist event seed through direct or chained script references.,high,
dlg_c1b0de35fc067f84,LittlerootTown_Text_ComeHomeIfAnythingHappens,data/maps/LittlerootTown/scripts.inc,944,LittlerootTown_EventScript_GiveRunningShoes,pokeballs,LittlerootTown,pokeballs,direct_or_chained_script_reference,yes,mandatory,main_story,Resolved from a checklist event seed through direct or chained script references.,high,
dlg_f7f989a1a6ff5a66,PetalburgCity_Gym_Text_DadYoureHereWithYourPokemon,data/maps/PetalburgCity_Gym/scripts.inc,1138,PetalburgCity_Gym_EventScript_Norman,petalburg_norman,PetalburgCity_Gym,norman,direct_or_chained_script_reference,yes,mandatory,main_story,Resolved from a checklist event seed through direct or chained script references.,high,
dlg_2833d41c93d5f47b,PetalburgCity_Gym_Text_NormanGoToRustboro,data/maps/PetalburgCity_Gym/scripts.inc,1228,PetalburgCity_Gym_EventScript_NormanNoBadges,petalburg_norman,PetalburgCity_Gym,norman,direct_or_chained_script_reference,yes,mandatory,main_story,Resolved from a checklist event seed through direct or chained script references.,high,
dlg_52b66c5569e850e3,PetalburgCity_Gym_Text_NormanGoToDewford,data/maps/PetalburgCity_Gym/scripts.inc,1238,PetalburgCity_Gym_EventScript_NormanOneBadge,petalburg_norman,PetalburgCity_Gym,norman,direct_or_chained_script_reference,yes,mandatory,main_story,Resolved from a checklist event seed through direct or chained script references.,high,
dlg_341cabcfb47a1d38,PetalburgCity_Gym_Text_YouHaveGottenStronger,data/maps/PetalburgCity_Gym/scripts.inc,1247,PetalburgCity_Gym_EventScript_NormanTwoBadges,petalburg_norman,PetalburgCity_Gym,norman,direct_or_chained_script_reference,yes,mandatory,main_story,Resolved from a checklist event seed through direct or chained script references.,high,
dlg_a4dd4d5adc4061ee,PetalburgCity_Gym_Text_DadGoingToKeepTraining,data/maps/PetalburgCity_Gym/scripts.inc,1311,PetalburgCity_Gym_EventScript_NormanPostBattle,petalburg_norman,PetalburgCity_Gym,norman,direct_or_chained_script_reference,yes,mandatory,main_story,Resolved from a checklist event seed through direct or chained script references.,high,
dlg_b1dbf403a97f2f0c,PetalburgCity_Gym_Text_NormanIntro,data/maps/PetalburgCity_Gym/scripts.inc,1253,PetalburgCity_Gym_EventScript_NormanBattle,petalburg_norman,PetalburgCity_Gym,norman,direct_or_chained_script_reference,yes,mandatory,main_story,Resolved from a checklist event seed through direct or chained script references.,high,
dlg_02937a0c67770c8c,PetalburgCity_Gym_Text_ReceivedBalanceBadge,data/maps/PetalburgCity_Gym/scripts.inc,1275,PetalburgCity_Gym_EventScript_NormanBattle,petalburg_norman,PetalburgCity_Gym,norman,direct_or_chained_script_reference,yes,mandatory,main_story,Resolved from a checklist event seed through direct or chained script references.,high,
dlg_1349dbfc0225bf7b,PetalburgCity_Gym_Text_ExplainBalanceBadgeTakeThis,data/maps/PetalburgCity_Gym/scripts.inc,1279,PetalburgCity_Gym_EventScript_NormanBattle,petalburg_norman,PetalburgCity_Gym,norman,direct_or_chained_script_reference,yes,mandatory,main_story,Resolved from a checklist event seed through direct or chained script references.,high,
dlg_189afa7d715ce58f,PetalburgCity_Gym_Text_DadHappyAndSad,data/maps/PetalburgCity_Gym/scripts.inc,1295,PetalburgCity_Gym_EventScript_NormanBattle,petalburg_norman,PetalburgCity_Gym,norman,direct_or_chained_script_reference,yes,mandatory,main_story,Resolved from a checklist event seed through direct or chained script references.,high,
dlg_ca804248caf18a66,PetalburgCity_Gym_Text_PleaseComeWithMe,data/maps/PetalburgCity_Gym/scripts.inc,1301,PetalburgCity_Gym_EventScript_WallysDadArrives,petalburg_norman,PetalburgCity_Gym,norman,direct_or_chained_script_reference,yes,mandatory,main_story,Resolved from a checklist event seed through direct or chained script references.,high,
dlg_258c92ca2f19d536,PetalburgCity_Gym_Text_LetMeBorrowPlayer,data/maps/PetalburgCity_Gym/scripts.inc,1306,PetalburgCity_Gym_EventScript_WallysDadArrives,petalburg_norman,PetalburgCity_Gym,norman,direct_or_chained_script_reference,yes,mandatory,main_story,Resolved from a checklist event seed through direct or chained script references.,high,
dlg_5ffaf85215a0f479,PetalburgCity_Gym_Text_ExplainFacade,data/maps/PetalburgCity_Gym/scripts.inc,1287,PetalburgCity_Gym_EventScript_GiveFacade,petalburg_norman,PetalburgCity_Gym,norman,direct_or_chained_script_reference,yes,mandatory,main_story,Resolved from a checklist event seed through direct or chained script references.,high,
dlg_33f6361195064148,PetalburgCity_Gym_Text_DadSoDidItWorkOut,data/maps/PetalburgCity_Gym/scripts.inc,1195,PetalburgCity_Gym_EventScript_ReturnFromWallyTutorial,wally_tutorial,PetalburgCity_Gym,wally,direct_or_chained_script_reference,yes,mandatory,main_story,Resolved from a checklist event seed through direct or chained script references.,high,
dlg_5a8bd4e5faf57436,PetalburgCity_Gym_Text_WallyThankYouBye,data/maps/PetalburgCity_Gym/scripts.inc,1198,PetalburgCity_Gym_EventScript_ReturnFromWallyTutorial,wally_tutorial,PetalburgCity_Gym,wally,direct_or_chained_script_reference,yes,mandatory,main_story,Resolved from a checklist event seed through direct or chained script references.,high,
dlg_01331361d491fc05,PetalburgCity_Gym_Text_DadGoCollectBadges,data/maps/PetalburgCity_Gym/scripts.inc,1211,PetalburgCity_Gym_EventScript_ReturnFromWallyTutorial,wally_tutorial,PetalburgCity_Gym,wally,direct_or_chained_script_reference,yes,mandatory,main_story,Resolved from a checklist event seed through direct or chained script references.,high,
dlg_494a02b492be76e5,PetalburgCity_Gym_Text_WallyIdLikeAPokemon,data/maps/PetalburgCity_Gym/scripts.inc,1151,PetalburgCity_Gym_EventScript_BeginWallyTutorial,wally_tutorial,PetalburgCity_Gym,wally,direct_or_chained_script_reference,yes,mandatory,main_story,Resolved from a checklist event seed through direct or chained script references.,high,
dlg_20ec25c2eaea2190,PetalburgCity_Gym_Text_DadOhYoureWallyRight,data/maps/PetalburgCity_Gym/scripts.inc,1155,PetalburgCity_Gym_EventScript_BeginWallyTutorial,wally_tutorial,PetalburgCity_Gym,wally,direct_or_chained_script_reference,yes,mandatory,main_story,Resolved from a checklist event seed through direct or chained script references.,high,
dlg_f98cda4ae5188207,PetalburgCity_Gym_Text_WallyIveNeverCaughtAPokemon,data/maps/PetalburgCity_Gym/scripts.inc,1159,PetalburgCity_Gym_EventScript_BeginWallyTutorial,wally_tutorial,PetalburgCity_Gym,wally,direct_or_chained_script_reference,yes,mandatory,main_story,Resolved from a checklist event seed through direct or chained script references.,high,
dlg_28c0bea6f705559a,PetalburgCity_Gym_Text_DadHmISee,data/maps/PetalburgCity_Gym/scripts.inc,1167,PetalburgCity_Gym_EventScript_BeginWallyTutorial,wally_tutorial,PetalburgCity_Gym,wally,direct_or_chained_script_reference,yes,mandatory,main_story,Resolved from a checklist event seed through direct or chained script references.,high,
dlg_c91c18103becdb2f,PetalburgCity_Gym_Text_DadPlayerGoWithWally,data/maps/PetalburgCity_Gym/scripts.inc,1170,PetalburgCity_Gym_EventScript_BeginWallyTutorial,wally_tutorial,PetalburgCity_Gym,wally,direct_or_chained_script_reference,yes,mandatory,main_story,Resolved from a checklist event seed through direct or chained script references.,high,
dlg_eead62b58595e8b5,PetalburgCity_Gym_Text_IllLoanYouMyZigzagoon,data/maps/PetalburgCity_Gym/scripts.inc,1176,PetalburgCity_Gym_EventScript_BeginWallyTutorial,wally_tutorial,PetalburgCity_Gym,wally,direct_or_chained_script_reference,yes,mandatory,main_story,Resolved from a checklist event seed through direct or chained script references.,high,
dlg_16e7448d926be3cf,PetalburgCity_Gym_Text_WallyThankYouAndDadGivesPokeBall,data/maps/PetalburgCity_Gym/scripts.inc,1180,PetalburgCity_Gym_EventScript_BeginWallyTutorial,wally_tutorial,PetalburgCity_Gym,wally,direct_or_chained_script_reference,yes,mandatory,main_story,Resolved from a checklist event seed through direct or chained script references.,high,
dlg_31f4283f58f635f0,PetalburgCity_Gym_Text_WallyOhWowThankYou,data/maps/PetalburgCity_Gym/scripts.inc,1187,PetalburgCity_Gym_EventScript_BeginWallyTutorial,wally_tutorial,PetalburgCity_Gym,wally,direct_or_chained_script_reference,yes,mandatory,main_story,Resolved from a checklist event seed through direct or chained script references.,high,
dlg_e60a3d620dc03986,PetalburgCity_Gym_Text_WouldYouReallyComeWithMe,data/maps/PetalburgCity_Gym/scripts.inc,1191,PetalburgCity_Gym_EventScript_BeginWallyTutorial,wally_tutorial,PetalburgCity_Gym,wally,direct_or_chained_script_reference,yes,mandatory,main_story,Resolved from a checklist event seed through direct or chained script references.,high,
dlg_ad5ae8da99fd5f43,RustboroCity_Gym_Text_RoxannePostBattle,data/maps/RustboroCity_Gym/scripts.inc,219,RustboroCity_Gym_EventScript_Roxanne,rustboro,RustboroCity_Gym,rustboro,direct_or_chained_script_reference,yes,mandatory,main_story,Resolved from a checklist event seed through direct or chained script references.,high,
dlg_bde9acfada6ecdb8,RustboroCity_Gym_Text_ReceivedStoneBadge,data/maps/RustboroCity_Gym/scripts.inc,198,RustboroCity_Gym_EventScript_RoxanneDefeated,rustboro,RustboroCity_Gym,rustboro,direct_or_chained_script_reference,yes,mandatory,main_story,Resolved from a checklist event seed through direct or chained script references.,high,
dlg_48d242ce72b871a1,RustboroCity_Gym_Text_StoneBadgeInfoTakeThis,data/maps/RustboroCity_Gym/scripts.inc,202,RustboroCity_Gym_EventScript_RoxanneDefeated,rustboro,RustboroCity_Gym,rustboro,direct_or_chained_script_reference,yes,mandatory,main_story,Resolved from a checklist event seed through direct or chained script references.,high,
dlg_e739b5163d24a801,RustboroCity_Gym_Text_ExplainRockTomb,data/maps/RustboroCity_Gym/scripts.inc,209,RustboroCity_Gym_EventScript_GiveRockTomb,rustboro,RustboroCity_Gym,rustboro,direct_or_chained_script_reference,yes,mandatory,main_story,Resolved from a checklist event seed through direct or chained script references.,high,
dlg_55e2e299eaa32230,RustboroCity_Text_OutOfTheWay,data/maps/RustboroCity/scripts.inc,1089,RustboroCity_EventScript_StolenGoodsScene,devon_theft,Route116,devon_theft,direct_or_chained_script_reference,yes,mandatory,main_story,Resolved from a checklist event seed through direct or chained script references.,high,
dlg_fc09693422d97c87,RustboroCity_Text_WaitDontTakeMyGoods,data/maps/RustboroCity/scripts.inc,1093,RustboroCity_EventScript_StolenGoodsScene,devon_theft,Route116,devon_theft,direct_or_chained_script_reference,yes,mandatory,main_story,Resolved from a checklist event seed through direct or chained script references.,high,
dlg_3af0169168c5908b,RustboroCity_Text_HelpMeIWasRobbed,data/maps/RustboroCity/scripts.inc,1097,RustboroCity_EventScript_EmployeeAskToGetGoods,devon_theft,Route116,devon_theft,direct_or_chained_script_reference,yes,mandatory,main_story,Resolved from a checklist event seed through direct or chained script references.,high,
dlg_785cd46b2fc2f8ec,RustboroCity_Text_YouGotItThankYou,data/maps/RustboroCity/scripts.inc,1110,RustboroCity_EventScript_ReturnGoods,devon_theft,Route116,devon_theft,direct_or_chained_script_reference,yes,mandatory,main_story,Resolved from a checklist event seed through direct or chained script references.,high,
dlg_f237e0965b02f5c4,RustboroCity_Text_PleaseComeWithMe,data/maps/RustboroCity/scripts.inc,1123,RustboroCity_EventScript_ReturnGoods,devon_theft,Route116,devon_theft,direct_or_chained_script_reference,yes,mandatory,main_story,Resolved from a checklist event seed through direct or chained script references.,high,
dlg_08674d7717f93db0,RusturfTunnel_Text_ComeAndGetSome,data/maps/RusturfTunnel/scripts.inc,419,RusturfTunnel_EventScript_AquaGruntBackUp,rusturf,RusturfTunnel,rusturf,direct_or_chained_script_reference,yes,mandatory,main_story,Resolved from a checklist event seed through direct or chained script references.,high,
dlg_fac0960bd1369f1f,RusturfTunnel_Text_GruntIntro,data/maps/RusturfTunnel/scripts.inc,426,RusturfTunnel_EventScript_Grunt,rusturf,RusturfTunnel,rusturf,direct_or_chained_script_reference,yes,mandatory,main_story,Resolved from a checklist event seed through direct or chained script references.,high,
