ui_id,ui_key,symbol,current_text,target_text_th,translation_status,scope_class,current_language,ui_areas,usage_count,definition_kind,source_file,source_line,line_count,control_codes,has_placeholders,width_constraint_status,visual_qa_status,translator_note,batch_status
UI0008,global:gText_AlreadySavedFile,gText_AlreadySavedFile,"There is already a saved file.
Is it okay to overwrite it?",,pending,core_ui_prompt,english,START_SAVE,1,asm_string,data/text/save.inc,5,2,,no,pending_usage_to_window_mapping,pending,,ready_for_constraint_mapping
UI0016,global:gText_BatteryRunDry,gText_BatteryRunDry,"The internal battery has run dry.
The game can be played.\pHowever, clock-based events will
no longer occur.",,pending,system_message,english,MAIN_MENU,1,c_u8,src/strings.c,38,3,\p,yes,pending_usage_to_window_mapping,pending,,ready_for_constraint_mapping
UI0019,global:gText_BattlePyramidConfirmRest,gText_BattlePyramidConfirmRest,"Your BATTLE PYRAMID quest will be
saved so that you may quit for now.\lIs that okay?",,pending,core_ui_prompt,english,START_SAVE,1,asm_string,data/maps/BattleFrontier_BattlePyramidFloor/scripts.inc,131,2,\l,yes,pending_usage_to_window_mapping,pending,,ready_for_constraint_mapping
UI0020,global:gText_BattlePyramidConfirmRetire,gText_BattlePyramidConfirmRetire,"Are you sure you want to quit your
PYRAMID quest?",,pending,core_ui_prompt,english,START_SAVE,1,asm_string,data/maps/BattleFrontier_BattlePyramidFloor/scripts.inc,136,2,,no,pending_usage_to_window_mapping,pending,,ready_for_constraint_mapping
UI0021,global:gText_BattlePyramidFloor,gText_BattlePyramidFloor,"Battle Pyramid
{STR_VAR_1}",,pending,core_ui_prompt,english,START_SAVE,1,c_u8,src/strings.c,1574,2,{STR_VAR_1},yes,pending_usage_to_window_mapping,pending,,ready_for_constraint_mapping
UI0022,global:gText_BattleScene,gText_BattleScene,BATTLE SCENE,ฉากต่อสู้,translated_pending_qa,core_ui_label,english,OPTION_MENU,1,c_u8,src/strings.c,1530,1,,no,pass,pending,"Phase 5 Batch 1 pilot label. Source geometry, shaping, and width checked.",pilot_label_translated_pending_visual_qa
UI0023,global:gText_BattleSceneOff,gText_BattleSceneOff,{COLOR GREEN}{SHADOW LIGHT_GREEN}OFF,{COLOR GREEN}{SHADOW LIGHT_GREEN}ปิด,translated_pending_qa,core_ui_label,english,OPTION_MENU,2,c_u8,src/strings.c,1540,1,{COLOR GREEN};{SHADOW LIGHT_GREEN},yes,pass,pending,"Phase 5 Batch 1 pilot label. Source geometry, shaping, and width checked.",pilot_label_translated_pending_visual_qa
UI0024,global:gText_BattleSceneOn,gText_BattleSceneOn,{COLOR GREEN}{SHADOW LIGHT_GREEN}ON,{COLOR GREEN}{SHADOW LIGHT_GREEN}เปิด,translated_pending_qa,core_ui_label,english,OPTION_MENU,1,c_u8,src/strings.c,1539,1,{COLOR GREEN};{SHADOW LIGHT_GREEN},yes,pass,pending,"Phase 5 Batch 1 pilot label. Source geometry, shaping, and width checked.",pilot_label_translated_pending_visual_qa
UI0025,global:gText_BattleStyle,gText_BattleStyle,BATTLE STYLE,รูปแบบต่อสู้,translated_pending_qa,core_ui_label,english,OPTION_MENU,1,c_u8,src/strings.c,1531,1,,no,pass,pending,"Phase 5 Batch 1 pilot label. Source geometry, shaping, and width checked.",pilot_label_translated_pending_visual_qa
UI0026,global:gText_BattleStyleSet,gText_BattleStyleSet,{COLOR GREEN}{SHADOW LIGHT_GREEN}SET,{COLOR GREEN}{SHADOW LIGHT_GREEN}คงที่,translated_pending_qa,core_ui_label,english,OPTION_MENU,2,c_u8,src/strings.c,1542,1,{COLOR GREEN};{SHADOW LIGHT_GREEN},yes,pass,pending,"Phase 5 Batch 1 pilot label. Source geometry, shaping, and width checked.",pilot_label_translated_pending_visual_qa
UI0027,global:gText_BattleStyleShift,gText_BattleStyleShift,{COLOR GREEN}{SHADOW LIGHT_GREEN}SHIFT,{COLOR GREEN}{SHADOW LIGHT_GREEN}สลับ,translated_pending_qa,core_ui_label,english,OPTION_MENU,1,c_u8,src/strings.c,1541,1,{COLOR GREEN};{SHADOW LIGHT_GREEN},yes,pass,pending,"Phase 5 Batch 1 pilot label. Source geometry, shaping, and width checked.",pilot_label_translated_pending_visual_qa
UI0030,global:gText_BirchBoy,gText_BirchBoy,BOY,เด็กชาย,translated_pending_qa,core_ui_label,english,MAIN_MENU,1,c_u8,src/strings.c,64,1,,no,pass,pending,"Phase 5 Batch 1 pilot label. Source geometry, shaping, and width checked.",pilot_label_translated_pending_visual_qa
UI0031,global:gText_BirchGirl,gText_BirchGirl,GIRL,เด็กหญิง,translated_pending_qa,core_ui_label,english,MAIN_MENU,1,c_u8,src/strings.c,65,1,,no,pass,pending,"Phase 5 Batch 1 pilot label. Source geometry, shaping, and width checked.",pilot_label_translated_pending_visual_qa
UI0046,global:gText_BoxName,gText_BoxName,BOX NAME?,,pending,core_ui_prompt,english,MAIN_MENU,1,c_u8,src/strings.c,1643,1,,no,pending_usage_to_window_mapping,pending,,ready_for_constraint_mapping
UI0047,global:gText_ButtonMode,gText_ButtonMode,BUTTON MODE,โหมดปุ่ม,translated_pending_qa,core_ui_label,english,OPTION_MENU,1,c_u8,src/strings.c,1535,1,,no,pass,pending,"Phase 5 Batch 1 pilot label. Source geometry, shaping, and width checked.",pilot_label_translated_pending_visual_qa
UI0048,global:gText_ButtonTypeLEqualsA,gText_ButtonTypeLEqualsA,{COLOR GREEN}{SHADOW LIGHT_GREEN}L=A,{COLOR GREEN}{SHADOW LIGHT_GREEN}L=A,translated_pending_qa,core_ui_label,english,OPTION_MENU,3,c_u8,src/strings.c,1549,1,{COLOR GREEN};{SHADOW LIGHT_GREEN},yes,pass,pending,"Phase 5 Batch 1 pilot label. Source geometry, shaping, and width checked.",pilot_label_translated_pending_visual_qa
UI0049,global:gText_ButtonTypeLR,gText_ButtonTypeLR,{COLOR GREEN}{SHADOW LIGHT_GREEN}LR,{COLOR GREEN}{SHADOW LIGHT_GREEN}LR,translated_pending_qa,core_ui_label,english,OPTION_MENU,2,c_u8,src/strings.c,1548,1,{COLOR GREEN};{SHADOW LIGHT_GREEN},yes,pass,pending,"Phase 5 Batch 1 pilot label. Source geometry, shaping, and width checked.",pilot_label_translated_pending_visual_qa
UI0050,global:gText_ButtonTypeNormal,gText_ButtonTypeNormal,{COLOR GREEN}{SHADOW LIGHT_GREEN}NORMAL,{COLOR GREEN}{SHADOW LIGHT_GREEN}ปกติ,translated_pending_qa,core_ui_label,english,OPTION_MENU,2,c_u8,src/strings.c,1547,1,{COLOR GREEN};{SHADOW LIGHT_GREEN},yes,pass,pending,"Phase 5 Batch 1 pilot label. Source geometry, shaping, and width checked.",pilot_label_translated_pending_visual_qa
UI0078,global:gText_ConfirmSave,gText_ConfirmSave,Would you like to save the game?,,pending,core_ui_prompt,english,START_SAVE,1,asm_string,data/text/save.inc,2,1,,no,pending_usage_to_window_mapping,pending,,ready_for_constraint_mapping
UI0082,global:gText_ContinueMenuBadges,gText_ContinueMenuBadges,BADGES,เข็มกลัด,translated_pending_qa,core_ui_label,english,MAIN_MENU,1,c_u8,src/strings.c,1410,1,,no,pass,pending,"Phase 5 Batch 1 pilot label. Source geometry, shaping, and width checked.",pilot_label_translated_pending_visual_qa
UI0083,global:gText_ContinueMenuPlayer,gText_ContinueMenuPlayer,PLAYER,ผู้เล่น,translated_pending_qa,core_ui_label,english,MAIN_MENU,1,c_u8,src/strings.c,1407,1,,no,pass,pending,"Phase 5 Batch 1 pilot label. Source geometry, shaping, and width checked.",pilot_label_translated_pending_visual_qa
UI0084,global:gText_ContinueMenuPokedex,gText_ContinueMenuPokedex,POKéDEX,โปเกเด็กซ์,translated_pending_qa,core_ui_label,english,MAIN_MENU,1,c_u8,src/strings.c,1409,1,,no,pass,pending,"Phase 5 Batch 1 pilot label. Source geometry, shaping, and width checked.",pilot_label_translated_pending_visual_qa
UI0085,global:gText_ContinueMenuTime,gText_ContinueMenuTime,TIME,เวลา,translated_pending_qa,core_ui_label,english,MAIN_MENU,1,c_u8,src/strings.c,1408,1,,no,pass,pending,"Phase 5 Batch 1 pilot label. Source geometry, shaping, and width checked.",pilot_label_translated_pending_visual_qa
UI0090,global:gText_DefaultNameAllie,gText_DefaultNameAllie,ALLIE,,pending,core_ui_label,english,MAIN_MENU,1,c_u8,src/strings.c,90,1,,no,pending_usage_to_window_mapping,pending,,ready_for_constraint_mapping
UI0091,global:gText_DefaultNameAubree,gText_DefaultNameAubree,AUBREE,,pending,core_ui_label,english,MAIN_MENU,1,c_u8,src/strings.c,95,1,,no,pending_usage_to_window_mapping,pending,,ready_for_constraint_mapping
UI0092,global:gText_DefaultNameBella,gText_DefaultNameBella,BELLA,,pending,core_ui_label,english,MAIN_MENU,1,c_u8,src/strings.c,88,1,,no,pending_usage_to_window_mapping,pending,,ready_for_constraint_mapping
UI0093,global:gText_DefaultNameBrett,gText_DefaultNameBrett,BRETT,,pending,core_ui_label,english,MAIN_MENU,1,c_u8,src/strings.c,77,1,,no,pending_usage_to_window_mapping,pending,,ready_for_constraint_mapping
UI0094,global:gText_DefaultNameCamila,gText_DefaultNameCamila,CAMILA,,pending,core_ui_label,english,MAIN_MENU,1,c_u8,src/strings.c,94,1,,no,pending_usage_to_window_mapping,pending,,ready_for_constraint_mapping
UI0095,global:gText_DefaultNameCasey,gText_DefaultNameCasey,CASEY,,pending,core_ui_label,english,MAIN_MENU,1,c_u8,src/strings.c,80,1,,no,pending_usage_to_window_mapping,pending,,ready_for_constraint_mapping
UI0096,global:gText_DefaultNameCollin,gText_DefaultNameCollin,COLLIN,,pending,core_ui_label,english,MAIN_MENU,1,c_u8,src/strings.c,83,1,,no,pending_usage_to_window_mapping,pending,,ready_for_constraint_mapping
UI0097,global:gText_DefaultNameDarren,gText_DefaultNameDarren,DARREN,,pending,core_ui_label,english,MAIN_MENU,1,c_u8,src/strings.c,81,1,,no,pending_usage_to_window_mapping,pending,,ready_for_constraint_mapping
UI0098,global:gText_DefaultNameEaston,gText_DefaultNameEaston,EASTON,,pending,core_ui_label,english,MAIN_MENU,1,c_u8,src/strings.c,73,1,,no,pending_usage_to_window_mapping,pending,,ready_for_constraint_mapping
