page,page_title,slot,row_code,symbol,target_text_th,profile_id,effective_width_px,window_height_px,evidence_round,rendering_result,visual_qa_status,evidence_note
1,B2B 01/14 D01-D03,1,D01,gText_Able3,เรียนรู้ได้!,PM_PROMPT_DESC_NORMAL_64x16,64,16,V3 pages 01-07,pass,proof_passed,"User-confirmed screenshot, V3 pages 01-07, page 1/14 row D01. Thai text, vowels, tone marks, punctuation, line breaks, and dynamic test values rendered completely; no clipping, overflow, broken glyphs, or overlap."
1,B2B 01/14 D01-D03,2,D02,gText_NoUse,ใช้ไม่ได้,PM_PROMPT_DESC_NORMAL_64x16,64,16,V3 pages 01-07,pass,proof_passed,"User-confirmed screenshot, V3 pages 01-07, page 1/14 row D02. Thai text, vowels, tone marks, punctuation, line breaks, and dynamic test values rendered completely; no clipping, overflow, broken glyphs, or overlap."
1,B2B 01/14 D01-D03,3,D03,gText_NotAble2,เรียนรู้ไม่ได้!,PM_PROMPT_DESC_NORMAL_64x16,64,16,V3 pages 01-07,pass,proof_passed,"User-confirmed screenshot, V3 pages 01-07, page 1/14 row D03. Thai text, vowels, tone marks, punctuation, line breaks, and dynamic test values rendered completely; no clipping, overflow, broken glyphs, or overlap."
2,B2B 02/14 S01-S05,1,S01,gText_AlreadySurfing,กำลังใช้ SURF อยู่แล้ว,PM_PROMPT_STD_DEFAULT_NORMAL_168x16,168,16,V3 pages 01-07,pass,proof_passed,"User-confirmed screenshot, V3 pages 01-07, page 2/14 row S01. Thai text, vowels, tone marks, punctuation, line breaks, and dynamic test values rendered completely; no clipping, overflow, broken glyphs, or overlap."
2,B2B 02/14 S01-S05,2,S02,gText_CantSurfHere,ใช้ SURF ที่นี่ไม่ได้,PM_PROMPT_STD_DEFAULT_NORMAL_168x16,168,16,V3 pages 01-07,pass,proof_passed,"User-confirmed screenshot, V3 pages 01-07, page 2/14 row S02. Thai text, vowels, tone marks, punctuation, line breaks, and dynamic test values rendered completely; no clipping, overflow, broken glyphs, or overlap."
2,B2B 02/14 S01-S05,3,S03,gText_CantUseHere,ใช้ที่นี่ไม่ได้,PM_PROMPT_STD_DEFAULT_NORMAL_168x16,168,16,V3 pages 01-07,pass,proof_passed,"User-confirmed screenshot, V3 pages 01-07, page 2/14 row S03. Thai text, vowels, tone marks, punctuation, line breaks, and dynamic test values rendered completely; no clipping, overflow, broken glyphs, or overlap."
2,B2B 02/14 S01-S05,4,S04,gText_ChoosePokemon,เลือกโปเกมอน,PM_PROMPT_STD_DEFAULT_NORMAL_168x16,168,16,V3 pages 01-07,pass,proof_passed,"User-confirmed screenshot, V3 pages 01-07, page 2/14 row S04. Thai text, vowels, tone marks, punctuation, line breaks, and dynamic test values rendered completely; no clipping, overflow, broken glyphs, or overlap."
2,B2B 02/14 S01-S05,5,S05,gText_ChoosePokemon2,เลือกโปเกมอน,PM_PROMPT_STD_DEFAULT_NORMAL_168x16,168,16,V3 pages 01-07,pass,proof_passed,"User-confirmed screenshot, V3 pages 01-07, page 2/14 row S05. Thai text, vowels, tone marks, punctuation, line breaks, and dynamic test values rendered completely; no clipping, overflow, broken glyphs, or overlap."
3,B2B 03/14 S06-S10,1,S06,gText_ChoosePokemonCancel,เลือกโปเกมอนหรือยกเลิก,PM_PROMPT_STD_DEFAULT_NORMAL_168x16,168,16,V3 pages 01-07,pass,proof_passed,"User-confirmed screenshot, V3 pages 01-07, page 3/14 row S06. Thai text, vowels, tone marks, punctuation, line breaks, and dynamic test values rendered completely; no clipping, overflow, broken glyphs, or overlap."
3,B2B 03/14 S06-S10,2,S07,gText_ChoosePokemonConfirm,เลือกโปเกมอนและยืนยัน,PM_PROMPT_STD_DEFAULT_NORMAL_168x16,168,16,V3 pages 01-07,pass,proof_passed,"User-confirmed screenshot, V3 pages 01-07, page 3/14 row S07. Thai text, vowels, tone marks, punctuation, line breaks, and dynamic test values rendered completely; no clipping, overflow, broken glyphs, or overlap."
