symbol,visual_qa_status,note
gText_DepositHowManyVar1,proof_passed,"Batch 53 QA Gallery reviewed: 10/10 pages passed. The Bag quantity and transaction messages were verified for accurate Thai meaning, correct runtime-variable order and substitution, consistent item and currency terminology, correct font rendering, line breaks, spacing, punctuation, clipping, alignment, readability, and layout across Bag, Battle, and PC Storage contexts."
gText_DepositedVar2Var1s,proof_passed,"Batch 53 QA Gallery reviewed: 10/10 pages passed. The Bag quantity and transaction messages were verified for accurate Thai meaning, correct runtime-variable order and substitution, consistent item and currency terminology, correct font rendering, line breaks, spacing, punctuation, clipping, alignment, readability, and layout across Bag, Battle, and PC Storage contexts."
gText_HowManyToSell,proof_passed,"Batch 53 QA Gallery reviewed: 10/10 pages passed. The Bag quantity and transaction messages were verified for accurate Thai meaning, correct runtime-variable order and substitution, consistent item and currency terminology, correct font rendering, line breaks, spacing, punctuation, clipping, alignment, readability, and layout across Bag, Battle, and PC Storage contexts."
gText_ICanPayVar1,proof_passed,"Batch 53 QA Gallery reviewed: 10/10 pages passed. The Bag quantity and transaction messages were verified for accurate Thai meaning, correct runtime-variable order and substitution, consistent item and currency terminology, correct font rendering, line breaks, spacing, punctuation, clipping, alignment, readability, and layout across Bag, Battle, and PC Storage contexts."
gText_MoveVar1Where,proof_passed,"Batch 53 QA Gallery reviewed: 10/10 pages passed. The Bag quantity and transaction messages were verified for accurate Thai meaning, correct runtime-variable order and substitution, consistent item and currency terminology, correct font rendering, line breaks, spacing, punctuation, clipping, alignment, readability, and layout across Bag, Battle, and PC Storage contexts."
gText_ReturnToVar1,proof_passed,"Batch 53 QA Gallery reviewed: 10/10 pages passed. The Bag quantity and transaction messages were verified for accurate Thai meaning, correct runtime-variable order and substitution, consistent item and currency terminology, correct font rendering, line breaks, spacing, punctuation, clipping, alignment, readability, and layout across Bag, Battle, and PC Storage contexts."
gText_ThrewAwayVar2Var1s,proof_passed,"Batch 53 QA Gallery reviewed: 10/10 pages passed. The Bag quantity and transaction messages were verified for accurate Thai meaning, correct runtime-variable order and substitution, consistent item and currency terminology, correct font rendering, line breaks, spacing, punctuation, clipping, alignment, readability, and layout across Bag, Battle, and PC Storage contexts."
gText_TossHowManyVar1s,proof_passed,"Batch 53 QA Gallery reviewed: 10/10 pages passed. The Bag quantity and transaction messages were verified for accurate Thai meaning, correct runtime-variable order and substitution, consistent item and currency terminology, correct font rendering, line breaks, spacing, punctuation, clipping, alignment, readability, and layout across Bag, Battle, and PC Storage contexts."
gText_TurnedOverVar1ForVar2,proof_passed,"Batch 53 QA Gallery reviewed: 10/10 pages passed. The Bag quantity and transaction messages were verified for accurate Thai meaning, correct runtime-variable order and substitution, consistent item and currency terminology, correct font rendering, line breaks, spacing, punctuation, clipping, alignment, readability, and layout across Bag, Battle, and PC Storage contexts."
gText_Var1IsSelected,proof_passed,"Batch 53 QA Gallery reviewed: 10/10 pages passed. The Bag quantity and transaction messages were verified for accurate Thai meaning, correct runtime-variable order and substitution, consistent item and currency terminology, correct font rendering, line breaks, spacing, punctuation, clipping, alignment, readability, and layout across Bag, Battle, and PC Storage contexts."
