ui_id,ui_key,symbol,current_text,target_text_th,translation_status,scope_class,current_language,ui_areas,usage_count,definition_kind,source_file,source_line,line_count,control_codes,has_placeholders,width_constraint_status,visual_qa_status,translator_note
SM0001,local:src/battle_message.c:sText_Trainer1LoseText,sText_Trainer1LoseText,{B_TRAINER1_LOSE_TEXT},{B_TRAINER1_LOSE_TEXT},proof_passed,system_message,nonlinguistic,BATTLE;BATTLE_SYSTEM,1,c_u8,src/battle_message.c,55,1,{B_TRAINER1_LOSE_TEXT},yes,pending_usage_to_window_mapping,proof_passed,"GLCC 20260813-102147-phase6-batch09-battle-trainer-result-token-labels: preview/build passed; visual QA pending.; GLCC 20260813-102147-phase6-batch09-battle-trainer-result-token-labels: visual QA passed. Batch 09 QA Gallery reviewed: 4/4 pages passed. All selected strings were verified for correct Thai font rendering, spacing, clipping, layout, punctuation, placeholders, and terminology consistency."
SM0002,local:src/battle_message.c:sText_PkmnGainedEXP,sText_PkmnGainedEXP,"{B_BUFF1} gained{B_BUFF2}
{B_BUFF3} EXP. Points!\p","{B_BUFF1} ได้รับ{B_BUFF2}
EXP {B_BUFF3} แต้ม!\p",proof_passed,system_message,english,BATTLE;BATTLE_SYSTEM,1,c_u8,src/battle_message.c,56,2,{B_BUFF1}; {B_BUFF2}; {B_BUFF3}; \p,yes,pending_usage_to_window_mapping,proof_passed,"GLCC 20260813-104608-pphase6-batch10-battle-exp-levelup-move-learning: preview/build passed; visual QA pending.; GLCC 20260813-104608-pphase6-batch10-battle-exp-levelup-move-learning: visual QA passed. Batch 10 QA Gallery reviewed: 5/5 pages passed. All selected strings were verified for correct Thai font rendering, spacing, clipping, layout, punctuation, placeholders, and terminology consistency."
SM0003,local:src/battle_message.c:sText_PkmnGrewToLv,sText_PkmnGrewToLv,"{B_BUFF1} grew to
LV. {B_BUFF2}!{WAIT_SE}\p","เลเวลของ {B_BUFF1} เพิ่มเป็น
{B_BUFF2}!{WAIT_SE}\p",proof_passed,system_message,english,BATTLE;BATTLE_SYSTEM,1,c_u8,src/battle_message.c,59,2,{B_BUFF1}; {B_BUFF2}; {WAIT_SE}; \p,yes,pending_usage_to_window_mapping,proof_passed,"GLCC 20260813-104608-pphase6-batch10-battle-exp-levelup-move-learning: preview/build passed; visual QA pending.; GLCC 20260813-104608-pphase6-batch10-battle-exp-levelup-move-learning: visual QA passed. Batch 10 QA Gallery reviewed: 5/5 pages passed. All selected strings were verified for correct Thai font rendering, spacing, clipping, layout, punctuation, placeholders, and terminology consistency."
SM0004,local:src/battle_message.c:sText_PkmnLearnedMove,sText_PkmnLearnedMove,"{B_BUFF1} learned
{B_BUFF2}!{WAIT_SE}\p","{B_BUFF1} เรียนรู้
{B_BUFF2}!{WAIT_SE}\p",proof_passed,system_message,english,BATTLE;BATTLE_SYSTEM,1,c_u8,src/battle_message.c,60,2,{B_BUFF1}; {B_BUFF2}; {WAIT_SE}; \p,yes,pending_usage_to_window_mapping,proof_passed,"GLCC 20260813-104608-pphase6-batch10-battle-exp-levelup-move-learning: preview/build passed; visual QA pending.; GLCC 20260813-104608-pphase6-batch10-battle-exp-levelup-move-learning: visual QA passed. Batch 10 QA Gallery reviewed: 5/5 pages passed. All selected strings were verified for correct Thai font rendering, spacing, clipping, layout, punctuation, placeholders, and terminology consistency."
SM0005,local:src/battle_message.c:sText_TryToLearnMove1,sText_TryToLearnMove1,"{B_BUFF1} is trying to
learn {B_BUFF2}.\p","{B_BUFF1} กำลังพยายาม
เรียนรู้ {B_BUFF2}.\p",proof_passed,system_message,english,BATTLE;BATTLE_SYSTEM,1,c_u8,src/battle_message.c,61,2,{B_BUFF1}; {B_BUFF2}; \p,yes,pending_usage_to_window_mapping,proof_passed,"GLCC 20260813-104608-pphase6-batch10-battle-exp-levelup-move-learning: preview/build passed; visual QA pending.; GLCC 20260813-104608-pphase6-batch10-battle-exp-levelup-move-learning: visual QA passed. Batch 10 QA Gallery reviewed: 5/5 pages passed. All selected strings were verified for correct Thai font rendering, spacing, clipping, layout, punctuation, placeholders, and terminology consistency."
SM0006,local:src/battle_message.c:sText_TryToLearnMove2,sText_TryToLearnMove2,"But, {B_BUFF1} can't learn
more than four moves.\p","แต่ {B_BUFF1} เรียนรู้ท่า
เกิน 4 ท่าไม่ได้.\p",proof_passed,system_message,english,BATTLE;BATTLE_SYSTEM,1,c_u8,src/battle_message.c,62,2,{B_BUFF1}; \p,yes,pending_usage_to_window_mapping,proof_passed,"GLCC 20260813-104608-pphase6-batch10-battle-exp-levelup-move-learning: preview/build passed; visual QA pending.; GLCC 20260813-104608-pphase6-batch10-battle-exp-levelup-move-learning: visual QA passed. Batch 10 QA Gallery reviewed: 5/5 pages passed. All selected strings were verified for correct Thai font rendering, spacing, clipping, layout, punctuation, placeholders, and terminology consistency."
SM0007,local:src/battle_message.c:sText_TryToLearnMove3,sText_TryToLearnMove3,"Delete a move to make
room for {B_BUFF2}?","ลบท่าหนึ่งเพื่อให้มีที่
สำหรับ {B_BUFF2} ไหม?",proof_passed,system_message,english,BATTLE;BATTLE_SYSTEM,1,c_u8,src/battle_message.c,63,2,{B_BUFF2},yes,pending_usage_to_window_mapping,proof_passed,"GLCC 20260813-111446-phase6-batch11-battle-move-learning-flow: preview/build passed; visual QA pending.; GLCC 20260813-111446-phase6-batch11-battle-move-learning-flow: visual QA passed. Batch 11 QA Gallery reviewed: 5/5 pages passed. All selected strings were verified for correct Thai font rendering, spacing, clipping, layout, punctuation, placeholders, and terminology consistency."
SM0008,local:src/battle_message.c:sText_PkmnForgotMove,sText_PkmnForgotMove,"{B_BUFF1} forgot
{B_BUFF2}.\p","{B_BUFF1} ลืม
{B_BUFF2} แล้ว.\p",proof_passed,system_message,english,BATTLE;BATTLE_SYSTEM,1,c_u8,src/battle_message.c,64,2,{B_BUFF1}; {B_BUFF2}; \p,yes,pending_usage_to_window_mapping,proof_passed,"GLCC 20260813-111446-phase6-batch11-battle-move-learning-flow: preview/build passed; visual QA pending.; GLCC 20260813-111446-phase6-batch11-battle-move-learning-flow: visual QA passed. Batch 11 QA Gallery reviewed: 5/5 pages passed. All selected strings were verified for correct Thai font rendering, spacing, clipping, layout, punctuation, placeholders, and terminology consistency."
SM0009,local:src/battle_message.c:sText_StopLearningMove,sText_StopLearningMove,"{PAUSE 32}Stop learning
{B_BUFF2}?","{PAUSE 32}หยุดเรียนรู้
{B_BUFF2} ไหม?",proof_passed,system_message,english,BATTLE;BATTLE_SYSTEM,1,c_u8,src/battle_message.c,65,2,{PAUSE 32}; {B_BUFF2},yes,pending_usage_to_window_mapping,proof_passed,"GLCC 20260813-111446-phase6-batch11-battle-move-learning-flow: preview/build passed; visual QA pending.; GLCC 20260813-111446-phase6-batch11-battle-move-learning-flow: visual QA passed. Batch 11 QA Gallery reviewed: 5/5 pages passed. All selected strings were verified for correct Thai font rendering, spacing, clipping, layout, punctuation, placeholders, and terminology consistency."
SM0010,local:src/battle_message.c:sText_DidNotLearnMove,sText_DidNotLearnMove,"{B_BUFF1} did not learn
{B_BUFF2}.\p","{B_BUFF1} ไม่ได้เรียนรู้
{B_BUFF2}.\p",proof_passed,system_message,english,BATTLE;BATTLE_SYSTEM,1,c_u8,src/battle_message.c,66,2,{B_BUFF1}; {B_BUFF2}; \p,yes,pending_usage_to_window_mapping,proof_passed,"GLCC 20260813-111446-phase6-batch11-battle-move-learning-flow: preview/build passed; visual QA pending.; GLCC 20260813-111446-phase6-batch11-battle-move-learning-flow: visual QA passed. Batch 11 QA Gallery reviewed: 5/5 pages passed. All selected strings were verified for correct Thai font rendering, spacing, clipping, layout, punctuation, placeholders, and terminology consistency."
SM0011,local:src/battle_message.c:sText_PkmnLearnedMove2,sText_PkmnLearnedMove2,"{B_ATK_NAME_WITH_PREFIX} learned
{B_BUFF1}!","{B_ATK_NAME_WITH_PREFIX} เรียนรู้
{B_BUFF1}!",proof_passed,system_message,english,BATTLE;BATTLE_SYSTEM,1,c_u8,src/battle_message.c,370,2,{B_ATK_NAME_WITH_PREFIX}; {B_BUFF1},yes,pending_usage_to_window_mapping,proof_passed,"GLCC 20260813-111446-phase6-batch11-battle-move-learning-flow: preview/build passed; visual QA pending.; GLCC 20260813-111446-phase6-batch11-battle-move-learning-flow: visual QA passed. Batch 11 QA Gallery reviewed: 5/5 pages passed. All selected strings were verified for correct Thai font rendering, spacing, clipping, layout, punctuation, placeholders, and terminology consistency."
SM0012,local:src/battle_message.c:sText_AttackMissed,sText_AttackMissed,"{B_ATK_NAME_WITH_PREFIX}'s
attack missed!","{B_ATK_NAME_WITH_PREFIX} โจมตี
พลาดเป้า!",proof_passed,system_message,english,BATTLE;BATTLE_SYSTEM,1,c_u8,src/battle_message.c,68,2,{B_ATK_NAME_WITH_PREFIX},yes,pending_usage_to_window_mapping,proof_passed,"GLCC 20260813-115232-phase6-batch12-battle-attack-defense-result-messages: preview/build passed; visual QA pending.; GLCC 20260813-115232-phase6-batch12-battle-attack-defense-result-messages: visual QA passed. Batch 12 QA Gallery reviewed: 5/5 pages passed. All selected strings were verified for correct Thai font rendering, spacing, clipping, layout, punctuation, placeholders, and terminology consistency."
SM0013,local:src/battle_message.c:sText_PkmnProtectedItself,sText_PkmnProtectedItself,"{B_DEF_NAME_WITH_PREFIX}
protected itself!","{B_DEF_NAME_WITH_PREFIX}
ป้องกันตัวเอง!",proof_passed,system_message,english,BATTLE;BATTLE_SYSTEM,1,c_u8,src/battle_message.c,69,2,{B_DEF_NAME_WITH_PREFIX},yes,pending_usage_to_window_mapping,proof_passed,"GLCC 20260813-115232-phase6-batch12-battle-attack-defense-result-messages: preview/build passed; visual QA pending.; GLCC 20260813-115232-phase6-batch12-battle-attack-defense-result-messages: visual QA passed. Batch 12 QA Gallery reviewed: 5/5 pages passed. All selected strings were verified for correct Thai font rendering, spacing, clipping, layout, punctuation, placeholders, and terminology consistency."
SM0014,local:src/battle_message.c:sText_StatsWontIncrease2,sText_StatsWontIncrease2,"{B_ATK_NAME_WITH_PREFIX}'s stats won't
go any higher!","ค่าสถานะของ {B_ATK_NAME_WITH_PREFIX}
เพิ่มไปกว่านี้ไม่ได้!",proof_passed,system_message,english,BATTLE;BATTLE_SYSTEM,1,c_u8,src/battle_message.c,309,2,{B_ATK_NAME_WITH_PREFIX},yes,pending_usage_to_window_mapping,proof_passed,"GLCC 20260813-115232-phase6-batch12-battle-attack-defense-result-messages: preview/build passed; visual QA pending.; GLCC 20260813-115232-phase6-batch12-battle-attack-defense-result-messages: visual QA passed. Batch 12 QA Gallery reviewed: 5/5 pages passed. All selected strings were verified for correct Thai font rendering, spacing, clipping, layout, punctuation, placeholders, and terminology consistency."
SM0015,local:src/battle_message.c:sText_AvoidedDamage,sText_AvoidedDamage,"{B_DEF_NAME_WITH_PREFIX} avoided
damage with {B_DEF_ABILITY}!","{B_DEF_NAME_WITH_PREFIX} หลบ
ความเสียหายด้วย {B_DEF_ABILITY}!",proof_passed,system_message,english,BATTLE;BATTLE_SYSTEM,1,c_u8,src/battle_message.c,70,2,{B_DEF_NAME_WITH_PREFIX}; {B_DEF_ABILITY},yes,pending_usage_to_window_mapping,proof_passed,"GLCC 20260813-115232-phase6-batch12-battle-attack-defense-result-messages: preview/build passed; visual QA pending.; GLCC 20260813-115232-phase6-batch12-battle-attack-defense-result-messages: visual QA passed. Batch 12 QA Gallery reviewed: 5/5 pages passed. All selected strings were verified for correct Thai font rendering, spacing, clipping, layout, punctuation, placeholders, and terminology consistency."
SM0016,local:src/battle_message.c:sText_ItDoesntAffect,sText_ItDoesntAffect,"It doesn't affect
{B_DEF_NAME_WITH_PREFIX}…","ไม่มีผลต่อ
{B_DEF_NAME_WITH_PREFIX}…",proof_passed,system_message,english,BATTLE;BATTLE_SYSTEM,1,c_u8,src/battle_message.c,73,2,{B_DEF_NAME_WITH_PREFIX},yes,pending_usage_to_window_mapping,proof_passed,"GLCC 20260813-115232-phase6-batch12-battle-attack-defense-result-messages: preview/build passed; visual QA pending.; GLCC 20260813-115232-phase6-batch12-battle-attack-defense-result-messages: visual QA passed. Batch 12 QA Gallery reviewed: 5/5 pages passed. All selected strings were verified for correct Thai font rendering, spacing, clipping, layout, punctuation, placeholders, and terminology consistency."
SM0017,local:src/battle_message.c:sText_AttackerFainted,sText_AttackerFainted,"{B_ATK_NAME_WITH_PREFIX}
fainted!\p","{B_ATK_NAME_WITH_PREFIX}
หมดสภาพ!\p",proof_passed,system_message,english,BATTLE;BATTLE_SYSTEM,1,c_u8,src/battle_message.c,74,2,{B_ATK_NAME_WITH_PREFIX}; \p,yes,pending_usage_to_window_mapping,proof_passed,"GLCC 20260813-134027-phase6-batch13-battle-faint-money-escape-messages: preview/build passed; visual QA pending.; GLCC 20260813-134027-phase6-batch13-battle-faint-money-escape-messages: visual QA passed. Batch 13 QA Gallery reviewed: 5/5 pages passed. All selected strings were verified for correct Thai font rendering, spacing, clipping, layout, punctuation, placeholders, and terminology consistency."
