ui_id,symbol,source_text,target_text_th,profile_id,renderer,route_or_designator,font_id,hard_width_px,window_height_px,max_lines,target_line_count,line_widths_px,max_expanded_width_px,remaining_px,source_tokens,test_expansion,thai_run_count,shaped_command_bytes,source_file,source_line,semantic_note,final_revision_status,translation_review_status,source_injection_status,shaper_result,width_result,rom_build_status,rom_sha256,visual_qa_status,qa_note
UI0005,gText_Able3,ABLE!,เรียนรู้ได้!,PM_PROMPT_DESC_NORMAL_64x16,DisplayPartyPokemonDescriptionText,sDescriptionStringTable,FONT_NORMAL,64,16,1,1,46,46,18,,เรียนรู้ได้!,1,56,src/strings.c,465,"สถานะว่าโปเกมอนสามารถเรียนท่าจาก TM/HM, Move Tutor หรือ Move Relearner ได้",approved_from_review_v1,approved,pass,pass,pass,pass,9781d48c2f86d132f4c61155c946674a15b1222c1bc4973c7b9b7ac3c36fc9b1,proof_passed,Automated source/token/shaper/width checks passed; final normal ROM build passed. User-confirmed runtime gallery passed 14/14 pages and 49/49 prompts. Full-message first-glyph clipping at x=0 was corrected by the Party Menu PrintMessage x=1 renderer origin; V5 pages 08-14 confirmed the fix.
UI0007,gText_AlreadyHoldingOne,"{STR_VAR_1} is already holding
one {STR_VAR_2}.","{STR_VAR_1} ถือ
{STR_VAR_2} อยู่แล้ว",PM_PROMPT_STD_HOLDING_NORMAL_160x32,DisplayPartyMenuStdMessage,PARTY_MSG_ALREADY_HOLDING_ONE,FONT_NORMAL,160,32,2,2,75;118,118,42,{STR_VAR_1};{STR_VAR_2},"WWWWWWWWWW ถือ
WWWWWWWWWWWWWW อยู่แล้ว",2,56,src/strings.c,457,STR_VAR_1 คือชื่อโปเกมอน และ STR_VAR_2 คือชื่อไอเทม,approved_from_review_v1,approved,pass,pass,pass,pass,9781d48c2f86d132f4c61155c946674a15b1222c1bc4973c7b9b7ac3c36fc9b1,proof_passed,Automated source/token/shaper/width checks passed; final normal ROM build passed. User-confirmed runtime gallery passed 14/14 pages and 49/49 prompts. Full-message first-glyph clipping at x=0 was corrected by the Party Menu PrintMessage x=1 renderer origin; V5 pages 08-14 confirmed the fix.
UI0009,gText_AlreadySurfing,You're already SURFING.,กำลังใช้ SURF อยู่แล้ว,PM_PROMPT_STD_DEFAULT_NORMAL_168x16,DisplayPartyMenuStdMessage,PARTY_MSG_ALREADY_SURFING,FONT_NORMAL,168,16,1,1,93,93,75,,กำลังใช้ SURF อยู่แล้ว,2,80,src/strings.c,440,คงชื่อท่า SURF เป็นภาษาอังกฤษตามนโยบายชื่อท่า,approved_from_review_v1,approved,pass,pass,pass,pass,9781d48c2f86d132f4c61155c946674a15b1222c1bc4973c7b9b7ac3c36fc9b1,proof_passed,Automated source/token/shaper/width checks passed; final normal ROM build passed. User-confirmed runtime gallery passed 14/14 pages and 49/49 prompts. Full-message first-glyph clipping at x=0 was corrected by the Party Menu PrintMessage x=1 renderer origin; V5 pages 08-14 confirmed the fix.
UI0040,gText_BoostPP,Boost PP of which move?,เพิ่ม PP ให้ท่าไหน?,PM_PROMPT_STD_MOVE_NORMAL_128x16,DisplayPartyMenuStdMessage,PARTY_MSG_BOOST_PP_WHICH_MOVE,FONT_NORMAL,128,16,1,1,88,88,40,,เพิ่ม PP ให้ท่าไหน?,2,80,src/strings.c,443,เลือกท่าที่ต้องการเพิ่มค่า PP สูงสุด,approved_from_review_v1,approved,pass,pass,pass,pass,9781d48c2f86d132f4c61155c946674a15b1222c1bc4973c7b9b7ac3c36fc9b1,proof_passed,Automated source/token/shaper/width checks passed; final normal ROM build passed. User-confirmed runtime gallery passed 14/14 pages and 49/49 prompts. Full-message first-glyph clipping at x=0 was corrected by the Party Menu PrintMessage x=1 renderer origin; V5 pages 08-14 confirmed the fix.
UI0058,gText_CancelBattle,Cancel the battle?,ยกเลิกการต่อสู้?,PM_PROMPT_FULL_MESSAGE_NORMAL_224x32,DisplayPartyMenuMessage -> PrintMessage,DisplayPartyMenuMessage / indirect full-message route,FONT_NORMAL,223,32,2,1,68,68,155,,ยกเลิกการต่อสู้?,1,88,src/strings.c,473,ยืนยันยกเลิกการต่อสู้ในโหมดที่เกี่ยวข้อง,approved_from_review_v1,approved,pass,pass,pass,pass,9781d48c2f86d132f4c61155c946674a15b1222c1bc4973c7b9b7ac3c36fc9b1,proof_passed,Automated source/token/shaper/width checks passed; final normal ROM build passed. User-confirmed runtime gallery passed 14/14 pages and 49/49 prompts. Full-message first-glyph clipping at x=0 was corrected by the Party Menu PrintMessage x=1 renderer origin; V5 pages 08-14 confirmed the fix.
UI0059,gText_CancelChallenge,Cancel the challenge?,ยกเลิกการท้าทาย?,PM_PROMPT_FULL_MESSAGE_NORMAL_224x32,DisplayPartyMenuMessage -> PrintMessage,DisplayPartyMenuMessage / indirect full-message route,FONT_NORMAL,223,32,2,1,77,77,146,,ยกเลิกการท้าทาย?,1,104,src/strings.c,475,ยืนยันยกเลิกชาเลนจ์ของ Battle Frontier,approved_from_review_v1,approved,pass,pass,pass,pass,9781d48c2f86d132f4c61155c946674a15b1222c1bc4973c7b9b7ac3c36fc9b1,proof_passed,Automated source/token/shaper/width checks passed; final normal ROM build passed. User-confirmed runtime gallery passed 14/14 pages and 49/49 prompts. Full-message first-glyph clipping at x=0 was corrected by the Party Menu PrintMessage x=1 renderer origin; V5 pages 08-14 confirmed the fix.
UI0060,gText_CancelParticipation,Cancel participation?,ยกเลิกการเข้าร่วม?,PM_PROMPT_FULL_MESSAGE_NORMAL_224x32,DisplayPartyMenuMessage -> PrintMessage,DisplayPartyMenuMessage / indirect full-message route,FONT_NORMAL,223,32,2,1,81,81,142,,ยกเลิกการเข้าร่วม?,1,112,src/strings.c,472,ยืนยันยกเลิกการเข้าร่วม Contest,approved_from_review_v1,approved,pass,pass,pass,pass,9781d48c2f86d132f4c61155c946674a15b1222c1bc4973c7b9b7ac3c36fc9b1,proof_passed,Automated source/token/shaper/width checks passed; final normal ROM build passed. User-confirmed runtime gallery passed 14/14 pages and 49/49 prompts. Full-message first-glyph clipping at x=0 was corrected by the Party Menu PrintMessage x=1 renderer origin; V5 pages 08-14 confirmed the fix.
UI0064,gText_CantSurfHere,You can't SURF here.,ใช้ SURF ที่นี่ไม่ได้,PM_PROMPT_STD_DEFAULT_NORMAL_168x16,DisplayPartyMenuStdMessage,PARTY_MSG_CANT_SURF_HERE,FONT_NORMAL,168,16,1,1,83,83,85,,ใช้ SURF ที่นี่ไม่ได้,2,64,src/strings.c,439,คงชื่อท่า SURF เป็นภาษาอังกฤษตามนโยบายชื่อท่า,approved_from_review_v1,approved,pass,pass,pass,pass,9781d48c2f86d132f4c61155c946674a15b1222c1bc4973c7b9b7ac3c36fc9b1,proof_passed,Automated source/token/shaper/width checks passed; final normal ROM build passed. User-confirmed runtime gallery passed 14/14 pages and 49/49 prompts. Full-message first-glyph clipping at x=0 was corrected by the Party Menu PrintMessage x=1 renderer origin; V5 pages 08-14 confirmed the fix.
UI0066,gText_CantTradeWithTrainer,"You can't trade with that
TRAINER now.","ตอนนี้แลกเปลี่ยนกับ
เทรนเนอร์คนนั้นไม่ได้",PM_PROMPT_FULL_MESSAGE_NORMAL_224x32,DisplayPartyMenuMessage -> PrintMessage,DisplayPartyMenuMessage / indirect full-message route,FONT_NORMAL,223,32,2,2,92;104,104,119,,"ตอนนี้แลกเปลี่ยนกับ
เทรนเนอร์คนนั้นไม่ได้",2,240,src/strings.c,491,ข้อความข้อจำกัดการแลกเปลี่ยนใน Union Room,approved_from_review_v1,approved,pass,pass,pass,pass,9781d48c2f86d132f4c61155c946674a15b1222c1bc4973c7b9b7ac3c36fc9b1,proof_passed,Automated source/token/shaper/width checks passed; final normal ROM build passed. User-confirmed runtime gallery passed 14/14 pages and 49/49 prompts. Full-message first-glyph clipping at x=0 was corrected by the Party Menu PrintMessage x=1 renderer origin; V5 pages 08-14 confirmed the fix.
UI0067,gText_CantUseHere,Can't use that here.,ใช้ที่นี่ไม่ได้,PM_PROMPT_STD_DEFAULT_NORMAL_168x16,DisplayPartyMenuStdMessage,PARTY_MSG_CANT_USE_HERE,FONT_NORMAL,168,16,1,1,53,53,115,,ใช้ที่นี่ไม่ได้,1,64,src/strings.c,441,ข้อความทั่วไปเมื่อใช้คำสั่งภาคสนามไม่ได้,approved_from_review_v1,approved,pass,pass,pass,pass,9781d48c2f86d132f4c61155c946674a15b1222c1bc4973c7b9b7ac3c36fc9b1,proof_passed,Automated source/token/shaper/width checks passed; final normal ROM build passed. User-confirmed runtime gallery passed 14/14 pages and 49/49 prompts. Full-message first-glyph clipping at x=0 was corrected by the Party Menu PrintMessage x=1 renderer origin; V5 pages 08-14 confirmed the fix.
