entry_type,term_en,term_th_or_rule,category,decision,status,affected_symbols
policy,Pokémon names,Japanese species reference,species_names_th.csv,project_policy,locked,
policy,Person names,Thai transliteration from English source,English source,project_policy,locked,
policy,Location names,Thai rendering from English source,English source,project_policy,locked,
policy,Organization and team names,Thai rendering from English source,English source,project_policy,locked,
policy,Item names,Keep English,English source,project_policy,locked,
policy,Move names,Keep English,English source,project_policy,locked,
policy,General and system terms,Translate to Thai,English source,project_policy,locked,
term,SAFARI ZONE,ซาฟารีโซน,location,translate_from_english,locked,
term,SHOAL CAVE,ถ้ำโชล,location,translate_from_english,locked,
term,SILPH CO.,ซิลฟ์,organization,translate_from_english,locked,
term,COOL,ความเท่,contest_attribute,translate_general_term,locked,
term,BEAUTY,ความงาม,contest_attribute,translate_general_term,locked,
term,CUTE,ความน่ารัก,contest_attribute,translate_general_term,locked,
term,SMART,ความฉลาด,contest_attribute,translate_general_term,locked,
term,TOUGH,ความแกร่ง,contest_attribute,translate_general_term,locked,
term,CONTEST,การประกวด,system_term,translate_general_term,locked,
term,COIN,เหรียญ,general_term,translate_general_term,locked,
term,POKéMON CONTEST,การประกวดโปเกมอน,system_term,translate_general_term,locked,
term,DEVON,เดวอน,organization,translate_from_english,locked,sDevonGoodsDesc;sDevonScopeDesc;sLetterDesc
term,NEW MAUVILLE,นิวมอวิลล์,location,translate_from_english,locked,
term,MAUVILLE CITY,เมืองมอวิลล์,location,translate_from_english,locked,
term,BERRY BLENDER,เครื่องปั่นเบอร์รี,system_term,translate_general_term,locked,
term,STEVEN,สตีเวน,person,translate_from_english,locked,sLetterDesc
term,PRESIDENT,ประธาน,general_title,translate_general_term,locked,sLetterDesc
term,DEVON CORP.,บริษัทเดวอน,organization,translate_from_english,locked,
term,ABANDONED SHIP,เรือร้าง,location,translate_from_english,locked,
term,METEOR FALLS,น้ำตกมีทีออร์,location,translate_from_english,locked,
term,POKéMON MART,โปเกมอนมาร์ต,organization,translate_from_english,locked,
term,PROF. OAK,ศาสตราจารย์โอ๊ก,person,translate_from_english,locked,
term,GYM,ยิม,system_term,translate_general_term,locked,sSecretKeyDesc
term,CINNABAR ISLAND,เกาะซินนาบาร์,location,translate_from_english,locked,
term,BIKE SHOP,ร้านจักรยาน,general_location,translate_general_term,locked,
term,WARDEN,ผู้ดูแล,general_title,translate_general_term,locked,sGoldTeethDesc
term,TEAM ROCKET,ทีมร็อกเก็ต,team,translate_from_english,locked,
term,ONE ISLAND,เกาะวัน,location,translate_from_english,locked,
term,TWO ISLAND,เกาะทู,location,translate_from_english,locked,
term,THREE ISLAND,เกาะทรี,location,translate_from_english,locked,
term,VERMILION,เวอร์มิเลียน,location,translate_from_english,locked,sRainbowPassDesc
term,SEVII ISLANDS,หมู่เกาะเซวี,location,translate_from_english,locked,
term,NAVEL ROCK,เนเวลร็อก,location,translate_from_english,locked,
term,BIRTH ISLAND,เบิร์ธไอแลนด์,location,translate_from_english,locked,
term,BERRY POWDER,ผงเบอร์รี,system_term,translate_general_term,locked,
term,BERRY CRUSHER,เครื่องบดเบอร์รี,system_term,translate_general_term,locked,
term,TEAM MAGMA,ทีมแมกมา,team,translate_from_english,locked,
term,GREAT BALL,GREAT BALL,item_name,keep_english,locked,
term,POKé BALL,POKé BALL,item_name,keep_english,locked,
term,LIGHT SCREEN,LIGHT SCREEN,move_name,keep_english,locked,
term,RUNNING SHOES,RUNNING SHOES,item_name,keep_english,locked,
term,Berry names,Keep individual English berry names,item_name,keep_english,locked,
