ui_id,symbol,source_text,target_text_th,ui_areas,constraint_profiles,hard_width_px,measured_thai_advance_px,remaining_px,shaped_cluster_count,shaped_command_bytes,source_file,source_line,semantic_note,translation_review_status,source_injection_status,shaper_result,width_result,rom_build_status,rom_sha256,visual_qa_status,cross_screen_qa_required,qa_note
UI0003,gText_Able,ABLE,เข้าร่วมได้,PARTY_MENU,PM_DESC_NORMAL_64,64,45,19,8,64,src/strings.c,459,สถานะว่าโปเกมอนผ่านเกณฑ์และเข้าร่วมได้,approved,pass,pass,pass,pass,8cadd3344b72fc456fed82fe431957780fb4e43c0a4338aaa9636f11110b6f61,pending,no,Automated checks passed. Runtime visual QA is required before proof_passed.
UI0004,gText_Able2,ABLE,เข้าร่วมได้,PARTY_MENU,PM_DESC_NORMAL_64,64,45,19,8,64,src/strings.c,463,สถานะเข้าร่วมได้สำหรับ Contest และ Wireless Minigame,approved,pass,pass,pass,pass,8cadd3344b72fc456fed82fe431957780fb4e43c0a4338aaa9636f11110b6f61,pending,no,Automated checks passed. Runtime visual QA is required before proof_passed.
UI0055,gText_Cancel,CANCEL,ยกเลิก,MOVE_UI;PARTY_MENU;PC_STORAGE;SUMMARY,PM_CANCEL_SMALL_CENTER_48_OFFSET_3,42,28,14,5,40,src/strings.c,194,คำสั่งยกเลิกที่ใช้ร่วมหลายหน้าจอ,approved,pass,pass,pass,pass,8cadd3344b72fc456fed82fe431957780fb4e43c0a4338aaa9636f11110b6f61,pending,yes,Automated checks passed. Runtime visual QA is required before proof_passed.
UI0056,gText_Cancel2,CANCEL,ยกเลิก,BAG;PARTY_MENU;PC_STORAGE;SHOP;SUMMARY,PM_ACTION_NORMAL_CURSOR;PM_CANCEL_SMALL_CENTER_48_OFFSET_3,42,28,14,5,40,src/strings.c,195,คำสั่งยกเลิกที่ใช้ร่วมหลายหน้าจอ,approved,pass,pass,pass,pass,8cadd3344b72fc456fed82fe431957780fb4e43c0a4338aaa9636f11110b6f61,pending,yes,Automated checks passed. Runtime visual QA is required before proof_passed.
UI0179,gText_DontHave,DON'T HAVE,ไม่มี,PARTY_MENU,PM_DESC_NORMAL_64,64,20,44,3,24,src/strings.c,469,โปเกมอนไม่มีไอเทมที่ถืออยู่,approved,pass,pass,pass,pass,8cadd3344b72fc456fed82fe431957780fb4e43c0a4338aaa9636f11110b6f61,pending,no,Automated checks passed. Runtime visual QA is required before proof_passed.
UI0192,gText_Enter,ENTER,เข้าร่วม,PARTY_MENU,PM_ACTION_NORMAL_CURSOR,72,32,40,6,48,src/strings.c,372,เพิ่มโปเกมอนเข้าสู่รายชื่อการแข่งขันหรือการต่อสู้,approved,pass,pass,pass,pass,8cadd3344b72fc456fed82fe431957780fb4e43c0a4338aaa9636f11110b6f61,pending,no,Automated checks passed. Runtime visual QA is required before proof_passed.
UI0199,gText_First_PM,FIRST,ตัวแรก,PARTY_MENU,PM_DESC_NORMAL_64,64,31,33,5,40,src/strings.c,460,โปเกมอนลำดับแรกที่เลือก,approved,pass,pass,pass,pass,8cadd3344b72fc456fed82fe431957780fb4e43c0a4338aaa9636f11110b6f61,pending,no,Automated checks passed. Runtime visual QA is required before proof_passed.
UI0209,gText_Fourth,FOURTH,ตัวที่สี่,PARTY_MENU,PM_DESC_NORMAL_64,64,26,38,4,32,src/strings.c,470,โปเกมอนลำดับที่สี่ที่เลือก,approved,pass,pass,pass,pass,8cadd3344b72fc456fed82fe431957780fb4e43c0a4338aaa9636f11110b6f61,pending,no,Automated checks passed. Runtime visual QA is required before proof_passed.
UI0221,gText_Have,HAVE,มี,PARTY_MENU,PM_DESC_NORMAL_64,64,7,57,1,8,src/strings.c,468,โปเกมอนมีไอเทมที่ถืออยู่,approved,pass,pass,pass,pass,8cadd3344b72fc456fed82fe431957780fb4e43c0a4338aaa9636f11110b6f61,pending,no,Automated checks passed. Runtime visual QA is required before proof_passed.
UI0234,gText_Item,ITEM,ไอเทม,PARTY_MENU,PM_ACTION_NORMAL_CURSOR,72,30,42,5,40,src/strings.c,199,เมนูจัดการไอเทมที่โปเกมอนถืออยู่,approved,pass,pass,pass,pass,8cadd3344b72fc456fed82fe431957780fb4e43c0a4338aaa9636f11110b6f61,pending,no,Automated checks passed. Runtime visual QA is required before proof_passed.
UI0244,gText_Learned,LEARNED,เรียนรู้แล้ว,PARTY_MENU,PM_DESC_NORMAL_64,64,48,16,8,64,src/strings.c,467,โปเกมอนเรียนรู้ท่านี้อยู่แล้ว,approved,pass,pass,pass,pass,8cadd3344b72fc456fed82fe431957780fb4e43c0a4338aaa9636f11110b6f61,pending,no,Automated checks passed. Runtime visual QA is required before proof_passed.
UI0250,gText_Mail,MAIL,จดหมาย,PARTY_MENU,PM_ACTION_NORMAL_CURSOR,72,37,35,6,48,src/strings.c,200,เมนูจัดการจดหมายที่โปเกมอนถืออยู่,approved,pass,pass,pass,pass,8cadd3344b72fc456fed82fe431957780fb4e43c0a4338aaa9636f11110b6f61,pending,no,Automated checks passed. Runtime visual QA is required before proof_passed.
UI0312,gText_NoEntry,NO ENTRY,ถอนตัว,PARTY_MENU,PM_ACTION_NORMAL_CURSOR,72,33,39,5,40,src/strings.c,373,นำโปเกมอนออกจากรายชื่อที่เลือก,approved,pass,pass,pass,pass,8cadd3344b72fc456fed82fe431957780fb4e43c0a4338aaa9636f11110b6f61,pending,no,Automated checks passed. Runtime visual QA is required before proof_passed.
UI0325,gText_NotAble,NOT ABLE,เข้าร่วมไม่ได้,PARTY_MENU,PM_DESC_NORMAL_64,64,58,6,10,80,src/strings.c,464,สถานะว่าโปเกมอนไม่ผ่านเกณฑ์และเข้าร่วมไม่ได้,approved,pass,pass,pass,pass,8cadd3344b72fc456fed82fe431957780fb4e43c0a4338aaa9636f11110b6f61,pending,no,Automated checks passed. Runtime visual QA is required before proof_passed.
UI0417,gText_Read2,READ,อ่าน,PARTY_MENU,PM_ACTION_NORMAL_CURSOR,72,18,54,3,24,src/strings.c,375,อ่านจดหมายที่โปเกมอนถืออยู่,approved,pass,pass,pass,pass,8cadd3344b72fc456fed82fe431957780fb4e43c0a4338aaa9636f11110b6f61,pending,no,Automated checks passed. Runtime visual QA is required before proof_passed.
UI0419,gText_Register,REGISTER,ลงทะเบียน,PARTY_MENU,PM_ACTION_NORMAL_CURSOR,72,47,25,8,64,src/strings.c,496,ลงทะเบียนโปเกมอนบน Trading Board,approved,pass,pass,pass,pass,8cadd3344b72fc456fed82fe431957780fb4e43c0a4338aaa9636f11110b6f61,pending,no,Automated checks passed. Runtime visual QA is required before proof_passed.
