description_symbol,source_text,target_text_th,status,usage_count,line_count,max_width_font_normal_px,max_width_font_narrow_px,hard_limit_px,width_result,glyph_result,control_code_result,number_result,abbreviation_result,risk_score,risk_reasons,source_file,source_line
sDummyDesc,?????,,not_applicable,68,1,,,120,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,0,dummy_68_usages,src/data/text/item_descriptions.h,1
sMasterBallDesc,"The best BALL that
catches a POKéMON
without fail.","บอลที่ดีที่สุด
จับโปเกมอนได้แน่นอน
โดยไม่พลาด",translated_pending_qa,1,3,106,106,120,pass,pass,pass,pass,pass,8,wide_line;proper_name_or_location;three_lines,src/data/text/item_descriptions.h,5
sUltraBallDesc,"A better BALL with
a higher catch rate
than a GREAT BALL.","บอลประสิทธิภาพสูง
มีอัตราจับสูงกว่า
GREAT BALL",translated_pending_qa,1,3,84,84,120,pass,pass,pass,pass,pass,4,proper_name_or_location;three_lines,src/data/text/item_descriptions.h,10
sGreatBallDesc,"A good BALL with a
higher catch rate
than a POKé BALL.","บอลคุณภาพดี
มีอัตราจับสูงกว่า
POKé BALL",translated_pending_qa,1,3,68,68,120,pass,pass,pass,pass,pass,4,proper_name_or_location;three_lines,src/data/text/item_descriptions.h,15
sPokeBallDesc,"A tool used for
catching wild
POKéMON.","อุปกรณ์สำหรับจับ
โปเกมอนป่า",translated_pending_qa,1,2,76,76,120,pass,pass,pass,pass,pass,3,proper_name_or_location,src/data/text/item_descriptions.h,20
sSafariBallDesc,"A special BALL that
is used only in the
SAFARI ZONE.","บอลพิเศษสำหรับใช้
เฉพาะในซาฟารีโซน",translated_pending_qa,1,2,92,92,120,pass,pass,pass,pass,pass,9,wide_line;mixed_thai_latin_or_number;proper_name_or_location,src/data/text/item_descriptions.h,25
sNetBallDesc,"A BALL that works
well on WATER- and
BUG-type POKéMON.","ได้ผลดีกับโปเกมอน
ประเภท WATER และ BUG",translated_pending_qa,1,2,110,102,120,pass,pass,pass,pass,pass,10,wide_line;mixed_thai_latin_or_number;proper_name_or_location,src/data/text/item_descriptions.h,30
sDiveBallDesc,"A BALL that works
better on POKéMON
on the ocean floor.","ได้ผลดีกับโปเกมอน
ที่อยู่ใต้ท้องทะเล",translated_pending_qa,1,2,88,88,120,pass,pass,pass,pass,pass,3,proper_name_or_location,src/data/text/item_descriptions.h,35
sNestBallDesc,"A BALL that works
better on weaker
POKéMON.","ได้ผลดีกับ
โปเกมอนที่อ่อนแอ",translated_pending_qa,1,2,83,83,120,pass,pass,pass,pass,pass,3,proper_name_or_location,src/data/text/item_descriptions.h,40
sRepeatBallDesc,"A BALL that works
better on POKéMON
caught before.","ได้ผลดีกับโปเกมอน
ที่เคยจับมาก่อน",translated_pending_qa,1,2,88,88,120,pass,pass,pass,pass,pass,3,proper_name_or_location,src/data/text/item_descriptions.h,45
sTimerBallDesc,"A BALL that gains
power in battles
taking many turns.","พลังจับเพิ่มขึ้น
เมื่อการต่อสู้
ยืดเยื้อหลายเทิร์น",translated_pending_qa,1,3,77,77,120,pass,pass,pass,pass,pass,1,three_lines,src/data/text/item_descriptions.h,50
sLuxuryBallDesc,"A cozy BALL that
makes POKéMON
more friendly.","บอลแสนสบาย
ช่วยให้โปเกมอน
สนิทมากขึ้น",translated_pending_qa,1,3,74,74,120,pass,pass,pass,pass,pass,4,proper_name_or_location;three_lines,src/data/text/item_descriptions.h,55
