id,global_order,chapter_id,event_id,map_name,map_period,speaker,source_label,english_visible_length,thai_visible_length,longest_english_line,longest_thai_line,page_count,placeholder_count,control_code_sequence,result,notes
dlg_f05a5b388b38ad28,1,opening,birch_intro,,opening,Professor Birch,gText_Birch_Welcome,122,101,33,29,5,0,\p | \p | \p | \n | \p,ok,
dlg_a0a50d7092ef23e5,2,opening,birch_intro,,opening,Professor Birch,gText_Birch_Pokemon,33,25,33,25,2,0,\p | \n,ok,
dlg_8413e20c18110096,3,opening,birch_intro,,opening,Professor Birch,gText_Birch_MainSpeech,418,399,35,42,7,0,\n | \p | \n | \l | \p | \n | \p | \n | \p | \n | \p | \n | \l | \p,review_long_line,Thai line likely exceeds the GBA dialogue width; retain meaning and review layout.
dlg_412f32d24928ff84,4,opening,player_setup,,opening,Professor Birch,gText_Birch_AndYouAre,12,17,12,17,1,0,,ok,
dlg_008b1eacc20d2fa0,5,opening,player_setup,,opening,Professor Birch,gText_Birch_BoyOrGirl,2,36,1,19,1,0,{252} | {25} | {3} | {0} | {0} | {244} | {4} | {1} | {252} | {25} | {29} | {0} | {0} | {244} | {6} | {1} | {252} | {25} | {48} | {0} | {0} | {244} | {6} | {1} | {252} | {25} | {3} | {0} | {0} | {244} | {4} | {1} | {252} | {25} | {8} | {2} | {0} | {244} | {7} | {1} | {252} | {25} | {30} | {0} | {0} | {244} | {8} | {1} | {252} | {25} | {3} | {0} | {0} | {244} | {4} | {1} | {252} | {25} | {3} | {2} | {0} | {244} | {7} | {1} | {252} | {25} | {8} | {0} | {0} | {244} | {6} | {1} | {252} | {25} | {15} | {0} | {0} | {244} | {6} | {1} | {252} | {25} | {6} | {0} | {0} | {244} | {4} | {1} | {252} | {25} | {39} | {0} | {0} | {244} | {6} | {1} | \n | {252} | {25} | {46} | {0} | {0} | {244} | {7} | {1} | {252} | {25} | {21} | {1} | {0} | {244} | {6} | {1} | {252} | {25} | {48} | {0} | {0} | {244} | {6} | {1} | {252} | {25} | {3} | {0} | {0} | {244} | {4} | {1} | {252} | {25} | {8} | {2} | {0} | {244} | {7} | {1} | {252} | {25} | {30} | {0} | {0} | {244} | {8} | {1} | {252} | {25} | {3} | {0} | {0} | {244} | {4} | {1} | {252} | {25} | {3} | {2} | {0} | {244} | {7} | {1} | {252} | {25} | {8} | {0} | {0} | {244} | {6} | {1} | {252} | {25} | {46} | {0} | {0} | {244} | {7} | {1} | {252} | {25} | {58} | {0} | {0} | {244} | {8} | {1} | {252} | {25} | {12} | {0} | {0} | {244} | {4} | {1},ok,
dlg_9ef890e3b20a3ebf,6,opening,player_setup,,opening,Professor Birch,gText_Birch_WhatsYourName,27,17,17,12,1,0,\n,ok,
dlg_531e30048ab5cfb4,7,opening,player_setup,,opening,Professor Birch,gText_Birch_SoItsPlayer,9,26,9,26,1,2,{PLAYER} | {KUN},ok,
dlg_3d03c87c21475304,8,opening,player_setup,,opening,Professor Birch,gText_Birch_YourePlayer,71,88,26,30,3,2,\p | {PLAYER} | {KUN} | \n | \l | \p,ok,
dlg_745792a288a31bbd,9,opening,player_setup,,opening,Professor Birch,gText_Birch_AreYouReady,225,189,34,29,5,0,\p | \n | \p | \n | \l | \p | \n | \p,review_long_line,Thai line likely exceeds the GBA dialogue width; retain meaning and review layout.
dlg_c9c9cfc75f70e8e3,10,littleroot,littleroot_arrival,LittlerootTown_BrendansHouse_1F,arrival,,PlayersHouse_1F_Text_IsntItNiceInHere,38,35,27,25,1,1,{PLAYER} | \n,ok,
dlg_bd705cc8a504bb05,11,littleroot,littleroot_arrival,LittlerootTown_BrendansHouse_1F,arrival,,PlayersHouse_1F_Text_MoversPokemonGoSetClock,212,187,38,37,3,1,\n | \l | \p | {PLAYER} | \n | \p | \n | \l,ok,
dlg_a1cf42cc4332f130,12,littleroot,rival_intro,LittlerootTown_BrendansHouse_1F,rival_intro,Brendan,RivalsHouse_1F_Text_BrendanWhoAreYou,408,369,36,39,11,2,\n | \p | \p | {PLAYER} | \n | \p | \p | \n | \l | \p | \n | \p | {PLAYER} | \n | \p | \p | \p | \n | \p,review_long_line,Thai line likely exceeds the GBA dialogue width; retain meaning and review layout.
