description_symbol,english_tokens_kept,target_text_th,review_status,note
sUltraBallDesc,GREAT,"บอลประสิทธิภาพสูง
มีอัตราจับสูงกว่า
GREAT BALL",policy_verified_keep_english,"Verified under locked policy: item names, move names, and individual Berry names remain in English."
sGreatBallDesc,POKé,"บอลคุณภาพดี
มีอัตราจับสูงกว่า
POKé BALL",policy_verified_keep_english,"Verified under locked policy: item names, move names, and individual Berry names remain in English."
sSafariBallDesc,ONE;SAFARI;ZONE,"บอลพิเศษสำหรับใช้
เฉพาะในซาฟารีโซน",policy_applied_thai,"Applied locked policy: person, location, organization, team, general, and system terminology rendered in Thai from the English source."
sShoalSaltDesc,CAVE;SHOAL,"เกลือที่เก็บได้จาก
ส่วนลึกของถ้ำโชล",policy_applied_thai,"Applied locked policy: person, location, organization, team, general, and system terminology rendered in Thai from the English source."
sShoalShellDesc,CAVE;SHOAL,"เปลือกหอยที่พบได้
ในส่วนลึกของถ้ำโชล",policy_applied_thai,"Applied locked policy: person, location, organization, team, general, and system terminology rendered in Thai from the English source."
sRazzBerryDesc,RAZZ,"วัตถุดิบทำ {POKEBLOCK}
ปลูกในดินร่วนเพื่อ
เพาะ RAZZ",policy_verified_keep_english,"Verified under locked policy: item names, move names, and individual Berry names remain in English."
sBlukBerryDesc,BLUK,"วัตถุดิบทำ {POKEBLOCK}
ปลูกในดินร่วนเพื่อ
เพาะ BLUK",policy_verified_keep_english,"Verified under locked policy: item names, move names, and individual Berry names remain in English."
sNanabBerryDesc,NANAB,"วัตถุดิบทำ {POKEBLOCK}
ปลูกในดินร่วนเพื่อ
เพาะ NANAB",policy_verified_keep_english,"Verified under locked policy: item names, move names, and individual Berry names remain in English."
sWepearBerryDesc,WEPEAR,"วัตถุดิบทำ {POKEBLOCK}
ปลูกในดินร่วนเพื่อ
เพาะ WEPEAR",policy_verified_keep_english,"Verified under locked policy: item names, move names, and individual Berry names remain in English."
sPinapBerryDesc,PINAP,"วัตถุดิบทำ {POKEBLOCK}
ปลูกในดินร่วนเพื่อ
เพาะ PINAP",policy_verified_keep_english,"Verified under locked policy: item names, move names, and individual Berry names remain in English."
sCornnBerryDesc,CO;CORNN,"วัตถุดิบทำ {POKEBLOCK}
ปลูกในดินร่วนเพื่อ
เพาะ CORNN",policy_verified_keep_english,"Verified under locked policy: item names, move names, and individual Berry names remain in English."
sMagostBerryDesc,MAGOST,"วัตถุดิบทำ {POKEBLOCK}
ปลูกในดินร่วนเพื่อ
เพาะ MAGOST",policy_verified_keep_english,"Verified under locked policy: item names, move names, and individual Berry names remain in English."
