pocket_order,pocket,pocket_label,slot_in_pocket,qa_order,risk_rank,description_symbol,item_id,item_name_en,target_text_th,visual_status_before_test,after_test
1,POCKET_ITEMS,Items,1,0,,sPotionDesc,ITEM_POTION,POTION,"ฟื้นฟู HP ให้โปเกมอน
ได้ 20 หน่วย",proof_passed,ผ่าน
1,POCKET_ITEMS,Items,2,1,1,sDragonScaleDesc,ITEM_DRAGON_SCALE,DRAGON SCALE,"เกล็ดประหลาดที่
โปเกมอนประเภท DRAGON
บางตัวถือไว้",pending,ข้อความล้นกรอบ
1,POCKET_ITEMS,Items,3,9,9,sBlueScarfDesc,ITEM_BLUE_SCARF,BLUE SCARF,"ไอเทมถือที่เพิ่ม
ความงามในการประกวด",pending,ผ่าน
1,POCKET_ITEMS,Items,4,11,11,sBlackBeltDesc,ITEM_BLACK_BELT,BLACK BELT,"ไอเทมถือที่เพิ่ม
พลังท่าประเภท FIGHTING",pending,ข้อความล้นกรอบ
1,POCKET_ITEMS,Items,5,12,12,sMagnetDesc,ITEM_MAGNET,MAGNET,"ไอเทมถือที่เพิ่ม
พลังท่าประเภท ELECTRIC",pending,ข้อความล้นกรอบ
2,POCKET_POKE_BALLS,Poké Balls,1,13,13,sNetBallDesc,ITEM_NET_BALL,NET BALL,"ได้ผลดีกับโปเกมอน
ประเภท WATER และ BUG",pending,ข้อความล้นกรอบ
3,POCKET_TM_HM,TMs & HMs,1,7,7,sTM18Desc,ITEM_TM_RAIN_DANCE,TM18,"เพิ่มพลังท่าประเภท WATER
นาน 5 เทิร์น",pending,ข้อความล้นกรอบ
3,POCKET_TM_HM,TMs & HMs,2,29,29,sTM39Desc,ITEM_TM_ROCK_TOMB,TM39,"ใช้หินหยุดการเคลื่อนไหว
และอาจลดความเร็ว",pending,ข้อความล้นกรอบ
3,POCKET_TM_HM,TMs & HMs,3,30,30,sTM11Desc,ITEM_TM_SUNNY_DAY,TM11,"เพิ่มพลังท่าประเภท FIRE
นาน 5 เทิร์น",pending,ข้อความล้นกรอบ
4,POCKET_BERRIES,Berries,1,14,14,sRazzBerryDesc,ITEM_RAZZ_BERRY,RAZZ BERRY,"วัตถุดิบทำ {POKEBLOCK}
ปลูกในดินร่วนเพื่อ
เพาะ RAZZ",pending,ผ่าน
4,POCKET_BERRIES,Berries,2,15,15,sBlukBerryDesc,ITEM_BLUK_BERRY,BLUK BERRY,"วัตถุดิบทำ {POKEBLOCK}
ปลูกในดินร่วนเพื่อ
เพาะ BLUK",pending,ผ่าน
4,POCKET_BERRIES,Berries,3,16,16,sNanabBerryDesc,ITEM_NANAB_BERRY,NANAB BERRY,"วัตถุดิบทำ {POKEBLOCK}
ปลูกในดินร่วนเพื่อ
เพาะ NANAB",pending,ผ่าน
4,POCKET_BERRIES,Berries,4,17,17,sWepearBerryDesc,ITEM_WEPEAR_BERRY,WEPEAR BERRY,"วัตถุดิบทำ {POKEBLOCK}
ปลูกในดินร่วนเพื่อ
เพาะ WEPEAR",pending,ผ่าน
4,POCKET_BERRIES,Berries,5,18,18,sPinapBerryDesc,ITEM_PINAP_BERRY,PINAP BERRY,"วัตถุดิบทำ {POKEBLOCK}
ปลูกในดินร่วนเพื่อ
เพาะ PINAP",pending,ผ่าน
4,POCKET_BERRIES,Berries,6,19,19,sCornnBerryDesc,ITEM_CORNN_BERRY,CORNN BERRY,"วัตถุดิบทำ {POKEBLOCK}
ปลูกในดินร่วนเพื่อ
เพาะ CORNN",pending,ผ่าน
4,POCKET_BERRIES,Berries,7,20,20,sMagostBerryDesc,ITEM_MAGOST_BERRY,MAGOST BERRY,"วัตถุดิบทำ {POKEBLOCK}
ปลูกในดินร่วนเพื่อ
เพาะ MAGOST",pending,ผ่าน
4,POCKET_BERRIES,Berries,8,21,21,sRabutaBerryDesc,ITEM_RABUTA_BERRY,RABUTA BERRY,"วัตถุดิบทำ {POKEBLOCK}
ปลูกในดินร่วนเพื่อ
เพาะ RABUTA",pending,ผ่าน
4,POCKET_BERRIES,Berries,9,22,22,sNomelBerryDesc,ITEM_NOMEL_BERRY,NOMEL BERRY,"วัตถุดิบทำ {POKEBLOCK}
ปลูกในดินร่วนเพื่อ
เพาะ NOMEL",pending,ผ่าน
4,POCKET_BERRIES,Berries,10,23,23,sSpelonBerryDesc,ITEM_SPELON_BERRY,SPELON BERRY,"วัตถุดิบทำ {POKEBLOCK}
ปลูกในดินร่วนเพื่อ
เพาะ SPELON",pending,ผ่าน
4,POCKET_BERRIES,Berries,11,24,24,sPamtreBerryDesc,ITEM_PAMTRE_BERRY,PAMTRE BERRY,"วัตถุดิบทำ {POKEBLOCK}
ปลูกในดินร่วนเพื่อ
เพาะ PAMTRE",pending,ผ่าน
4,POCKET_BERRIES,Berries,12,25,25,sWatmelBerryDesc,ITEM_WATMEL_BERRY,WATMEL BERRY,"วัตถุดิบทำ {POKEBLOCK}
ปลูกในดินร่วนเพื่อ
เพาะ WATMEL",pending,ผ่าน
4,POCKET_BERRIES,Berries,13,26,26,sDurinBerryDesc,ITEM_DURIN_BERRY,DURIN BERRY,"วัตถุดิบทำ {POKEBLOCK}
ปลูกในดินร่วนเพื่อ
เพาะ DURIN",pending,ผ่าน
4,POCKET_BERRIES,Berries,14,27,27,sBelueBerryDesc,ITEM_BELUE_BERRY,BELUE BERRY,"วัตถุดิบทำ {POKEBLOCK}
ปลูกในดินร่วนเพื่อ
เพาะ BELUE",pending,ผ่าน
5,POCKET_KEY_ITEMS,Key Items,1,2,2,sRoom1KeyDesc,ITEM_ROOM_1_KEY,RM. 1 KEY,"กุญแจเปิดประตู
ภายในเรือร้าง",pending,ผ่าน
