id,global_order,chapter_order,chapter_id,chapter_title_en,chapter_title_th,event_order,event_id,event_title_en,event_title_th,map_order,map_name,map_period,location_name,dialogue_order,speaker,script_label,source_file,source_line,source_label,english_raw,english_preview,thai,translation_status,control_codes,placeholders,chronology_confidence,scope_confidence,translation_confidence,term_review,length_review,translation_notes
dlg_55e2e299eaa32230,63,05,devon,Devon and Dewford,เดวอนและดิวฟอร์ด,13,devon_theft,Devon Goods theft,Devon Goods theft,13,Route116,devon_theft,Route116,1,,RustboroCity_EventScript_StolenGoodsScene,data/maps/RustboroCity/scripts.inc,1089,RustboroCity_Text_OutOfTheWay,Get out!\nOut of the way!$,"Get out!
Out of the way!",หลบไป!\nอย่าขวางทาง!$,draft_review,\n,,high,high,high,ok,ok,LINEBREAK_ADJUSTED
dlg_fc09693422d97c87,64,05,devon,Devon and Dewford,เดวอนและดิวฟอร์ด,13,devon_theft,Devon Goods theft,Devon Goods theft,13,Route116,devon_theft,Route116,2,,RustboroCity_EventScript_StolenGoodsScene,data/maps/RustboroCity/scripts.inc,1093,RustboroCity_Text_WaitDontTakeMyGoods,Wait! Pleeeaaase!\pDon't take my GOODS!$,"Wait! Pleeeaaase!
[PAGE]
Don't take my GOODS!",เดี๋ยวก่อน! ได้โปรดดดด!\pอย่าเอาสินค้าของฉันไป!$,draft_review,\p,,high,high,high,ok,ok,LINEBREAK_ADJUSTED
dlg_3af0169168c5908b,65,05,devon,Devon and Dewford,เดวอนและดิวฟอร์ด,13,devon_theft,Devon Goods theft,Devon Goods theft,13,Route116,devon_theft,Route116,3,,RustboroCity_EventScript_EmployeeAskToGetGoods,data/maps/RustboroCity/scripts.inc,1097,RustboroCity_Text_HelpMeIWasRobbed,"Oh, it's you!\pYou're that fantastic TRAINER who\nhelped me in PETALBURG WOODS!\pHelp me! I was robbed by TEAM AQUA!\nI have to get the DEVON GOODS back!\pIf I don't…\nI'm going to be in serious trouble.$","Oh, it's you!
[PAGE]
You're that fantastic TRAINER who
helped me in PETALBURG WOODS!
[PAGE]
Help me! I was robbed by TEAM AQUA!
I have to get the DEVON GOODS back!
[PAGE]
If I don't…
I'm going to be in serious trouble.",อ้าว คุณนี่เอง!\pคุณคือเทรนเนอร์ยอดฝีมือที่\nช่วยผมในป่าโทวกะนี่นา!\pช่วยด้วย! ผมถูกทีมอควาปล้น!\nต้องเอาสินค้าเดวอนกลับมาให้ได้!\pถ้าเอากลับมาไม่ได้…\nผมต้องเดือดร้อนหนักแน่ ๆ$,draft_review,\p | \n | \p | \n | \p | \n,,high,high,medium,review,ok,LINEBREAK_ADJUSTED
dlg_785cd46b2fc2f8ec,66,05,devon,Devon and Dewford,เดวอนและดิวฟอร์ด,13,devon_theft,Devon Goods theft,Devon Goods theft,13,Route116,devon_theft,Route116,4,,RustboroCity_EventScript_ReturnGoods,data/maps/RustboroCity/scripts.inc,1110,RustboroCity_Text_YouGotItThankYou,"Oh! How did it go?\nThe DEVON GOODS?\pYou did!\nYou got them back!\pYou really are a great TRAINER!\pI know! As my thanks, I'll give you\nanother GREAT BALL!$","Oh! How did it go?
The DEVON GOODS?
[PAGE]
You did!
You got them back!
[PAGE]
You really are a great TRAINER!
[PAGE]
I know! As my thanks, I'll give you
another GREAT BALL!",อ้าว! เป็นยังไงบ้าง?\nสินค้าเดวอนล่ะ?\pทำได้แล้ว!\nเอากลับมาได้แล้ว!\pคุณเป็นเทรนเนอร์ที่ยอดเยี่ยมจริง ๆ!\pรู้แล้ว! เพื่อเป็นการขอบคุณ\nผมจะให้เกรตบอลอีกลูก!$,draft_review,\n | \p | \n | \p | \p | \n,,high,high,high,ok,ok,LINEBREAK_ADJUSTED
dlg_f237e0965b02f5c4,67,05,devon,Devon and Dewford,เดวอนและดิวฟอร์ด,13,devon_theft,Devon Goods theft,เหตุขโมยสินค้าเดวอน,13,Route116,devon_theft,Route116,5,,RustboroCity_EventScript_ReturnGoods,data/maps/RustboroCity/scripts.inc,1123,RustboroCity_Text_PleaseComeWithMe,"Excuse me, please!\nPlease come with me!$","Excuse me, please!
Please come with me!",ขอโทษนะครับ!\nช่วยมากับผมหน่อย!$,draft_review,\n,,high,high,high,ok,ok,
dlg_08674d7717f93db0,68,05,devon,Devon and Dewford,เดวอนและดิวฟอร์ด,14,rusturf,Rusturf Tunnel,อุโมงค์คานาชิดะ,14,RusturfTunnel,rusturf,RusturfTunnel,1,,RusturfTunnel_EventScript_AquaGruntBackUp,data/maps/RusturfTunnel/scripts.inc,419,RusturfTunnel_Text_ComeAndGetSome,"What, are you coming?\nCome and get some, then!$","What, are you coming?
Come and get some, then!",ว่าไง จะเข้ามาเหรอ?\nงั้นก็เข้ามาเลย!$,draft_review,\n,,high,high,high,ok,ok,
dlg_fac0960bd1369f1f,69,05,devon,Devon and Dewford,เดวอนและดิวฟอร์ด,14,rusturf,Rusturf Tunnel,อุโมงค์คานาชิดะ,14,RusturfTunnel,rusturf,RusturfTunnel,2,,RusturfTunnel_EventScript_Grunt,data/maps/RusturfTunnel/scripts.inc,426,RusturfTunnel_Text_GruntIntro,"Grah, keelhaul it all!\pThat hostage POKéMON turned out to\nbe worthless!\pAnd to think I made a getaway…\nIn this tunnel to nowhere!\pHey! You!\nSo you want to battle me?$","Grah, keelhaul it all!
[PAGE]
That hostage POKéMON turned out to
be worthless!
[PAGE]
And to think I made a getaway…
In this tunnel to nowhere!
[PAGE]
Hey! You!
So you want to battle me?",กรอด ช่างมันทั้งหมดนี่แหละ!\pโปเกมอนตัวประกันนั่น\nไร้ประโยชน์สิ้นดี!\pอุตส่าห์หนีมาได้แท้ ๆ…\nแต่ดันเข้ามาในอุโมงค์ตันนี่!\pเฮ้! แกน่ะ!\nอยากสู้กับฉันงั้นเหรอ?$,draft_review,\p | \n | \p | \n | \p | \n,,high,high,high,ok,ok,LINEBREAK_ADJUSTED
dlg_d362788277a67aac,70,05,devon,Devon and Dewford,เดวอนและดิวฟอร์ด,14,rusturf,Rusturf Tunnel,อุโมงค์คานาชิดะ,14,RusturfTunnel,rusturf,RusturfTunnel,3,,RusturfTunnel_EventScript_Grunt,data/maps/RusturfTunnel/scripts.inc,439,RusturfTunnel_Text_GruntTakePackage,"This is plain not right…\pThe BOSS told me this would be a\nslick-and-easy job to pull.\pAll I had to do was steal some package\nfrom DEVON.\pTch!\nYou want it back that badly, take it!$","This is plain not right…
[PAGE]
The BOSS told me this would be a
slick-and-easy job to pull.
[PAGE]
All I had to do was steal some package
from DEVON.
[PAGE]
Tch!
You want it back that badly, take it!",แบบนี้มันไม่ถูกเลย…\pบอสบอกว่างานนี้จะ\nง่ายเหมือนปอกกล้วยเข้าปาก\pแค่ขโมยพัสดุชิ้นหนึ่ง\nจากเดวอนเท่านั้น\pชิ!\nอยากได้คืนขนาดนั้นก็เอาไป!$,draft_review,\p | \n | \p | \n | \p | \n,,high,high,high,ok,ok,LINEBREAK_ADJUSTED
dlg_2a1b92399c937260,71,05,devon,Devon and Dewford,เดวอนและดิวฟอร์ด,14,rusturf,Rusturf Tunnel,อุโมงค์คานาชิดะ,14,RusturfTunnel,rusturf,RusturfTunnel,4,,RusturfTunnel_EventScript_Grunt,data/maps/RusturfTunnel/scripts.inc,448,RusturfTunnel_Text_PeekoGladToSeeYouSafe,PEEKO!\nAm I glad to see you're safe!$,"PEEKO!
Am I glad to see you're safe!",พีโกะ!\nดีจริง ๆ ที่เธอปลอดภัย!$,draft_review,\n,,high,high,high,ok,ok,
dlg_6917422c3af8974f,72,05,devon,Devon and Dewford,เดวอนและดิวฟอร์ด,14,rusturf,Rusturf Tunnel,อุโมงค์คานาชิดะ,14,RusturfTunnel,rusturf,RusturfTunnel,5,,RusturfTunnel_EventScript_Grunt,data/maps/RusturfTunnel/scripts.inc,452,RusturfTunnel_Text_ThankYouLetsGoHomePeeko,"PEEKO owes her life to you!\pThey call me MR. BRINEY.\nAnd, you are?\p… … … … … … … …\n… … … … … … … …\pAh, so you are {PLAYER}{KUN}!\nI sincerely thank you!\pNow, if there's anything that troubles\nyou, don't hesitate to tell me!\pYou can usually find me in my cottage\nby the sea near PETALBURG WOODS.\pCome, PEEKO, we should make our way\nhome.\pPEEKO: Pihyoh!$","PEEKO owes her life to you!
[PAGE]
They call me MR. BRINEY.
And, you are?
[PAGE]
… … … … … … … …
… … … … … … … …
[PAGE]
Ah, so you are {PLAYER}{KUN}!
I sincerely thank you!
[PAGE]
Now, if there's anything that troubles
you, don't hesitate to tell me!
[PAGE]
You can usually find me in my cottage
by the sea near PETALBURG WOODS.
[PAGE]
Come, PEEKO, we should make our way
home.
[PAGE]
PEEKO: Pihyoh!",พีโกะรอดมาได้ก็เพราะคุณ!\pฉันชื่อฮากิ\nแล้วคุณล่ะ?\p… … … … … … … …\n… … … … … … … …\pอ๋อ คุณคือ {PLAYER}{KUN} สินะ!\nขอบคุณจากใจจริง!\pถ้ามีอะไรเดือดร้อน\nก็บอกฉันได้เสมอนะ!\pปกติฉันอยู่กระท่อมริมทะเล\nใกล้ป่าโทวกะ\pไปกันเถอะพีโกะ\nกลับบ้านกัน\pพีโกะ: ปีฮโยะ!$,draft_review,\p | \n | \p | \n | \p | {PLAYER} | {KUN} | \n | \p | \n | \p | \n | \p | \n | \p,{PLAYER},high,high,high,ok,ok,LINEBREAK_ADJUSTED
