move_id,move_name_en,source_text,target_text_th,description_status,line_1_width_px,line_2_width_px,max_width_px,width_margin_px,mixed_latin,abbreviations,risk_score,risk_reasons,visual_qa_recommended
MOVE_POUND,POUND,"Pounds the foe with
forelegs or tail.","ทุบคู่ต่อสู้ด้วย
ขาหน้าหรือหาง",proof_passed,59,63,63,65,no,,0,,no
MOVE_KARATE_CHOP,KARATE CHOP,"A chopping attack with a
high critical-hit ratio.","ท่าสับที่มีโอกาส
โจมตีคริติคอลสูง",proof_passed,65,74,74,54,no,,0,,no
MOVE_DOUBLE_SLAP,DOUBLESLAP,"Repeatedly slaps the foe
2 to 5 times.","ตบคู่ต่อสู้ซ้ำ
2 ถึง 5 ครั้ง",proof_passed,51,47,51,77,yes,,3,mixed_latin_or_number;numeric,no
MOVE_COMET_PUNCH,COMET PUNCH,"Repeatedly punches the foe
2 to 5 times.","ชกคู่ต่อสู้ซ้ำ
2 ถึง 5 ครั้ง",proof_passed,49,47,49,79,yes,,3,mixed_latin_or_number;numeric,no
MOVE_MEGA_PUNCH,MEGA PUNCH,"A strong punch thrown with
incredible power.","ปล่อยหมัดรุนแรง
ด้วยพลังมหาศาล",proof_passed,75,72,75,53,no,,0,,no
MOVE_PAY_DAY,PAY DAY,"Throws coins at the foe.
Money is recovered after.","ขว้างเหรียญใส่คู่ต่อสู้
เก็บเงินได้หลังจบศึก",proof_passed,89,90,90,38,no,,0,,no
MOVE_FIRE_PUNCH,FIRE PUNCH,"A fiery punch that may burn
the foe.","หมัดเพลิงที่อาจทำให้
คู่ต่อสู้ไหม้",proof_passed,90,46,90,38,no,,1,status_or_ko_text,no
MOVE_ICE_PUNCH,ICE PUNCH,"An icy punch that may
freeze the foe.","หมัดน้ำแข็งที่อาจ
แช่แข็งคู่ต่อสู้",proof_passed,72,56,72,56,no,,1,status_or_ko_text,no
MOVE_THUNDER_PUNCH,THUNDERPUNCH,"An electrified punch that
may paralyze the foe.","หมัดไฟฟ้าที่อาจทำให้
คู่ต่อสู้อัมพาต",proof_passed,94,58,94,34,no,,1,status_or_ko_text,no
MOVE_SCRATCH,SCRATCH,"Scratches the foe with
sharp claws.","ข่วนคู่ต่อสู้ด้วย
กรงเล็บแหลมคม",proof_passed,65,73,73,55,no,,0,,no
MOVE_VICE_GRIP,VICEGRIP,"Grips the foe with large and
powerful pincers.","หนีบคู่ต่อสู้ด้วย
ก้ามขนาดใหญ่ทรงพลัง",proof_passed,67,97,97,31,no,,0,,no
MOVE_GUILLOTINE,GUILLOTINE,"A powerful pincer attack
that may cause fainting.","โจมตีด้วยก้ามทรงพลัง
อาจทำให้คู่ต่อสู้หมดสภาพ",proof_passed,95,112,112,16,no,,1,status_or_ko_text,no
MOVE_RAZOR_WIND,RAZOR WIND,"A 2-turn move that strikes
the foe on the 2nd turn.","ใช้เวลา 2 เทิร์น
โจมตีในเทิร์นที่ 2",proof_passed,67,78,78,50,yes,,3,mixed_latin_or_number;numeric,no
MOVE_SWORDS_DANCE,SWORDS DANCE,"A fighting dance that
sharply raises ATTACK.","การร่ายรำที่เพิ่ม
พลังโจมตีอย่างมาก",proof_passed,65,80,80,48,no,,1,sharp_stat_change,no
MOVE_CUT,CUT,"Cuts the foe with sharp
scythes, claws, etc.","ฟันคู่ต่อสู้ด้วย
เคียวหรือกรงเล็บคม",proof_passed,61,88,88,40,no,,0,,no
MOVE_GUST,GUST,"Strikes the foe with a gust
of wind whipped up by wings.","โจมตีด้วยลมกระโชก
ที่ปีกพัดขึ้น",proof_passed,90,51,90,38,no,,0,,no
MOVE_WING_ATTACK,WING ATTACK,"Strikes the foe with wings
spread wide.","โจมตีคู่ต่อสู้ด้วย
ปีกที่กางออก",proof_passed,70,52,70,58,no,,0,,no
MOVE_WHIRLWIND,WHIRLWIND,"Blows away the foe with
wind and ends the battle.","พัดคู่ต่อสู้ออกจากศึก
ด้วยกระแสลม",proof_passed,88,61,88,40,no,,0,,no
MOVE_FLY,FLY,"Flies up on the first turn,
then strikes the next turn.","บินขึ้นในเทิร์นแรก
โจมตีในเทิร์นถัดไป",proof_passed,87,89,89,39,no,,0,,no
MOVE_BIND,BIND,"Binds and squeezes the foe
for 2 to 5 turns.","รัดและบีบคู่ต่อสู้
นาน 2 ถึง 5 เทิร์น",proof_passed,70,76,76,52,yes,,3,mixed_latin_or_number;numeric,no
MOVE_SLAM,SLAM,"Slams the foe with a long
tail, vine, etc.","ฟาดคู่ต่อสู้ด้วย
หางหรือเถาวัลย์ยาว",proof_passed,64,82,82,46,no,,0,,no
MOVE_VINE_WHIP,VINE WHIP,"Strikes the foe with
slender, whiplike vines.","ฟาดคู่ต่อสู้ด้วย
เถาวัลย์เรียวคล้ายแส้",proof_passed,64,90,90,38,no,,0,,no
MOVE_STOMP,STOMP,"Stomps the enemy with a big
foot. May cause flinching.","เหยียบด้วยเท้าขนาดใหญ่
อาจทำให้คู่ต่อสู้ชะงัก",proof_passed,110,88,110,18,no,,1,status_or_ko_text,no
MOVE_DOUBLE_KICK,DOUBLE KICK,"A double-kicking attack
that strikes the foe twice.","เตะต่อเนื่องสองครั้ง
ใส่คู่ต่อสู้",proof_passed,85,38,85,43,no,,0,,no
