symbol,source_line,source_text_en,target_text_th,old_definition,encoded_definition,definition_status,final_revision_status
gText_Able3,465,ABLE!,เรียนรู้ได้!,"const u8 gText_Able3[] = _(""ABLE!"");","const u8 gText_Able3[] = _(""{252}{25}{3}{0}{0}{244}{4}{1}{252}{25}{136}{0}{0}{244}{6}{1}{252}{25}{39}{0}{0}{244}{6}{1}{252}{25}{30}{0}{0}{244}{8}{1}{252}{25}{144}{2}{0}{244}{5}{1}{252}{25}{5}{0}{0}{244}{6}{1}{252}{25}{92}{1}{0}{244}{7}{1}!"");",matched_and_replaced,approved_from_review_v1
gText_AlreadyHoldingOne,457,"{STR_VAR_1} is already holding
one {STR_VAR_2}.","{STR_VAR_1} ถือ
{STR_VAR_2} อยู่แล้ว","const u8 gText_AlreadyHoldingOne[] = _(""{STR_VAR_1} is already holding\none {STR_VAR_2}."");","const u8 gText_AlreadyHoldingOne[] = _(""{STR_VAR_1} {252}{25}{10}{1}{0}{244}{6}{1}{252}{25}{48}{0}{0}{244}{6}{1}\n{STR_VAR_2} {252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{248}{1}{0}{244}{6}{1}{252}{25}{2}{0}{0}{244}{7}{1}{252}{25}{106}{1}{0}{244}{6}{1}{252}{25}{42}{0}{0}{244}{6}{1}"");",matched_and_replaced,approved_from_review_v1
gText_AlreadySurfing,440,You're already SURFING.,กำลังใช้ SURF อยู่แล้ว,"const u8 gText_AlreadySurfing[] = _(""You're already SURFING."");","const u8 gText_AlreadySurfing[] = _(""{252}{25}{111}{1}{0}{244}{10}{1}{252}{25}{47}{2}{0}{244}{6}{1}{252}{25}{12}{0}{0}{244}{4}{1}{252}{25}{4}{0}{0}{244}{6}{1}{252}{25}{90}{1}{0}{244}{6}{1} SURF {252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{248}{1}{0}{244}{6}{1}{252}{25}{2}{0}{0}{244}{7}{1}{252}{25}{106}{1}{0}{244}{6}{1}{252}{25}{42}{0}{0}{244}{6}{1}"");",matched_and_replaced,approved_from_review_v1
gText_BoostPP,443,Boost PP of which move?,เพิ่ม PP ให้ท่าไหน?,"const u8 gText_BoostPP[] = _(""Boost PP of which move?"");","const u8 gText_BoostPP[] = _(""{252}{25}{3}{0}{0}{244}{4}{1}{252}{25}{101}{0}{0}{244}{8}{1}{252}{25}{38}{0}{0}{244}{7}{1} PP {252}{25}{4}{0}{0}{244}{6}{1}{252}{25}{109}{1}{0}{244}{7}{1}{252}{25}{68}{1}{0}{244}{7}{1}{252}{25}{6}{0}{0}{244}{4}{1}{252}{25}{5}{0}{0}{244}{6}{1}{252}{25}{46}{0}{0}{244}{7}{1}{252}{25}{30}{0}{0}{244}{8}{1}?"");",matched_and_replaced,approved_from_review_v1
gText_CancelBattle,473,Cancel the battle?,ยกเลิกการต่อสู้?,"const u8 gText_CancelBattle[] = _(""Cancel the battle?"");","const u8 gText_CancelBattle[] = _(""{252}{25}{39}{0}{0}{244}{6}{1}{252}{25}{8}{0}{0}{244}{6}{1}{252}{25}{3}{0}{0}{244}{4}{1}{252}{25}{79}{0}{0}{244}{6}{1}{252}{25}{8}{0}{0}{244}{6}{1}{252}{25}{8}{0}{0}{244}{6}{1}{252}{25}{6}{0}{0}{244}{4}{1}{252}{25}{40}{0}{0}{244}{5}{1}{252}{25}{66}{1}{0}{244}{7}{1}{252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{142}{2}{0}{244}{6}{1}?"");",matched_and_replaced,approved_from_review_v1
gText_CancelChallenge,475,Cancel the challenge?,ยกเลิกการท้าทาย?,"const u8 gText_CancelChallenge[] = _(""Cancel the challenge?"");","const u8 gText_CancelChallenge[] = _(""{252}{25}{39}{0}{0}{244}{6}{1}{252}{25}{8}{0}{0}{244}{6}{1}{252}{25}{3}{0}{0}{244}{4}{1}{252}{25}{79}{0}{0}{244}{6}{1}{252}{25}{8}{0}{0}{244}{6}{1}{252}{25}{8}{0}{0}{244}{6}{1}{252}{25}{6}{0}{0}{244}{4}{1}{252}{25}{40}{0}{0}{244}{5}{1}{252}{25}{95}{1}{0}{244}{7}{1}{252}{25}{6}{0}{0}{244}{4}{1}{252}{25}{28}{0}{0}{244}{7}{1}{252}{25}{6}{0}{0}{244}{4}{1}{252}{25}{39}{0}{0}{244}{6}{1}?"");",matched_and_replaced,approved_from_review_v1
gText_CancelParticipation,472,Cancel participation?,ยกเลิกการเข้าร่วม?,"const u8 gText_CancelParticipation[] = _(""Cancel participation?"");","const u8 gText_CancelParticipation[] = _(""{252}{25}{39}{0}{0}{244}{6}{1}{252}{25}{8}{0}{0}{244}{6}{1}{252}{25}{3}{0}{0}{244}{4}{1}{252}{25}{79}{0}{0}{244}{6}{1}{252}{25}{8}{0}{0}{244}{6}{1}{252}{25}{8}{0}{0}{244}{6}{1}{252}{25}{6}{0}{0}{244}{4}{1}{252}{25}{40}{0}{0}{244}{5}{1}{252}{25}{3}{0}{0}{244}{4}{1}{252}{25}{85}{1}{0}{244}{6}{1}{252}{25}{6}{0}{0}{244}{4}{1}{252}{25}{78}{1}{0}{244}{5}{1}{252}{25}{42}{0}{0}{244}{6}{1}{252}{25}{38}{0}{0}{244}{7}{1}?"");",matched_and_replaced,approved_from_review_v1
gText_CantSurfHere,439,You can't SURF here.,ใช้ SURF ที่นี่ไม่ได้,"const u8 gText_CantSurfHere[] = _(""You can't SURF here."");","const u8 gText_CantSurfHere[] = _(""{252}{25}{4}{0}{0}{244}{6}{1}{252}{25}{90}{1}{0}{244}{6}{1} SURF {252}{25}{154}{0}{0}{244}{7}{1}{252}{25}{155}{0}{0}{244}{8}{1}{252}{25}{5}{0}{0}{244}{6}{1}{252}{25}{76}{1}{0}{244}{7}{1}{252}{25}{5}{0}{0}{244}{6}{1}{252}{25}{92}{1}{0}{244}{7}{1}"");",matched_and_replaced,approved_from_review_v1
gText_CantTradeWithTrainer,491,"You can't trade with that
TRAINER now.","ตอนนี้แลกเปลี่ยนกับ
เทรนเนอร์คนนั้นไม่ได้","const u8 gText_CantTradeWithTrainer[] = _(""You can't trade with that\nTRAINER now."");","const u8 gText_CantTradeWithTrainer[] = _(""{252}{25}{26}{0}{0}{244}{7}{1}{252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{30}{0}{0}{244}{8}{1}{252}{25}{178}{0}{0}{244}{8}{1}{252}{25}{2}{0}{0}{244}{7}{1}{252}{25}{41}{0}{0}{244}{6}{1}{252}{25}{8}{0}{0}{244}{6}{1}{252}{25}{3}{0}{0}{244}{4}{1}{252}{25}{32}{0}{0}{244}{7}{1}{252}{25}{165}{0}{0}{244}{6}{1}{252}{25}{39}{0}{0}{244}{6}{1}{252}{25}{30}{0}{0}{244}{8}{1}{252}{25}{24}{2}{0}{244}{6}{1}{252}{25}{31}{0}{0}{244}{7}{1}\n{252}{25}{3}{0}{0}{244}{4}{1}{252}{25}{28}{0}{0}{244}{7}{1}{252}{25}{40}{0}{0}{244}{5}{1}{252}{25}{30}{0}{0}{244}{8}{1}{252}{25}{3}{0}{0}{244}{4}{1}{252}{25}{30}{0}{0}{244}{8}{1}{252}{25}{48}{0}{0}{244}{6}{1}{252}{25}{18}{2}{0}{244}{5}{1}{252}{25}{10}{0}{0}{244}{7}{1}{252}{25}{30}{0}{0}{244}{8}{1}{252}{25}{88}{2}{0}{244}{8}{1}{252}{25}{30}{0}{0}{244}{8}{1}{252}{25}{5}{0}{0}{244}{6}{1}{252}{25}{76}{1}{0}{244}{7}{1}{252}{25}{5}{0}{0}{244}{6}{1}{252}{25}{92}{1}{0}{244}{7}{1}"");",matched_and_replaced,approved_from_review_v1
gText_CantUseHere,441,Can't use that here.,ใช้ที่นี่ไม่ได้,"const u8 gText_CantUseHere[] = _(""Can't use that here."");","const u8 gText_CantUseHere[] = _(""{252}{25}{4}{0}{0}{244}{6}{1}{252}{25}{90}{1}{0}{244}{6}{1}{252}{25}{154}{0}{0}{244}{7}{1}{252}{25}{155}{0}{0}{244}{8}{1}{252}{25}{5}{0}{0}{244}{6}{1}{252}{25}{76}{1}{0}{244}{7}{1}{252}{25}{5}{0}{0}{244}{6}{1}{252}{25}{92}{1}{0}{244}{7}{1}"");",matched_and_replaced,approved_from_review_v1
