id,category,subcategory,story_order,map_name,location_name,speaker,source_file,source_line,source_label,english_raw,english_preview,thai,translation_status,control_codes,placeholders,duplicate_group,notes,scope_group,scope_subgroup,policy,scope_status,canonical_tracker,reason,scope_decision,scope_decision
dlg_c453eaf56e7fad90,trainer,trainer_dialogue,,,,,data/text/tv.inc,45,gTVBravoTrainerText00,"Yeah!\nIt's BRAVO TRAINER time!\pToday, we're going to profile a POKéMON\nbelonging to {STR_VAR_1}.\pNow, this POKéMON boasts a {STR_VAR_3}\nRank in the {STR_VAR_2} Category.$","Yeah!
It's BRAVO TRAINER time!
[PAGE]
Today, we're going to profile a POKéMON
belonging to {STR_VAR_1}.
[PAGE]
Now, this POKéMON boasts a {STR_VAR_3}
Rank in the {STR_VAR_2} Category.",,untranslated,\n | \p | \n | {STR_VAR_1} | \p | {STR_VAR_3} | \n | {STR_VAR_2},{STR_VAR_1} | {STR_VAR_3} | {STR_VAR_2},,,Trainer,Spoken Trainer Dialogue,HOLD_FOR_SCOPE_DECISION,HOLD,Phase F Trainer Waves,Trainer-tagged TV/media text; outside locked spoken-trainer scope.,TRANSLATE,TRANSLATE
dlg_02bd007e6db34716,trainer,trainer_dialogue,,,,,data/text/tv.inc,53,gTVBravoTrainerText01,Introducing {STR_VAR_2} the\n{STR_VAR_1}!\pThe nickname {STR_VAR_2}…\pEven the nickname exudes an air that\nproclaims “{STR_VAR_3}”!$,"Introducing {STR_VAR_2} the
{STR_VAR_1}!
[PAGE]
The nickname {STR_VAR_2}…
[PAGE]
Even the nickname exudes an air that
proclaims “{STR_VAR_3}”!",,untranslated,{STR_VAR_2} | \n | {STR_VAR_1} | \p | {STR_VAR_2} | \p | \n | {STR_VAR_3},{STR_VAR_2} | {STR_VAR_1} | {STR_VAR_2} | {STR_VAR_3},,,Trainer,Spoken Trainer Dialogue,HOLD_FOR_SCOPE_DECISION,HOLD,Phase F Trainer Waves,Trainer-tagged TV/media text; outside locked spoken-trainer scope.,TRANSLATE,TRANSLATE
dlg_123e2396c1e69054,trainer,trainer_dialogue,,,,,data/text/tv.inc,60,gTVBravoTrainerText02,"Anyway, when the TRAINER {STR_VAR_1}\nentered the POKéMON in a CONTEST,\lwe managed to get a few impassioned\lquotes about the trusty partner.$","Anyway, when the TRAINER {STR_VAR_1}
entered the POKéMON in a CONTEST,
we managed to get a few impassioned
quotes about the trusty partner.",,untranslated,{STR_VAR_1} | \n | \l | \l,{STR_VAR_1},,,Trainer,Spoken Trainer Dialogue,HOLD_FOR_SCOPE_DECISION,HOLD,Phase F Trainer Waves,Trainer-tagged TV/media text; outside locked spoken-trainer scope.,TRANSLATE,TRANSLATE
dlg_7385dbb2ea824a15,trainer,trainer_dialogue,,,,,data/text/tv.inc,66,gTVBravoTrainerText03,"Asked about the CONTEST afterwards,\n{STR_VAR_1} happily replied with a huge\lgrin, “{STR_VAR_2}!”\pWell, sure, {STR_VAR_1}'s POKéMON came in\nnumber {STR_VAR_3} in the CONTEST.\pThat line perfectly suits {STR_VAR_1}\nright now, I'd say!$","Asked about the CONTEST afterwards,
{STR_VAR_1} happily replied with a huge
grin, “{STR_VAR_2}!”
[PAGE]
Well, sure, {STR_VAR_1}'s POKéMON came in
number {STR_VAR_3} in the CONTEST.
[PAGE]
That line perfectly suits {STR_VAR_1}
right now, I'd say!",,untranslated,\n | {STR_VAR_1} | \l | {STR_VAR_2} | \p | {STR_VAR_1} | \n | {STR_VAR_3} | \p | {STR_VAR_1} | \n,{STR_VAR_1} | {STR_VAR_2} | {STR_VAR_1} | {STR_VAR_3} | {STR_VAR_1},,,Trainer,Spoken Trainer Dialogue,HOLD_FOR_SCOPE_DECISION,HOLD,Phase F Trainer Waves,Trainer-tagged TV/media text; outside locked spoken-trainer scope.,TRANSLATE,TRANSLATE
dlg_14d8894f2d926058,trainer,trainer_dialogue,,,,,data/text/tv.inc,75,gTVBravoTrainerText04,"Asked about the CONTEST afterwards,\n{STR_VAR_1} replied with a tinge of\lbitterness, “{STR_VAR_2}.”\pWell, sure, {STR_VAR_1}'s POKéMON came in\nnumber {STR_VAR_3} in the CONTEST.\p{STR_VAR_1}'s disappointment comes across\nloud and clear, I'd say!$","Asked about the CONTEST afterwards,
{STR_VAR_1} replied with a tinge of
bitterness, “{STR_VAR_2}.”
[PAGE]
Well, sure, {STR_VAR_1}'s POKéMON came in
number {STR_VAR_3} in the CONTEST.
[PAGE]
{STR_VAR_1}'s disappointment comes across
loud and clear, I'd say!",,untranslated,\n | {STR_VAR_1} | \l | {STR_VAR_2} | \p | {STR_VAR_1} | \n | {STR_VAR_3} | \p | {STR_VAR_1} | \n,{STR_VAR_1} | {STR_VAR_2} | {STR_VAR_1} | {STR_VAR_3} | {STR_VAR_1},,,Trainer,Spoken Trainer Dialogue,HOLD_FOR_SCOPE_DECISION,HOLD,Phase F Trainer Waves,Trainer-tagged TV/media text; outside locked spoken-trainer scope.,TRANSLATE,TRANSLATE
dlg_64c19a24743ee7e8,trainer,trainer_dialogue,,,,,data/text/tv.inc,84,gTVBravoTrainerText05,"Wouldn't you also like to know what\n{STR_VAR_1} imagines {STR_VAR_2} to be?\pYou bet we did!\nSo we asked, of course!\pThe answer is all perfectly condensed:\n“{STR_VAR_3}!”\pThat's what the concept of {STR_VAR_2}\nrepresents to {STR_VAR_1}!$","Wouldn't you also like to know what
{STR_VAR_1} imagines {STR_VAR_2} to be?
[PAGE]
You bet we did!
So we asked, of course!
[PAGE]
The answer is all perfectly condensed:
“{STR_VAR_3}!”
[PAGE]
That's what the concept of {STR_VAR_2}
represents to {STR_VAR_1}!",,untranslated,\n | {STR_VAR_1} | {STR_VAR_2} | \p | \n | \p | \n | {STR_VAR_3} | \p | {STR_VAR_2} | \n | {STR_VAR_1},{STR_VAR_1} | {STR_VAR_2} | {STR_VAR_3} | {STR_VAR_2} | {STR_VAR_1},,,Trainer,Spoken Trainer Dialogue,HOLD_FOR_SCOPE_DECISION,HOLD,Phase F Trainer Waves,Trainer-tagged TV/media text; outside locked spoken-trainer scope.,TRANSLATE,TRANSLATE
dlg_60cecf33b2242796,trainer,trainer_dialogue,,,,,data/text/tv.inc,94,gTVBravoTrainerText06,The last move {STR_VAR_2} used by\nthe {STR_VAR_1} is entirely about\l“{STR_VAR_3}”!$,"The last move {STR_VAR_2} used by
the {STR_VAR_1} is entirely about
“{STR_VAR_3}”!",,untranslated,{STR_VAR_2} | \n | {STR_VAR_1} | \l | {STR_VAR_3},{STR_VAR_2} | {STR_VAR_1} | {STR_VAR_3},,,Trainer,Spoken Trainer Dialogue,HOLD_FOR_SCOPE_DECISION,HOLD,Phase F Trainer Waves,Trainer-tagged TV/media text; outside locked spoken-trainer scope.,TRANSLATE,TRANSLATE
dlg_962b219112817676,trainer,trainer_dialogue,,,,,data/text/tv.inc,99,gTVBravoTrainerText07,"Bravo, {STR_VAR_1}!\nBravo, {STR_VAR_2}!\pI hope we can count on seeing\n{STR_VAR_1} scale even greater heights!\pThat's all the time we have!\nUntil next time, see you!$","Bravo, {STR_VAR_1}!
Bravo, {STR_VAR_2}!
[PAGE]
I hope we can count on seeing
{STR_VAR_1} scale even greater heights!
[PAGE]
That's all the time we have!
Until next time, see you!",,untranslated,{STR_VAR_1} | \n | {STR_VAR_2} | \p | \n | {STR_VAR_1} | \p | \n,{STR_VAR_1} | {STR_VAR_2} | {STR_VAR_1},dup_00122,,Trainer,Spoken Trainer Dialogue,HOLD_FOR_SCOPE_DECISION,HOLD,Phase F Trainer Waves,Trainer-tagged TV/media text; outside locked spoken-trainer scope.,TRANSLATE,TRANSLATE
dlg_62c36f36a9d58c3d,trainer,trainer_dialogue,,,,,data/text/tv.inc,107,gTVBravoTrainerText08,Introducing the TRAINER's {STR_VAR_1}!$,Introducing the TRAINER's {STR_VAR_1}!,,untranslated,{STR_VAR_1},{STR_VAR_1},,,Trainer,Spoken Trainer Dialogue,HOLD_FOR_SCOPE_DECISION,HOLD,Phase F Trainer Waves,Trainer-tagged TV/media text; outside locked spoken-trainer scope.,TRANSLATE,TRANSLATE
dlg_463f813c9d4e56fc,trainer,trainer_dialogue,,,,,data/text/tv.inc,168,BravoTrainerBattleTower_Text_Intro,"Yeah!\nIt's BRAVO TRAINER time!\pToday, we're going to profile {STR_VAR_1},\nwho took the BATTLE TOWER challenge!\pFor the challenge, {STR_VAR_1} entered\none wicked {STR_VAR_2}.$","Yeah!
It's BRAVO TRAINER time!
[PAGE]
Today, we're going to profile {STR_VAR_1},
who took the BATTLE TOWER challenge!
[PAGE]
For the challenge, {STR_VAR_1} entered
one wicked {STR_VAR_2}.",,untranslated,\n | \p | {STR_VAR_1} | \n | \p | {STR_VAR_1} | \n | {STR_VAR_2},{STR_VAR_1} | {STR_VAR_1} | {STR_VAR_2},,,Trainer,Spoken Trainer Dialogue,HOLD_FOR_SCOPE_DECISION,HOLD,Phase F Trainer Waves,Trainer-tagged TV/media text; outside locked spoken-trainer scope.,TRANSLATE,TRANSLATE
