id,category,subcategory,story_order,map_name,location_name,speaker,source_file,source_line,source_label,english_raw,english_preview,thai,translation_status,control_codes,placeholders,duplicate_group,notes
dlg_0fbe27f65b285940,optional_npc,,,AbandonedShip_CaptainsOffice,AbandonedShip CaptainsOffice,,data/maps/AbandonedShip_CaptainsOffice/scripts.inc,24,AbandonedShip_CaptainsOffice_Text_NoSuccessFindingScanner,"I'm investigating this ship on behalf\nof CAPT. STERN.\pHe also asked me to find a SCANNER,\nbut I haven't had any success…$","I'm investigating this ship on behalf
of CAPT. STERN.
[PAGE]
He also asked me to find a SCANNER,
but I haven't had any success…",,untranslated,\n | \p | \n,,,Main-story status is not proven by static source evidence.
dlg_4974cc726ad9bffb,optional_npc,,,AbandonedShip_CaptainsOffice,AbandonedShip CaptainsOffice,,data/maps/AbandonedShip_CaptainsOffice/scripts.inc,30,AbandonedShip_CaptainsOffice_Text_OhCanYouDeliverScanner,"Oh! That's a SCANNER!\pListen, can I get you to deliver that\nto CAPT. STERN?\pI want to investigate this ship a\nlittle more.$","Oh! That's a SCANNER!
[PAGE]
Listen, can I get you to deliver that
to CAPT. STERN?
[PAGE]
I want to investigate this ship a
little more.",,untranslated,\p | \n | \p | \n,,,Main-story status is not proven by static source evidence.
dlg_6fd861f89593f9be,optional_npc,,,AbandonedShip_CaptainsOffice,AbandonedShip CaptainsOffice,,data/maps/AbandonedShip_CaptainsOffice/scripts.inc,37,AbandonedShip_CaptainsOffice_Text_ThisIsSSCactus,This ship is called S.S. CACTUS.\nIt seems to be from an earlier era.$,"This ship is called S.S. CACTUS.
It seems to be from an earlier era.",,untranslated,\n,,,Main-story status is not proven by static source evidence.
dlg_526c3c12a3a16e6c,optional_npc,,,AbandonedShip_Corridors_1F,AbandonedShip Corridors 1F,,data/maps/AbandonedShip_Corridors_1F/scripts.inc,12,AbandonedShip_Corridors_1F_Text_CharlieIntro,What's so funny about having my inner\ntube aboard the ship?$,"What's so funny about having my inner
tube aboard the ship?",,untranslated,\n,,,Main-story status is not proven by static source evidence.
dlg_e5cd681116847c27,optional_npc,,,AbandonedShip_Corridors_1F,AbandonedShip Corridors 1F,,data/maps/AbandonedShip_Corridors_1F/scripts.inc,16,AbandonedShip_Corridors_1F_Text_CharlieDefeat,"Whoa, you overwhelmed me!$","Whoa, you overwhelmed me!",,untranslated,,,,Main-story status is not proven by static source evidence.
dlg_7e06d4e83218ec11,optional_npc,,,AbandonedShip_Corridors_1F,AbandonedShip Corridors 1F,,data/maps/AbandonedShip_Corridors_1F/scripts.inc,23,AbandonedShip_Corridors_1F_Text_IsntItFunHere,Isn't it fun here?\nI get excited just being here!$,"Isn't it fun here?
I get excited just being here!",,untranslated,\n,,,Main-story status is not proven by static source evidence.
dlg_33c8d96912b57638,optional_npc,,,AbandonedShip_Corridors_B1F,AbandonedShip Corridors B1F,,data/maps/AbandonedShip_Corridors_B1F/scripts.inc,55,AbandonedShip_Corridors_B1F_Text_DuncanIntro,"When we go out to sea, we SAILORS\nalways bring our POKéMON.\lHow about a quick battle?$","When we go out to sea, we SAILORS
always bring our POKéMON.
How about a quick battle?",,untranslated,\n | \l,,,Main-story status is not proven by static source evidence.
dlg_7f51002ce6ded3a6,optional_npc,,,AbandonedShip_Corridors_B1F,AbandonedShip Corridors B1F,,data/maps/AbandonedShip_Corridors_B1F/scripts.inc,60,AbandonedShip_Corridors_B1F_Text_DuncanDefeat,"Whoops, I'm sunk!$","Whoops, I'm sunk!",,untranslated,,,,Main-story status is not proven by static source evidence.
dlg_2fdf85db49dcd2ce,optional_npc,,,AbandonedShip_Corridors_B1F,AbandonedShip Corridors B1F,,data/maps/AbandonedShip_Corridors_B1F/scripts.inc,69,AbandonedShip_Corridors_B1F_Text_YayItsAShip,Yay!\nIt's a ship!$,"Yay!
It's a ship!",,untranslated,\n,,,Main-story status is not proven by static source evidence.
dlg_ed2d4b35e2492c93,interaction,,,AbandonedShip_Corridors_B1F,AbandonedShip Corridors B1F,,data/maps/AbandonedShip_Corridors_B1F/scripts.inc,73,AbandonedShip_Corridors_B1F_Text_DoorIsLocked,The door is locked.\p“STORAGE” is painted on the door.$,"The door is locked.
[PAGE]
“STORAGE” is painted on the door.",,untranslated,\p,,,
dlg_da8007ccaff8a40f,optional_npc,,,AbandonedShip_Corridors_B1F,AbandonedShip Corridors B1F,,data/maps/AbandonedShip_Corridors_B1F/scripts.inc,77,AbandonedShip_Corridors_B1F_Text_InsertedStorageKey,"{PLAYER} inserted and turned the\nSTORAGE KEY.\pThe inserted KEY stuck fast,\nbut the door opened.$","{PLAYER} inserted and turned the
STORAGE KEY.
[PAGE]
The inserted KEY stuck fast,
but the door opened.",,untranslated,{PLAYER} | \n | \p | \n,{PLAYER},,Main-story status is not proven by static source evidence.
dlg_317408d107a22a31,interaction,,,AbandonedShip_Corridors_B1F,AbandonedShip Corridors B1F,,data/maps/AbandonedShip_Corridors_B1F/scripts.inc,83,AbandonedShip_Text_TheDoorIsOpen,The door is open.$,The door is open.,,untranslated,,,,
