qa_order,ui_areas,symbol,source_text,target_text_th,constraint_profile,qa_route,rendering_result,translation_result,visual_status,evidence_note
1,OPTION_MENU,gText_BattleScene,BATTLE SCENE,ฉากต่อสู้,OPTION_ROW_LABEL,Inspect every Option Menu row with all values.,pass,pass,proof_passed,"User-confirmed runtime evidence: Option Menu screenshot. Text rendered completely and readably, with no clipping, overflow, overlapping Thai marks, or broken glyphs; wording was accepted."
2,OPTION_MENU,gText_BattleSceneOff,{COLOR GREEN}{SHADOW LIGHT_GREEN}OFF,{COLOR GREEN}{SHADOW LIGHT_GREEN}ปิด,OPTION_PAIR_CHOICE,Cycle both values and inspect selection color changes.,pass,pass,proof_passed,"User-confirmed runtime evidence: Option Menu screenshot. Text rendered completely and readably, with no clipping, overflow, overlapping Thai marks, or broken glyphs; wording was accepted."
3,OPTION_MENU,gText_BattleSceneOn,{COLOR GREEN}{SHADOW LIGHT_GREEN}ON,{COLOR GREEN}{SHADOW LIGHT_GREEN}เปิด,OPTION_PAIR_CHOICE,Cycle both values and inspect selection color changes.,pass,pass,proof_passed,"User-confirmed runtime evidence: Option Menu screenshot. Text rendered completely and readably, with no clipping, overflow, overlapping Thai marks, or broken glyphs; wording was accepted."
4,OPTION_MENU,gText_BattleStyle,BATTLE STYLE,รูปแบบต่อสู้,OPTION_ROW_LABEL,Inspect every Option Menu row with all values.,pass,pass,proof_passed,"User-confirmed runtime evidence: Option Menu screenshot. Text rendered completely and readably, with no clipping, overflow, overlapping Thai marks, or broken glyphs; wording was accepted."
5,OPTION_MENU,gText_BattleStyleSet,{COLOR GREEN}{SHADOW LIGHT_GREEN}SET,{COLOR GREEN}{SHADOW LIGHT_GREEN}คงที่,OPTION_PAIR_CHOICE,Cycle both values and inspect selection color changes.,pass,pass,proof_passed,"User-confirmed runtime evidence: Option Menu screenshot. Text rendered completely and readably, with no clipping, overflow, overlapping Thai marks, or broken glyphs; wording was accepted."
6,OPTION_MENU,gText_BattleStyleShift,{COLOR GREEN}{SHADOW LIGHT_GREEN}SHIFT,{COLOR GREEN}{SHADOW LIGHT_GREEN}สลับ,OPTION_PAIR_CHOICE,Cycle both values and inspect selection color changes.,pass,pass,proof_passed,"User-confirmed runtime evidence: Option Menu screenshot. Text rendered completely and readably, with no clipping, overflow, overlapping Thai marks, or broken glyphs; wording was accepted."
7,MAIN_MENU,gText_BirchBoy,BOY,เด็กชาย,GENDER_MENU,Open BOY/GIRL selection and inspect both entries.,pass,pass,proof_passed,"User-confirmed runtime evidence: Birch gender-choice menu screenshot. Text rendered completely and readably, with no clipping, overflow, overlapping Thai marks, or broken glyphs; wording was accepted."
8,MAIN_MENU,gText_BirchGirl,GIRL,เด็กหญิง,GENDER_MENU,Open BOY/GIRL selection and inspect both entries.,pass,pass,proof_passed,"User-confirmed runtime evidence: Birch gender-choice menu screenshot. Text rendered completely and readably, with no clipping, overflow, overlapping Thai marks, or broken glyphs; wording was accepted."
9,OPTION_MENU,gText_ButtonMode,BUTTON MODE,โหมดปุ่ม,OPTION_ROW_LABEL,Inspect every Option Menu row with all values.,pass,pass,proof_passed,"User-confirmed runtime evidence: Option Menu screenshot. Text rendered completely and readably, with no clipping, overflow, overlapping Thai marks, or broken glyphs; wording was accepted."
10,OPTION_MENU,gText_ButtonTypeLEqualsA,{COLOR GREEN}{SHADOW LIGHT_GREEN}L=A,{COLOR GREEN}{SHADOW LIGHT_GREEN}L=A,OPTION_TRIPLE_CHOICE,Cycle all three values and inspect all selection states.,pass,pass,proof_passed,"User-confirmed runtime evidence: Option Menu screenshot. Text rendered completely and readably, with no clipping, overflow, overlapping Thai marks, or broken glyphs; wording was accepted."
11,OPTION_MENU,gText_ButtonTypeLR,{COLOR GREEN}{SHADOW LIGHT_GREEN}LR,{COLOR GREEN}{SHADOW LIGHT_GREEN}LR,OPTION_TRIPLE_CHOICE,Cycle all three values and inspect all selection states.,pass,pass,proof_passed,"User-confirmed runtime evidence: Option Menu screenshot. Text rendered completely and readably, with no clipping, overflow, overlapping Thai marks, or broken glyphs; wording was accepted."
12,OPTION_MENU,gText_ButtonTypeNormal,{COLOR GREEN}{SHADOW LIGHT_GREEN}NORMAL,{COLOR GREEN}{SHADOW LIGHT_GREEN}ปกติ,OPTION_TRIPLE_CHOICE,Cycle all three values and inspect all selection states.,pass,pass,proof_passed,"User-confirmed runtime evidence: Option Menu screenshot. Text rendered completely and readably, with no clipping, overflow, overlapping Thai marks, or broken glyphs; wording was accepted."
13,MAIN_MENU,gText_ContinueMenuBadges,BADGES,เข็มกลัด,MAIN_MENU_SAVE_BADGES,Load a save and inspect badge counts 0 and 8.,,,pending,
14,MAIN_MENU,gText_ContinueMenuPlayer,PLAYER,ผู้เล่น,MAIN_MENU_SAVE_PLAYER,Load a save with a maximum-length player name.,,,pending,
15,MAIN_MENU,gText_ContinueMenuPokedex,POKéDEX,โปเกเด็กซ์,MAIN_MENU_SAVE_POKEDEX,Load a save with Pokédex enabled and a 3-digit caught count.,,,pending,
16,MAIN_MENU,gText_ContinueMenuTime,TIME,เวลา,MAIN_MENU_SAVE_TIME,Load a save with a 3-digit hour value.,,,pending,
